,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Tim Clark,88,0.42,4,945,E
1,2,2,Joe Durant,67,0.89,7,789,+0.29
2,3,3,Omar Uresti,74,0.95,8,846,+1.25
3,4,4,Jim Furyk,76,0.96,8,833,+0.63
4,5,5,Kevin Streelman,90,1.0,11,1105,+0.09
5,6,6,David Toms,86,1.03,10,969,+0.50
6,7,7,Tom Pernice Jr.,74,1.13,9,800,+0.56
7,8,8,Boo Weekley,88,1.17,12,1029,E
8,T9,T9,Ryan Moore,80,1.18,10,846,+0.50
9,T9,T9,Jay Williamson,76,1.18,10,845,+1.10
10,11,11,Steve Elkington,74,1.23,10,810,+0.10
11,12,12,Steve Stricker,73,1.28,10,779,+0.10
12,13,13,J.J. Henry,92,1.29,14,1085,+0.21
13,T14,T14,Ben Curtis,78,1.31,12,916,+0.25
14,T14,T14,Rocco Mediate,71,1.31,11,840,+0.55
15,16,16,Craig Bowden,56,1.35,9,665,+0.89
16,17,17,Stephen Ames,75,1.36,13,956,+0.54
17,18,18,Kenny Perry,69,1.41,11,782,-0.09
18,19,19,Ben Crane,85,1.42,13,916,+0.77
19,20,20,Blake Adams,84,1.45,15,1034,+0.80
20,21,21,Jason Dufner,87,1.46,14,957,+0.43
21,T22,T22,Jerry Kelly,99,1.49,17,1144,+0.29
22,T22,T22,Chris Riley,73,1.49,13,873,+0.69
23,T22,T22,Kevin Sutherland,86,1.49,16,1076,+0.69
24,25,25,John Senden,103,1.5,18,1203,+0.22
25,26,26,Zach Johnson,93,1.53,16,1046,+0.88
26,T27,T27,Billy Mayfair,78,1.55,14,903,+0.71
27,T27,T27,Sean O'Hair,84,1.55,14,903,+0.36
28,29,29,Ryuji Imada,90,1.56,18,1154,+0.61
29,30,30,Heath Slocum,97,1.57,16,1019,+0.44
30,31,31,Alex Cejka,81,1.61,15,931,+0.87
31,32,32,Kevin Na,94,1.63,17,1044,+0.29
32,T33,T33,Brian Gay,101,1.66,19,1144,+1.11
33,T33,T33,Scott McCarron,90,1.66,19,1142,+0.68
34,T33,T33,Vijay Singh,75,1.66,13,785,+0.46
35,36,36,Dean Wilson,54,1.69,11,650,+1.00
36,T37,T37,Justin Leonard,89,1.7,17,1001,+1.06
37,T37,T37,Chris Tidland,77,1.7,16,940,+0.25
38,T39,T39,Skip Kendall,58,1.77,12,678,+0.58
39,T39,T39,Shaun Micheel,70,1.77,13,733,+0.38
40,T41,T41,Paul Casey,64,1.79,11,614,+0.18
41,T41,T41,Nathan Green,86,1.79,20,1117,+0.40
42,43,43,Jeff Quinney,91,1.81,20,1104,+1.10
43,44,44,Hunter Mahan,85,1.83,17,927,+0.59
44,45,45,Spencer Levin,110,1.84,25,1356,+0.32
45,46,46,D.J. Trahan,92,1.86,21,1128,+0.33
46,T47,T47,Jason Bohn,84,1.88,19,1013,+0.74
47,T47,T47,John Merrick,109,1.88,24,1275,+0.67
48,49,49,J.P. Hayes,79,1.91,18,941,+0.28
49,50,50,Michael Sim,64,1.92,14,731,+0.50
50,T51,T51,Brian Davis,101,1.94,24,1235,+0.54
51,T51,T51,Ian Poulter,55,1.94,9,465,+0.67
52,T53,T53,Michael Connell,89,1.97,21,1065,+0.57
53,T53,T53,Aron Price,70,1.97,17,861,+0.53
54,T55,T55,Robert Allenby,76,2.01,17,845,+0.18
55,T55,T55,Stewart Cink,84,2.01,18,896,+0.44
56,T55,T55,Brent Delahoussaye,57,2.01,13,647,+0.92
57,T55,T55,D.A. Points,90,2.01,22,1092,+0.59
58,59,59,Will MacKenzie,72,2.02,19,942,+0.68
59,60,60,Retief Goosen,75,2.05,15,730,+0.27
60,61,61,Jeff Maggert,76,2.06,18,873,+1.11
61,62,62,Steve Marino,81,2.07,18,871,+0.78
62,T63,T63,Lucas Glover,75,2.08,17,816,+0.53
63,T63,T63,Tim Petrovic,105,2.08,27,1300,+0.48
64,65,65,Davis Love III,79,2.09,19,911,+0.58
65,66,66,Y.E. Yang,72,2.1,17,809,+0.06
66,T67,T67,Briny Baird,87,2.12,23,1086,+0.61
67,T67,T67,Bill Haas,87,2.12,22,1036,+0.68
68,T67,T67,Matt Kuchar,97,2.12,22,1039,+0.50
69,70,70,Tom Gillis,97,2.16,27,1250,+0.59
70,71,71,Justin Rose,78,2.18,21,963,+0.43
71,T72,T72,Woody Austin,93,2.19,25,1144,+0.72
72,T72,T72,Paul Goydos,78,2.19,20,914,+0.75
73,T72,T72,Jerod Turner,54,2.19,12,547,+1.00
74,T72,T72,Nick Watney,91,2.19,21,960,+0.76
75,76,76,Chris DiMarco,88,2.24,24,1071,+0.46
76,T77,T77,Steve Flesch,78,2.25,20,889,+0.75
77,T77,T77,Cliff Kresge,50,2.25,14,621,+1.00
78,T79,T79,Justin Bolli,55,2.26,13,576,+1.08
79,T79,T79,K.J. Choi,82,2.26,19,842,+0.37
80,T79,T79,Brian Stuard,81,2.26,22,973,+1.14
81,T82,T82,Rickie Fowler,98,2.27,26,1145,+0.35
82,T82,T82,Rod Pampling,77,2.27,22,968,+0.68
83,84,84,Carl Pettersson,99,2.28,26,1141,+0.77
84,85,85,Bryce Molder,84,2.29,23,1004,+0.74
85,86,86,John Rollins,81,2.31,24,1040,+0.58
86,T87,T87,Brendon de Jonge,114,2.32,29,1251,+0.76
87,T87,T87,Bo Van Pelt,104,2.32,28,1207,+0.04
88,89,89,Kris Blanks,91,2.34,24,1024,+0.63
