,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Omar Uresti,74,76.36,646,846,-0.09
1,2,2,Joe Durant,67,76.05,600,789,-0.19
2,3,3,Craig Bowden,56,73.98,492,665,-0.02
3,4,4,Brian Gay,101,73.86,845,1144,-0.14
4,5,5,Tim Clark,88,73.12,691,945,-0.13
5,6,6,Jim Furyk,76,72.03,600,833,-0.2
6,7,7,Heath Slocum,97,71.64,730,1019,-0.14
7,8,8,David Toms,86,71.52,693,969,-0.16
8,9,9,Alex Cejka,81,71.32,664,931,-0.11
9,10,10,Richard Johnson,90,70.55,714,1012,-0.17
10,11,11,John Mallinger,78,70.54,632,896,-0.15
11,12,12,Garrett Willis,82,70.53,694,984,-0.13
12,13,13,Zach Johnson,93,70.46,737,1046,-0.17
13,14,14,Jeff Quinney,91,70.38,777,1104,-0.14
14,15,15,Skip Kendall,58,70.35,477,678,-0.12
15,16,16,Ben Curtis,78,70.31,644,916,-0.14
16,17,17,Billy Mayfair,78,70.1,633,903,-0.09
17,18,18,Ben Crane,85,70.09,642,916,-0.16
18,19,19,Jerry Kelly,99,70.02,801,1144,-0.14
19,20,20,Paul Goydos,78,69.8,638,914,-0.13
20,21,21,Chris DiMarco,88,69.65,746,1071,-0.12
21,22,22,Chad Campbell,94,69.4,780,1124,-0.16
22,23,23,Chris Riley,73,69.3,605,873,-0.18
23,24,24,Justin Leonard,89,69.13,692,1001,-0.16
24,25,25,Jay Williamson,76,69.11,584,845,-0.14
25,26,26,Tom Gillis,97,69.04,863,1250,-0.16
26,27,27,Scott Verplank,74,69.03,535,775,-0.12
27,28,28,Rocco Mediate,71,68.93,579,840,-0.15
28,29,29,Cliff Kresge,50,68.92,428,621,-0.1
29,30,30,Mark Wilson,87,68.91,758,1100,-0.13
30,31,31,Jason Dufner,87,68.86,659,957,-0.11
31,32,32,Vaughn Taylor,87,68.65,749,1091,-0.15
32,33,33,Brian Davis,101,68.1,841,1235,-0.11
33,34,34,Brent Delahoussaye,57,68.01,440,647,-0.1
34,35,35,Ryan Moore,80,67.97,575,846,-0.17
35,36,36,Aron Price,70,67.94,585,861,-0.17
36,37,37,Dean Wilson,54,67.85,441,650,-0.16
37,38,38,Kris Blanks,91,67.77,694,1024,-0.12
38,39,39,Boo Weekley,88,67.74,697,1029,-0.15
39,40,40,Matt Kuchar,97,67.66,703,1039,-0.25
40,41,41,Steve Elkington,74,67.65,548,810,-0.15
41,42,42,Steve Stricker,73,67.39,525,779,-0.2
42,43,43,Tim Petrovic,105,67.38,876,1300,-0.16
43,44,44,John Merrick,109,67.29,858,1275,-0.16
44,45,45,Stephen Ames,75,67.15,642,956,-0.17
45,46,46,Kenny Perry,69,67.14,525,782,-0.18
46,47,47,Charles Warren,64,67.11,508,757,-0.18
47,48,48,Hunter Mahan,85,67.1,622,927,-0.15
48,49,49,Will MacKenzie,72,67.09,632,942,-0.17
49,50,50,Justin Bolli,55,67.01,386,576,-0.04
50,51,51,Tom Pernice Jr.,74,67.0,536,800,-0.16
