,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Rod Pampling,26,34.2,106,310,1.51
1,2,2,Garrett Willis,24,37.1,101,272,2.67
2,3,3,David Duval,24,37.7,117,310,1.11
3,4,4,Dean Wilson,18,39.2,78,199,0.26
4,5,5,Garth Mulroy,19,39.5,83,210,2.05
5,6,6,Stuart Appleby,31,40.3,188,467,0.59
6,T7,T7,Matt Kuchar,26,40.6,131,323,0.23
7,T7,T7,Brett Quigley,29,40.6,180,443,1.72
8,T9,T9,Retief Goosen,19,41.0,98,239,0.1
9,T9,T9,Paul Stankowski,18,41.0,94,229,1.28
10,11,11,Andrew McLardy,21,41.6,91,219,1.21
11,12,12,Justin Bolli,23,42.8,80,187,1.38
12,13,13,Phil Mickelson,20,43.1,155,360,0.19
13,14,14,Ben Curtis,24,43.2,114,264,1.32
14,T15,T15,Paul Casey,17,43.4,99,228,0.51
15,T15,T15,Spencer Levin,31,43.4,191,440,0.99
16,17,17,Alex Prugh,28,44.2,198,448,1.01
17,18,18,Steve Flesch,25,44.4,131,295,0.46
18,T19,T19,Kenny Perry,20,44.6,104,233,2.21
19,T19,T19,Webb Simpson,31,44.6,212,475,1.08
20,21,21,Steve Stricker,19,44.7,106,237,-0.19
21,22,22,Michael Connell,25,44.8,167,373,1.56
22,23,23,Chris Couch,23,45.4,119,262,1.51
23,24,24,Brad Faxon,23,45.7,118,258,4.07
24,T25,T25,Ted Purdy,30,46.3,170,367,2.65
25,T25,T25,Camilo Villegas,20,46.3,138,298,1.3
26,27,27,Michael Bradley,24,46.4,161,347,1.99
27,28,28,Trevor Immelman,19,46.7,98,210,0.71
28,T29,T29,Bill Haas,25,46.9,167,356,0.24
29,T29,T29,Michael Sim,20,46.9,121,258,0.58
30,T31,T31,Carl Pettersson,29,47.0,194,413,1.86
31,T31,T31,Kevin Sutherland,25,47.0,159,338,0.88
32,33,33,Brian Gay,30,47.1,138,293,0.94
33,34,34,Alex Cejka,28,47.2,125,265,1.76
34,T35,T35,J.J. Henry,27,47.4,165,348,0.79
35,T35,T35,Justin Rose,22,47.4,153,323,-0.46
36,T37,T37,Padraig Harrington,18,47.5,121,255,0.33
37,T37,T37,Ryuji Imada,28,47.5,190,400,0.89
38,T37,T37,Brett Wetterich,16,47.5,135,284,0.52
39,40,40,Jason Bohn,25,47.6,152,319,2.76
40,41,41,Shaun Micheel,21,47.8,119,249,1.26
41,T42,T42,Justin Leonard,27,47.9,147,307,1.43
42,T42,T42,Roland Thatcher,26,47.9,168,351,1.19
43,44,44,Tom Pernice Jr.,22,48.2,122,253,1.72
44,T45,T45,Mathias Grönberg,22,48.3,115,238,2.26
45,T45,T45,Will MacKenzie,23,48.3,144,298,2.36
46,T45,T45,Kevin Na,26,48.3,166,344,0.48
47,48,48,Mathew Goggin,28,48.4,166,343,2.17
48,T49,T49,Jim Furyk,21,48.5,113,233,1.06
49,T49,T49,Jerod Turner,21,48.5,96,198,3.44
50,T49,T49,Omar Uresti,27,48.5,95,196,0.74
51,T52,T52,Woody Austin,29,48.6,178,366,1.74
52,T52,T52,Tim Clark,24,48.6,118,243,1.61
53,T54,T54,Luke Donald,20,48.7,135,277,0.59
54,T54,T54,Adam Scott,20,48.7,131,269,0.38
55,T56,T56,Stephen Ames,23,49.0,152,310,1.12
56,T56,T56,Briny Baird,28,49.0,175,357,1.49
57,58,58,Matt Jones,27,49.2,217,441,1.71
58,59,59,Charles Warren,21,49.3,113,229,1.86
59,T60,T60,Jonathan Byrd,26,49.4,199,403,1.66
60,T60,T60,Jerry Kelly,29,49.4,167,338,2.16
61,T60,T60,John Mallinger,29,49.4,121,245,1.07
62,63,63,Bubba Watson,22,49.5,183,370,0.98
63,T64,T64,Martin Flores,26,49.6,210,423,2.05
64,T64,T64,J.B. Holmes,26,49.6,253,510,1.62
65,T64,T64,D.A. Points,29,49.6,187,377,1.39
66,T67,T67,Stewart Cink,23,49.8,156,313,1.03
67,T67,T67,Jeff Maggert,28,49.8,135,271,2.0
68,T67,T67,Brenden Pappas,24,49.8,161,323,1.8
69,T70,T70,Lucas Glover,23,50.0,142,284,2.18
70,T70,T70,Ryan Moore,24,50.0,131,262,0.31
71,T70,T70,Jeff Quinney,29,50.0,159,318,2.33
72,T73,T73,Nathan Green,27,50.2,209,416,2.15
73,T73,T73,Kevin Stadler,28,50.2,166,331,1.87
74,75,75,Cameron Tringale,22,50.4,119,236,2.02
75,T76,T76,Richard Johnson,27,50.5,139,275,2.3
76,T76,T76,Michael Letzig,27,50.5,184,364,1.85
77,T78,T78,Rich Barcelo,25,50.6,170,336,2.82
78,T78,T78,John Senden,30,50.6,196,387,1.22
79,T78,T78,Y.E. Yang,21,50.6,137,271,0.58
80,81,81,Davis Love III,24,50.7,149,294,1.14
81,T82,T82,Blake Adams,26,50.8,167,329,1.62
82,T82,T82,Greg Kraft,22,50.8,100,197,3.2
83,T82,T82,Brandt Snedeker,26,50.8,183,360,0.82
84,85,85,Matt Bettencourt,32,50.9,192,377,1.51
85,86,86,Pat Perez,27,51.0,185,363,2.38
86,T87,T87,Ryan Palmer,27,51.1,207,405,0.72
87,T87,T87,Vaughn Taylor,26,51.1,165,323,1.09
88,T89,T89,Brent Delahoussaye,21,51.3,102,199,1.47
89,T89,T89,Jeff Overton,26,51.3,215,419,1.44
90,T89,T89,Boo Weekley,27,51.3,158,308,1.65
91,92,92,Matt Every,18,51.4,128,249,1.17
92,93,93,Chris Stroud,27,51.7,183,354,0.93
93,94,94,Lee Janzen,26,51.8,186,359,1.83
94,T95,T95,Graham DeLaet,28,51.9,178,343,1.46
95,T95,T95,Dustin Johnson,23,51.9,189,364,0.95
96,T95,T95,Jay Williamson,24,51.9,126,243,1.98
97,T98,T98,Scott McCarron,29,52.0,191,367,1.15
98,T98,T98,D.J. Trahan,27,52.0,216,415,0.05
99,100,100,John Daly,20,52.1,148,284,1.55
100,101,101,Cameron Beckman,25,52.2,152,291,2.43
101,T102,T102,Geoff Ogilvy,19,52.3,149,285,0.47
