,Driving_Pct._240-260_Measured_RANK THIS WEEK,Driving_Pct._240-260_Measured_RANK LAST WEEK,Driving_Pct._240-260_Measured_PLAYER NAME,Driving_Pct._240-260_Measured_ROUNDS,Driving_Pct._240-260_Measured_%,Driving_Pct._240-260_Measured_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_Measured_TOTAL DRVS - OVERALL,Driving_Pct._240-260_Measured_RELATIVE TO PAR
0,1,1,Brian Gay,101,31.52,58.0,184,-0.12
1,2,2,Craig Bowden,56,25.49,26.0,102,+0.15
2,3,3,Jim Furyk,76,21.21,28.0,132,-0.14
3,4,4,Jeff Quinney,91,20.69,36.0,174,+0.06
4,5,5,Alex Cejka,81,20.0,30.0,150,+0.17
5,6,6,Omar Uresti,74,19.85,27.0,136,+0.04
6,7,7,Ben Curtis,78,19.29,27.0,140,+0.33
7,8,8,Mike Weir,59,19.15,18.0,94,-0.17
8,9,9,Chad Collins,87,18.99,30.0,158,+0.03
9,10,10,Tim Clark,88,18.83,29.0,154,-0.10
10,11,11,Skip Kendall,58,18.0,18.0,100,+0.22
11,12,12,Chris Riley,73,17.91,24.0,134,-0.04
12,13,13,Chris DiMarco,88,17.86,30.0,168,-0.13
13,14,14,Paul Goydos,78,17.57,26.0,148,E
14,15,15,Greg Kraft,52,17.39,16.0,92,+0.38
15,16,16,Michael Bradley,77,17.12,25.0,146,-0.16
16,17,17,Brent Delahoussaye,57,16.67,17.0,102,+0.24
17,18,18,Steve Flesch,78,16.43,23.0,140,+0.17
18,19,19,Ryuji Imada,90,16.11,29.0,180,+0.28
19,20,20,Nathan Green,86,15.85,26.0,164,+0.19
20,21,21,Scott Verplank,74,15.57,19.0,122,+0.37
21,22,22,Tim Petrovic,105,15.53,32.0,206,-0.03
22,23,23,Jerry Kelly,99,15.29,26.0,170,-0.08
23,24,24,Justin Leonard,89,15.0,24.0,160,+0.08
24,25,25,David Toms,86,14.94,23.0,154,+0.04
25,26,26,Brad Faxon,58,14.81,16.0,108,-0.19
26,T27,T27,Jeff Maggert,76,14.71,20.0,136,E
27,T27,T27,Brandt Snedeker,89,14.71,25.0,170,+0.20
28,29,29,Mark Wilson,87,14.46,24.0,166,+0.17
