,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Garrett Willis,82,8.23,81,984,+0.15
1,2,2,Brian Gay,101,9.44,108,1144,+0.03
2,3,3,Omar Uresti,74,9.57,81,846,+0.02
3,4,4,Justin Bolli,55,9.72,56,576,+0.09
4,5,5,Matt Kuchar,97,9.82,102,1039,-0.04
5,6,6,Ben Curtis,78,10.04,92,916,+0.11
6,7,7,Dean Wilson,54,10.15,66,650,-0.05
7,8,8,Jim Furyk,76,10.32,86,833,E
8,9,9,Joe Durant,67,10.39,82,789,+0.12
9,10,10,Rod Pampling,77,10.43,101,968,+0.12
10,11,11,Alex Cejka,81,10.53,98,931,+0.11
11,12,12,Jerry Kelly,99,10.58,121,1144,+0.18
12,13,13,Craig Bowden,56,10.68,71,665,+0.21
13,14,14,Tim Clark,88,10.69,101,945,+0.13
14,15,15,Skip Kendall,58,10.91,74,678,+0.19
15,16,16,Kenny Perry,69,11.0,86,782,+0.15
16,17,17,Andrew McLardy,52,11.2,68,607,+0.01
17,18,18,Spencer Levin,110,11.21,152,1356,E
18,19,19,Paul Stankowski,62,11.32,83,733,+0.04
19,20,20,Steve Flesch,78,11.36,101,889,-0.05
20,T21,T21,John Mallinger,78,11.5,103,896,+0.02
21,T21,T21,Jeff Quinney,91,11.5,127,1104,+0.07
22,23,23,Kevin Sutherland,86,11.52,124,1076,E
23,24,24,Heath Slocum,97,11.58,118,1019,+0.04
24,25,25,Richard Johnson,90,11.66,118,1012,+0.12
25,26,26,Chris Couch,66,11.75,96,817,+0.09
26,27,27,Brett Quigley,96,11.8,142,1203,+0.04
27,28,28,Charles Warren,64,12.02,91,757,+0.16
28,29,29,Stephen Ames,75,12.03,115,956,+0.08
29,30,30,Justin Leonard,89,12.19,122,1001,+0.08
30,31,31,Woody Austin,93,12.24,140,1144,+0.03
31,32,32,Retief Goosen,75,12.33,90,730,-0.06
32,33,33,Ben Crane,85,12.34,113,916,+0.03
33,34,34,Aron Price,70,12.43,107,861,+0.15
34,35,35,Paul Goydos,78,12.47,114,914,+0.11
35,36,36,David Duval,71,12.48,94,753,-0.01
36,T37,T37,Zach Johnson,93,12.62,132,1046,+0.14
37,T37,T37,Carl Pettersson,99,12.62,144,1141,+0.16
38,39,39,Will MacKenzie,72,12.63,119,942,+0.17
39,40,40,Garth Mulroy,53,12.65,73,577,+0.18
40,41,41,Justin Rose,78,12.67,122,963,-0.09
41,42,42,Michael Connell,89,12.68,135,1065,+0.13
42,43,43,Jeff Maggert,76,12.71,111,873,+0.14
43,44,44,Davis Love III,79,12.73,116,911,+0.06
44,45,45,Vaughn Taylor,87,12.74,139,1091,+0.08
45,46,46,Scott Verplank,74,12.77,99,775,+0.09
46,47,47,Tom Gillis,97,12.8,160,1250,+0.08
47,T48,T48,Kevin Johnson,62,12.82,86,671,+0.23
48,T48,T48,Mark Wilson,87,12.82,141,1100,+0.11
49,50,50,Stuart Appleby,101,12.83,155,1208,-0.05
50,T51,T51,Bill Haas,87,12.84,133,1036,-0.03
51,T51,T51,Steve Stricker,73,12.84,100,779,-0.08
52,T53,T53,Rocco Mediate,71,12.86,108,840,+0.24
53,T53,T53,Pat Perez,90,12.86,148,1151,+0.20
54,T53,T53,Michael Sim,64,12.86,94,731,+0.01
55,56,56,Ryan Moore,80,12.88,109,846,-0.05
56,57,57,Mathew Goggin,85,12.89,135,1047,+0.16
57,58,58,Brendon de Jonge,114,12.95,162,1251,+0.09
58,59,59,Billy Mayfair,78,12.96,117,903,E
59,60,60,Chris DiMarco,88,12.98,139,1071,+0.04
60,61,61,Ted Purdy,86,13.03,132,1013,+0.10
61,62,62,Tom Pernice Jr.,74,13.13,105,800,+0.11
62,63,63,Cliff Kresge,50,13.2,82,621,-0.05
63,64,64,Jason Bohn,84,13.23,134,1013,+0.19
64,65,65,Ryuji Imada,90,13.26,153,1154,+0.05
65,66,66,Michael Letzig,84,13.34,147,1102,+0.12
66,67,67,Jerod Turner,54,13.35,73,547,+0.25
67,68,68,Scott McCarron,90,13.4,153,1142,+0.08
68,69,69,Chad Campbell,94,13.43,151,1124,+0.11
69,70,70,Blake Adams,84,13.44,139,1034,+0.06
70,71,71,Brent Delahoussaye,57,13.45,87,647,+0.07
71,T72,T72,Mathias Grönberg,61,13.46,93,691,+0.14
72,T72,T72,J.J. Henry,92,13.46,146,1085,+0.05
73,74,74,Kevin Stadler,86,13.52,134,991,+0.09
74,75,75,Steve Wheatcroft,74,13.53,107,791,+0.14
75,76,76,K.J. Choi,82,13.54,114,842,+0.04
76,77,77,John Senden,103,13.55,163,1203,+0.04
77,78,78,Henrik Bjornstad,72,13.56,110,811,+0.10
78,79,79,Paul Casey,64,13.68,84,614,E
79,T80,T80,Webb Simpson,98,13.7,173,1263,+0.05
80,T80,T80,Boo Weekley,88,13.7,141,1029,+0.16
81,82,82,Y.E. Yang,72,13.72,111,809,+0.01
82,T83,T83,Lucas Glover,75,13.73,112,816,+0.05
83,T83,T83,David Toms,86,13.73,133,969,+0.07
84,T83,T83,Jay Williamson,76,13.73,116,845,+0.16
85,86,86,Kris Blanks,91,13.77,141,1024,+0.11
86,87,87,Brandt Snedeker,89,13.88,143,1030,+0.10
87,88,88,Shaun Micheel,70,13.92,102,733,+0.06
88,89,89,Chris Stroud,90,13.94,138,990,+0.01
89,90,90,Kevin Na,94,13.98,146,1044,+0.05
90,91,91,Nicholas Thompson,88,13.99,148,1058,+0.07
91,92,92,Jarrod Lyle,54,14.08,89,632,-0.02
92,93,93,Brian Davis,101,14.09,174,1235,+0.10
93,94,94,D.A. Points,90,14.1,154,1092,+0.07
94,95,95,John Merrick,109,14.12,180,1275,+0.14
95,96,96,Briny Baird,87,14.18,154,1086,+0.10
96,T97,T97,Jason Dufner,87,14.21,136,957,+0.13
97,T97,T97,Trevor Immelman,55,14.21,83,584,-0.05
98,99,99,Johnson Wagner,85,14.24,145,1018,+0.10
99,100,100,Graham DeLaet,88,14.29,149,1043,+0.06
100,T101,T101,Michael Bradley,77,14.33,134,935,+0.14
101,T101,T101,Matt Every,60,14.33,100,698,+0.10
102,103,103,Sergio Garcia,58,14.43,71,492,+0.01
103,104,104,Chris Tidland,77,14.47,136,940,+0.05
104,105,105,Brian Stuard,81,14.59,142,973,+0.10
105,106,106,Chris Riley,73,14.66,128,873,+0.10
106,107,107,Hunter Mahan,85,14.67,136,927,+0.06
107,108,108,Steve Elkington,74,14.69,119,810,+0.04
108,109,109,Brad Faxon,58,14.7,97,660,+0.25
109,110,110,Steve Lowery,67,14.72,112,761,+0.14
110,111,111,Alex Prugh,88,14.78,162,1096,+0.01
111,112,112,Roland Thatcher,72,14.82,138,931,+0.07
112,113,113,Camilo Villegas,78,14.86,115,774,+0.03
113,114,114,Jonathan Byrd,85,14.88,168,1129,+0.07
114,115,115,James Nitties,92,14.9,166,1114,+0.11
115,116,116,Jeff Gove,57,14.92,91,610,+0.33
116,117,117,Nathan Green,86,14.95,167,1117,+0.21
117,118,118,Bo Van Pelt,104,15.08,182,1207,+0.06
118,T119,T119,Rickie Fowler,98,15.11,173,1145,+0.01
119,T119,T119,Greg Owen,69,15.11,128,847,+0.19
120,121,121,Chris Wilson,65,15.21,108,710,+0.08
121,122,122,Charlie Wi,95,15.22,187,1229,+0.09
122,123,123,Mark Calcavecchia,50,15.28,70,458,+0.17
123,124,124,Greg Kraft,52,15.33,82,535,+0.27
124,125,125,Stewart Cink,84,15.4,138,896,+0.04
125,126,126,Cameron Beckman,68,15.44,126,816,+0.17
126,127,127,Charley Hoffman,85,15.58,165,1059,+0.11
127,128,128,Cameron Tringale,55,15.59,97,622,+0.06
128,129,129,Adam Scott,70,15.6,112,718,-0.01
129,130,130,Sean O'Hair,84,15.61,141,903,+0.01
130,131,131,Robert Allenby,76,15.62,132,845,-0.02
131,132,132,Josh Teater,101,15.71,198,1260,+0.18
132,133,133,J.P. Hayes,79,15.73,148,941,+0.14
133,134,134,Kevin Streelman,90,15.75,174,1105,+0.09
134,135,135,Matt Jones,89,15.76,173,1098,+0.08
135,136,136,Tim Petrovic,105,15.77,205,1300,+0.13
136,137,137,Brett Wetterich,54,15.83,116,733,-0.06
137,138,138,Steve Marino,81,15.96,139,871,+0.10
138,139,139,Matt Bettencourt,91,16.04,153,954,+0.07
139,140,140,Jeev Milkha Singh,59,16.11,115,714,+0.08
140,141,141,Luke Donald,71,16.14,117,725,+0.03
141,142,142,Phil Mickelson,76,16.22,126,777,-0.06
142,T143,T143,Ricky Barnes,103,16.27,184,1131,+0.04
143,T143,T143,Rory McIlroy,54,16.27,90,553,+0.12
144,145,145,Vijay Singh,75,16.31,128,785,+0.06
145,146,146,Padraig Harrington,57,16.33,98,600,-0.02
146,147,147,Vance Veazey,58,16.34,107,655,+0.20
147,148,148,John Rollins,81,16.44,171,1040,+0.04
148,149,149,Roger Tambellini,77,16.47,140,850,+0.14
149,150,150,Lee Janzen,77,16.48,158,959,+0.10
150,151,151,Freddie Jacobson,83,16.51,176,1066,+0.10
151,152,152,D.J. Trahan,92,16.67,188,1128,-0.01
152,153,153,Bob Estes,79,16.8,163,970,-0.05
153,154,154,J.B. Holmes,100,16.88,202,1197,+0.08
154,T155,T155,Rory Sabbatini,79,16.9,157,929,-0.01
155,T155,T155,Bubba Watson,77,16.9,155,917,+0.01
156,157,157,Brenden Pappas,66,17.07,128,750,+0.08
157,158,158,Rich Barcelo,70,17.31,135,780,+0.22
158,159,159,Troy Merritt,86,17.44,184,1055,+0.10
159,160,160,Nick Watney,91,17.5,168,960,-0.01
160,161,161,Jeff Overton,89,17.53,170,970,+0.08
161,162,162,Joe Ogilvie,99,17.56,207,1179,+0.07
162,163,163,Ryan Palmer,84,17.57,171,973,+0.02
163,164,164,Ian Poulter,55,17.63,82,465,+0.22
164,165,165,Jason Day,82,17.64,172,975,+0.04
165,166,166,Martin Laird,91,17.65,192,1088,+0.05
166,167,167,Cameron Percy,73,17.71,144,813,+0.01
167,168,168,Chad Collins,87,17.72,183,1033,+0.14
168,169,169,Bill Lunde,79,17.93,165,920,+0.10
169,T170,T170,Ernie Els,72,18.11,138,762,-0.03
170,T170,T170,Martin Flores,75,18.11,157,867,+0.08
171,172,172,Andres Romero,73,18.12,179,988,+0.12
172,173,173,Troy Matteson,84,18.23,198,1086,+0.08
173,174,174,Geoff Ogilvy,62,18.29,126,689,-0.02
174,175,175,Dustin Johnson,83,18.35,158,861,+0.07
175,176,176,Marc Leishman,87,18.64,184,987,+0.09
176,177,177,Tim Herron,79,18.69,177,947,+0.12
177,178,178,James Driscoll,78,18.76,191,1018,+0.02
178,179,179,Derek Lamely,81,18.79,164,873,+0.16
179,180,180,John Daly,63,18.87,120,636,+0.03
180,181,181,Bryce Molder,84,19.02,191,1004,+0.02
181,182,182,Scott Piercy,88,19.2,212,1104,+0.09
182,T183,T183,David Lutterus,69,19.3,148,767,+0.12
183,T183,T183,Mike Weir,59,19.3,105,544,+0.23
