,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Jim Furyk,21,"17' 0""",3952.417,232
1,2,2,Omar Uresti,27,"18' 6""",3667.75,198
2,T3,T3,Heath Slocum,25,"19' 6""",5374.0,276
3,T3,T3,Jay Williamson,24,"19' 6""",4970.833,255
4,5,5,Tim Clark,24,"19' 7""",4957.667,253
5,T6,T6,Zach Johnson,25,"19' 8""",5914.75,301
6,T6,T6,David Toms,25,"19' 8""",5365.5830000000005,273
7,T8,T8,Brian Gay,30,"19' 9""",5615.0,284
8,T8,T8,Tom Gillis,27,"19' 9""",7266.75,368
9,10,10,Craig Bowden,20,"20' 0""",3506.083,175
10,11,11,Dean Wilson,18,"20' 4""",4120.333,203
11,T12,T12,Jason Dufner,25,"20' 5""",5895.75,289
12,T12,T12,Cliff Kresge,17,"20' 5""",3741.167,183
13,T14,T14,K.J. Choi,22,"20' 8""",5721.4169999999995,277
14,T14,T14,Chris Riley,24,"20' 8""",5404.75,262
15,16,16,Brian Davis,32,"20' 10""",7883.0830000000005,378
16,17,17,Justin Leonard,27,"21' 0""",6284.5830000000005,299
17,18,18,Ryan Moore,24,"21' 1""",5497.0830000000005,261
18,19,19,Jeff Maggert,28,"21' 2""",5948.8330000000005,281
19,20,20,Brent Delahoussaye,21,"21' 3""",4243.083,200
20,T21,T21,Stephen Ames,23,"21' 5""",6634.0830000000005,310
21,T21,T21,Ben Curtis,24,"21' 5""",5644.4169999999995,264
22,T21,T21,Joe Durant,19,"21' 5""",4012.583,187
23,T21,T21,Spencer Levin,31,"21' 5""",9653.75,451
24,T25,T25,Paul Goydos,25,"21' 6""",5770.9169999999995,268
25,T25,T25,Hunter Mahan,25,"21' 6""",6205.5830000000005,289
26,T25,T25,Kenny Perry,20,"21' 6""",5085.667,237
27,28,28,Steve Elkington,22,"21' 7""",5651.5,262
28,29,29,Mark Wilson,28,"21' 8""",6836.5,316
29,30,30,Scott Verplank,22,"21' 10""",5095.5,233
30,31,31,Rod Pampling,26,"21' 11""",7006.3330000000005,320
31,T32,T32,Tom Pernice Jr.,22,"22' 1""",5863.0830000000005,266
32,T32,T32,Jeff Quinney,29,"22' 1""",7093.4169999999995,321
33,T32,T32,Steve Stricker,19,"22' 1""",5542.8330000000005,251
34,T32,T32,Boo Weekley,27,"22' 1""",7174.3330000000005,325
35,36,36,Aron Price,22,"22' 3""",5955.5,268
36,37,37,Jerry Kelly,29,"22' 5""",7474.75,334
37,T38,T38,Jason Bohn,25,"22' 7""",7555.3330000000005,334
