,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Adam Scott,70,1.609,0.47200000000000003,1.1640000000000001,-0.027000000000000003,52
1,2,2,Vijay Singh,75,1.494,0.369,0.9790000000000001,0.145,57
2,3,3,Steve Stricker,73,1.383,0.191,0.773,0.419,56
3,4,4,Jim Furyk,76,1.159,0.15,0.6409999999999999,0.36700000000000005,60
4,5,5,Phil Mickelson,76,1.151,0.185,0.738,0.228,57
5,6,6,Bo Van Pelt,104,1.091,0.7240000000000001,0.26,0.107,87
6,7,7,Camilo Villegas,78,1.087,0.21,0.755,0.122,56
7,8,8,Robert Allenby,76,1.014,0.40299999999999997,0.642,-0.031,61
8,9,9,Ernie Els,72,0.992,0.215,0.735,0.043,55
9,10,10,Bill Haas,87,0.985,0.46399999999999997,0.515,0.005,75
10,11,11,D.J. Trahan,92,0.963,0.6920000000000001,0.45,-0.179,82
11,12,12,Justin Rose,78,0.9520000000000001,0.33799999999999997,0.168,0.447,70
12,13,13,Rory McIlroy,54,0.9440000000000001,0.698,0.271,-0.025,40
13,14,14,K.J. Choi,82,0.927,0.151,0.507,0.26899999999999996,61
14,15,15,Retief Goosen,75,0.917,0.337,0.185,0.395,53
15,16,16,Charley Hoffman,85,0.889,0.638,0.317,-0.065,77
16,17,17,Dustin Johnson,83,0.8690000000000001,0.76,0.28800000000000003,-0.179,63
17,18,18,J.B. Holmes,100,0.868,0.7290000000000001,0.026000000000000002,0.113,88
18,19,19,Heath Slocum,97,0.8370000000000001,0.156,0.546,0.134,73
19,20,20,Matt Kuchar,97,0.8270000000000001,0.158,0.336,0.33399999999999996,75
20,21,21,Nick Watney,91,0.8059999999999999,0.593,0.517,-0.304,69
21,22,22,Padraig Harrington,57,0.799,-0.10400000000000001,0.524,0.379,44
22,23,23,Joe Durant,67,0.775,0.597,0.29600000000000004,-0.11800000000000001,57
23,24,24,Bubba Watson,77,0.77,0.7979999999999999,0.14,-0.168,67
24,25,25,Brendon de Jonge,114,0.757,0.16,0.721,-0.125,91
25,T26,T26,Jason Day,82,0.752,0.254,0.054000000000000006,0.444,71
26,T26,T26,Graham DeLaet,88,0.752,0.6779999999999999,0.111,-0.038,76
