,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,T1,T1,J.B. Holmes,100,6.9,467.5,68,8.5,4.1
1,T1,T1,Ted Purdy,86,6.9,404.9,59,8.1,4.2
2,T3,T3,Chris Couch,66,6.8,293.3,43,7.6,3.5
3,T3,T3,Davis Love III,79,6.8,403.6,59,8.3,4.1
4,T3,T3,Paul Stankowski,62,6.8,251.2,37,7.5,5.1
5,T3,T3,Charles Warren,64,6.8,279.1,41,7.7,2.2
6,T7,T7,Jonathan Byrd,85,6.7,472.7,71,7.9,3.8
7,T7,T7,Ben Crane,85,6.7,462.0,69,7.7,5.5
8,T7,T7,Padraig Harrington,57,6.7,312.7,47,8.1,4.3
9,T7,T7,Derek Lamely,81,6.7,375.0,56,7.8,4.9
10,T7,T7,Marc Leishman,87,6.7,461.4,69,8.0,4.0
11,T7,T7,Troy Matteson,84,6.7,462.0,69,7.7,5.3
12,T7,T7,Garth Mulroy,53,6.7,241.7,36,7.8,3.8
13,T7,T7,Kevin Sutherland,86,6.7,473.2,71,7.6,4.5
14,T15,T15,Graham DeLaet,88,6.6,317.2,48,8.0,0.6
15,T15,T15,Luke Donald,71,6.6,375.3,57,7.5,5.2
16,T15,T15,Rickie Fowler,98,6.6,533.5,81,7.7,4.2
17,T15,T15,Steve Marino,81,6.6,443.9,67,7.5,4.6
18,T15,T15,Rory McIlroy,54,6.6,264.0,40,7.6,5.2
19,T15,T15,Geoff Ogilvy,62,6.6,363.8,55,7.6,5.3
20,T15,T15,Ryan Palmer,84,6.6,456.7,69,7.5,4.0
21,T15,T15,Josh Teater,101,6.6,514.9,78,7.4,3.5
22,T15,T15,Jimmy Walker,82,6.6,360.5,55,7.6,4.6
23,T24,T24,Woody Austin,93,6.5,431.0,66,7.3,4.9
24,T24,T24,Aaron Baddeley,94,6.5,515.7,79,7.9,2.6
25,T24,T24,Alex Cejka,81,6.5,384.6,59,7.5,4.5
26,T24,T24,Sergio Garcia,58,6.5,221.5,34,7.5,4.7
