,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Robert Garrigus,71,55.88,56288.6,100723
1,2,2,Dustin Johnson,83,55.72,61954.9,111189
2,3,3,J.B. Holmes,100,55.5,83515.6,150486
3,4,4,Bubba Watson,77,54.95,64542.3,117462
4,5,5,John Daly,63,54.81,40975.9,74757
5,6,6,Graham DeLaet,88,54.46,68809.8,126344
6,7,7,Brett Wetterich,54,54.26,48646.3,89652
7,8,8,D.J. Trahan,92,54.2,77958.2,143832
8,9,9,Ángel Cabrera,64,54.08,47453.4,87741
9,10,10,Phil Mickelson,76,54.03,57251.0,105955
10,11,11,Charley Hoffman,85,53.76,71916.6,133776
11,T12,T12,Martin Flores,75,53.66,61248.3,114142
12,T12,T12,Marc Leishman,87,53.66,62702.8,116846
13,14,14,Charles Warren,64,53.59,51079.1,95319
14,15,15,Aaron Baddeley,94,53.55,82657.5,154355
15,16,16,Daniel Chopra,74,53.54,62650.7,117008
16,17,17,Jason Day,82,53.49,63264.4,118269
17,18,18,Martin Laird,91,53.46,72642.1,135872
18,19,19,Davis Love III,79,53.43,59329.6,111049
19,20,20,Lucas Glover,75,53.36,55527.2,104053
20,21,21,Garth Mulroy,53,53.35,39805.3,74618
21,22,22,Nick Watney,91,53.31,66414.7,124579
22,23,23,Scott Piercy,88,53.3,75997.7,142574
23,24,24,Troy Matteson,84,53.24,71935.7,135127
24,25,25,Bo Van Pelt,104,53.18,79024.9,148605
25,26,26,Derek Lamely,81,53.17,58179.8,109412
26,27,27,Rory McIlroy,54,53.14,36950.6,69540
27,28,28,Paul Casey,64,53.06,37553.9,70781
28,29,29,Charles Howell III,103,52.97,83050.1,156787
29,T30,T30,Stewart Cink,84,52.96,58974.1,111347
30,T30,T30,George McNeill,79,52.96,63293.6,119509
31,32,32,Jeff Overton,89,52.93,61585.9,116353
32,33,33,Alex Prugh,88,52.9,73119.4,138209
33,T34,T34,Bill Haas,87,52.88,69899.5,132194
34,T34,T34,Andres Romero,73,52.88,67619.2,127863
35,36,36,Boo Weekley,88,52.87,62902.8,118968
36,37,37,Roger Tambellini,77,52.84,56539.0,107000
37,T38,T38,Chris Couch,66,52.83,55647.4,105323
38,T38,T38,Mathias Grönberg,61,52.83,43723.2,82758
39,40,40,Ryan Palmer,84,52.82,65269.3,123577
40,41,41,Camilo Villegas,78,52.72,49173.0,93266
41,42,42,John Rollins,81,52.71,67886.4,128792
42,43,43,Matt Bettencourt,91,52.66,67193.8,127604
43,44,44,James Driscoll,78,52.61,66097.3,125640
44,45,45,Jarrod Lyle,54,52.59,40748.9,77478
45,46,46,Blake Adams,84,52.48,64003.5,121968
46,47,47,Hunter Mahan,85,52.47,61506.1,117230
47,48,48,Jimmy Walker,82,52.43,63094.3,120347
48,49,49,Josh Teater,101,52.42,85855.0,163774
49,50,50,Cameron Tringale,55,52.4,41675.8,79529
50,51,51,J.J. Henry,92,52.32,71033.7,135769
51,52,52,Cameron Percy,73,52.3,55245.7,105638
52,53,53,Matt Jones,89,52.29,72562.8,138761
53,54,54,John Merrick,109,52.27,81736.8,156384
54,55,55,Matt Every,60,52.26,46411.4,88806
55,56,56,Rory Sabbatini,79,52.25,64290.8,123056
56,57,57,Ryan Moore,80,52.22,55043.2,105411
57,58,58,Kevin Streelman,90,52.21,72209.2,138314
58,T59,T59,Rickie Fowler,98,52.18,76215.5,146066
59,T59,T59,Sean O'Hair,84,52.18,60934.5,116773
60,61,61,Jonathan Byrd,85,52.13,72124.4,138353
61,62,62,Henrik Bjornstad,72,52.12,54044.6,103694
62,63,63,Greg Owen,69,52.09,57554.9,110481
63,T64,T64,Tim Herron,79,52.07,60795.9,116752
64,T64,T64,Michael Letzig,84,52.07,70232.9,134875
65,66,66,Retief Goosen,75,52.05,45414.6,87245
66,67,67,Robert Allenby,76,52.03,53771.8,103340
67,68,68,Ted Purdy,86,52.01,69024.7,132718
68,T69,T69,Will MacKenzie,72,51.99,60385.3,116151
69,T69,T69,Vijay Singh,75,51.99,47672.4,91689
70,71,71,Steve Marino,81,51.96,60084.4,115630
71,72,72,Sergio Garcia,58,51.94,34306.2,66049
72,73,73,David Lutterus,69,51.84,51345.0,99038
73,74,74,Nicholas Thompson,88,51.83,70549.9,136128
74,T75,T75,Padraig Harrington,57,51.82,39633.6,76476
75,T75,T75,John Senden,103,51.82,79825.0,154055
76,T75,T75,Roland Thatcher,72,51.82,61102.7,117909
77,78,78,Stuart Appleby,101,51.8,76058.6,146822
78,79,79,Trevor Immelman,55,51.77,37155.2,71776
79,80,80,Adam Scott,70,51.76,50837.2,98214
80,81,81,Scott McCarron,90,51.73,75464.9,145884
81,82,82,Troy Merritt,86,51.72,68374.6,132207
82,T83,T83,Ernie Els,72,51.65,49987.6,96781
83,T83,T83,Steve Lowery,67,51.65,48907.1,94682
84,T83,T83,Chris Wilson,65,51.65,47966.5,92876
85,86,86,Kevin Stadler,86,51.63,67494.1,130723
86,T87,T87,Bill Lunde,79,51.61,64061.7,124122
87,T87,T87,Kenny Perry,69,51.61,50832.1,98494
88,89,89,Brenden Pappas,66,51.6,50190.6,97267
89,90,90,Joe Ogilvie,99,51.5,76978.0,149458
90,T91,T91,Rich Barcelo,70,51.49,50444.8,97963
91,T91,T91,Jeff Gove,57,51.49,38819.1,75387
92,T93,T93,Brendon de Jonge,114,51.47,82137.6,159587
93,T93,T93,Lee Janzen,77,51.47,60846.7,118223
94,95,95,K.J. Choi,82,51.46,54930.6,106748
95,T96,T96,Paul Stankowski,62,51.43,44984.0,87463
96,T96,T96,Y.E. Yang,72,51.43,50581.2,98341
97,98,98,Mathew Goggin,85,51.39,67358.6,131062
98,99,99,Kevin Sutherland,86,51.37,71634.3,139448
99,T100,T100,Chris Tidland,77,51.35,62900.4,122499
100,T100,T100,Steve Wheatcroft,74,51.35,52349.9,101942
101,102,102,Tom Gillis,97,51.34,81927.2,159593
102,103,103,Jeev Milkha Singh,59,51.3,42414.6,82676
103,T104,T104,Andrew McLardy,52,51.29,39559.5,77125
104,T104,T104,Chris Stroud,90,51.29,63588.5,123974
105,106,106,Matt Kuchar,97,51.28,65682.5,128095
106,107,107,Ricky Barnes,103,51.24,73563.1,143554
107,108,108,Justin Rose,78,51.23,59548.0,116242
108,109,109,Jason Dufner,87,51.21,62492.7,122042
109,110,110,Mark Calcavecchia,50,51.13,30040.5,58752
110,111,111,Pat Perez,90,51.1,74303.3,145417
111,112,112,Geoff Ogilvy,62,51.08,46524.5,91090
112,113,113,Webb Simpson,98,51.05,78390.3,153549
113,114,114,Joe Durant,67,51.01,46442.2,91043
114,T115,T115,Brett Quigley,96,50.95,79886.4,156779
115,T115,T115,Brian Stuard,81,50.95,60728.8,119188
116,117,117,Stephen Ames,75,50.94,60413.7,118587
117,118,118,Kris Blanks,91,50.93,67512.4,132559
118,119,119,Steve Elkington,74,50.92,53767.5,105587
119,T120,T120,Freddie Jacobson,83,50.83,65462.5,128799
120,T120,T120,Vance Veazey,58,50.83,42769.1,84145
121,122,122,Jay Williamson,76,50.82,50759.0,99888
122,123,123,Chad Campbell,94,50.76,68540.0,135025
123,T124,T124,David Duval,71,50.74,53744.9,105927
124,T124,T124,D.A. Points,90,50.74,70183.0,138329
125,126,126,Woody Austin,93,50.73,72680.2,143261
126,127,127,Aron Price,70,50.7,53135.2,104794
127,128,128,Rod Pampling,77,50.67,63688.2,125687
128,129,129,Steve Stricker,73,50.65,48905.6,96565
129,130,130,James Nitties,92,50.63,71325.4,140876
130,131,131,Carl Pettersson,99,50.61,71674.0,141628
131,T132,T132,Bob Estes,79,50.48,60449.3,119759
132,T132,T132,Billy Mayfair,78,50.48,56108.0,111144
133,T132,T132,Shaun Micheel,70,50.48,44509.3,88172
134,135,135,Ian Poulter,55,50.47,28589.2,56651
135,136,136,Vaughn Taylor,87,50.42,72085.9,142967
136,T137,T137,Cameron Beckman,68,50.39,48346.1,95935
137,T137,T137,Zach Johnson,93,50.39,64093.4,127188
138,T139,T139,Briny Baird,87,50.38,64592.9,128203
139,T139,T139,J.P. Hayes,79,50.38,62128.7,123309
140,T139,T139,Cliff Kresge,50,50.38,38357.5,76133
141,142,142,Ben Crane,85,50.37,54930.6,109050
142,143,143,Garrett Willis,82,50.32,63436.5,126078
143,144,144,Jerod Turner,54,50.29,32027.5,63681
144,T145,T145,Michael Sim,64,50.26,45710.4,90953
145,T145,T145,Mark Wilson,87,50.26,70122.7,139533
146,147,147,Jason Bohn,84,50.22,66226.3,131885
147,T148,T148,Kevin Na,94,50.2,63428.9,126344
148,T148,T148,David Toms,86,50.2,58669.2,116861
149,T148,T148,Johnson Wagner,85,50.2,64090.3,127671
150,151,151,Spencer Levin,110,50.12,83506.8,166609
151,152,152,John Mallinger,78,50.09,56901.0,113587
152,153,153,Ryuji Imada,90,50.04,70906.6,141691
153,154,154,Jim Furyk,76,50.03,52213.9,104358
154,155,155,Charlie Wi,95,50.02,74847.7,149623
155,156,156,Nathan Green,86,49.99,68440.7,136918
156,157,157,Michael Bradley,77,49.95,58759.6,117645
157,158,158,Jeff Maggert,76,49.94,52352.1,104826
158,159,159,Justin Bolli,55,49.93,36573.6,73252
159,160,160,Heath Slocum,97,49.92,64820.5,129850
160,T161,T161,Greg Chalmers,93,49.89,75743.3,151808
161,T161,T161,Steve Flesch,78,49.89,58308.7,116871
162,T161,T161,Rocco Mediate,71,49.89,51868.7,103972
163,T161,T161,Tim Petrovic,105,49.89,82540.0,165441
164,165,165,Brandt Snedeker,89,49.86,63290.1,126947
165,166,166,Scott Verplank,74,49.84,45555.7,91399
166,167,167,Chris DiMarco,88,49.82,66274.1,133025
167,T168,T168,Chad Collins,87,49.77,61009.9,122588
168,T168,T168,Jerry Kelly,99,49.77,71918.3,144491
169,T168,T168,Chris Riley,73,49.77,49417.6,99284
170,171,171,Brian Davis,101,49.72,78424.7,157741
171,172,172,Michael Connell,89,49.7,64494.4,129762
172,173,173,Bryce Molder,84,49.68,62613.7,126024
173,174,174,Tom Pernice Jr.,74,49.62,48643.0,98026
174,175,175,Skip Kendall,58,49.61,41985.3,84630
175,176,176,Alex Cejka,81,49.6,60557.5,122101
176,177,177,Luke Donald,71,49.55,46534.4,93915
177,178,178,Mike Weir,59,49.53,34273.2,69202
178,T179,T179,Richard Johnson,90,49.39,59195.1,119841
179,T179,T179,Dean Wilson,54,49.39,37649.9,76223
180,T181,T181,Ben Curtis,78,49.33,54166.2,109813
181,T181,T181,Justin Leonard,89,49.33,55196.9,111900
182,183,183,Kevin Johnson,62,49.21,41519.1,84378
183,184,184,Tim Clark,88,49.16,56532.8,115007
184,185,185,Paul Goydos,78,49.07,57950.8,118106
185,186,186,Brent Delahoussaye,57,49.04,38881.2,79291
186,187,187,Jeff Quinney,91,48.85,65140.6,133359
187,188,188,Greg Kraft,52,48.83,33045.2,67677
188,189,189,Omar Uresti,74,48.56,51463.5,105973
189,190,190,Craig Bowden,56,48.07,41054.2,85411
190,191,191,Brad Faxon,58,47.88,41025.3,85685
191,192,192,Brian Gay,101,47.62,65826.7,138230
