,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Charles Warren,64,5,1,4
1,2,2,Graham DeLaet,88,8,2,6
2,3,3,John Senden,103,15,14,1
3,T4,T4,Joe Durant,67,17,14,3
4,T4,T4,Davis Love III,79,17,4,13
5,6,6,Boo Weekley,88,21,4,17
6,7,7,John Merrick,109,24,10,14
7,8,8,Paul Stankowski,62,37,28,9
8,T9,T9,Kevin Sutherland,86,42,40,2
9,T9,T9,D.J. Trahan,92,42,35,7
10,11,11,Bill Haas,87,43,22,21
11,T12,T12,Rickie Fowler,98,46,24,22
12,T12,T12,Kenny Perry,69,46,6,40
13,14,14,Hunter Mahan,85,52,3,49
14,15,15,Troy Matteson,84,54,49,5
15,16,16,Bo Van Pelt,104,55,18,37
16,T17,T17,Kris Blanks,91,56,48,8
17,T17,T17,Nick Watney,91,56,26,30
18,19,19,Steve Elkington,74,58,11,47
19,20,20,Billy Mayfair,78,60,31,29
20,21,21,J.J. Henry,92,62,16,46
21,22,22,Aron Price,70,64,54,10
22,23,23,Adam Scott,70,66,35,31
23,24,24,Mathew Goggin,85,68,42,26
24,25,25,Matt Kuchar,97,72,38,34
25,T26,T26,Garth Mulroy,53,73,56,17
26,T26,T26,John Rollins,81,73,7,66
27,T26,T26,Jay Williamson,76,73,30,43
28,29,29,Will MacKenzie,72,74,18,56
29,30,30,Josh Teater,101,76,31,45
30,31,31,Chad Campbell,94,77,38,39
31,32,32,Brendon de Jonge,114,78,61,17
32,33,33,Garrett Willis,82,80,56,24
33,34,34,Stewart Cink,84,83,31,52
34,35,35,Mark Wilson,87,85,73,12
35,36,36,Heath Slocum,97,90,58,32
36,37,37,Roger Tambellini,77,91,64,27
37,38,38,Vijay Singh,75,95,44,51
38,39,39,Cameron Tringale,55,101,86,15
39,40,40,Henrik Bjornstad,72,102,64,38
40,41,41,Ben Crane,85,103,40,63
41,42,42,Vaughn Taylor,87,104,45,59
42,43,43,Paul Casey,64,106,58,48
43,44,44,Cameron Percy,73,107,96,11
44,45,45,Steve Stricker,73,109,49,60
45,46,46,Pat Perez,90,110,67,43
46,47,47,Ryan Moore,80,112,8,104
47,48,48,Blake Adams,84,113,11,102
48,49,49,Robert Allenby,76,114,47,67
49,50,50,Mathias Grönberg,61,117,18,99
50,51,51,Lucas Glover,75,118,28,90
51,52,52,Jonathan Byrd,85,121,101,20
52,T53,T53,Chris Couch,66,122,8,114
53,T53,T53,Brett Wetterich,54,122,54,68
54,T53,T53,Dean Wilson,54,122,80,42
