,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,John Daly,63,66.09,194358.5,294090
1,2,2,Robert Garrigus,71,66.0,255407.0,386982
2,3,3,Dustin Johnson,83,65.48,265423.2,405361
3,4,4,J.B. Holmes,100,65.38,366196.5,560104
4,5,5,Bubba Watson,77,64.97,277607.9,427295
5,6,6,Graham DeLaet,88,64.81,310447.3,478993
6,7,7,Brett Wetterich,54,64.66,217213.3,335907
7,8,8,Ángel Cabrera,64,64.57,212224.1,328679
8,9,9,Charles Warren,64,64.26,224613.4,349517
9,10,10,D.J. Trahan,92,64.09,335121.6,522889
10,11,11,Martin Flores,75,64.07,260750.3,406982
11,12,12,Phil Mickelson,76,63.97,235430.3,368026
12,13,13,Troy Matteson,84,63.94,318248.5,497711
13,14,14,Alex Prugh,88,63.88,323379.1,506239
14,15,15,Charley Hoffman,85,63.77,312588.8,490173
15,16,16,Scott Piercy,88,63.71,327871.1,514622
16,17,17,Rory McIlroy,54,63.7,164258.6,257855
17,18,18,Martin Laird,91,63.67,321231.6,504521
18,19,19,Aaron Baddeley,94,63.62,354004.0,556422
19,20,20,Jeff Overton,89,63.6,287187.6,451539
20,21,21,Cameron Tringale,55,63.5,181436.2,285742
21,22,22,Nick Watney,91,63.41,281205.2,443500
22,23,23,Marc Leishman,87,63.39,289687.7,457025
23,24,24,Daniel Chopra,74,63.34,267807.1,422798
24,25,25,John Rollins,81,63.33,303032.3,478471
25,26,26,Boo Weekley,88,63.2,295542.6,467633
26,27,27,Jarrod Lyle,54,63.19,183751.6,290798
27,28,28,Jason Day,82,63.18,285807.8,452342
28,29,29,Ryan Palmer,84,63.16,286291.7,453310
29,30,30,Vijay Singh,75,63.15,228842.9,362394
30,31,31,Mathias Grönberg,61,63.13,199612.8,316206
31,32,32,Garth Mulroy,53,63.12,168794.0,267422
32,33,33,Bo Van Pelt,104,63.06,348727.0,552967
33,34,34,Davis Love III,79,63.05,264066.1,418807
34,35,35,Andres Romero,73,63.01,290143.4,460441
35,36,36,James Driscoll,78,63.0,294440.5,467334
36,37,37,Cameron Percy,73,62.9,235858.2,374952
37,38,38,Josh Teater,101,62.87,367592.7,584711
38,39,39,Kenny Perry,69,62.79,224142.8,356973
39,T40,T40,Matt Every,60,62.77,202319.8,322299
40,T40,T40,Charles Howell III,103,62.77,357666.8,569768
41,T42,T42,Stewart Cink,84,62.76,260479.7,415041
42,T42,T42,Chris Couch,66,62.76,235151.5,374698
43,T42,T42,Derek Lamely,81,62.76,254130.5,404894
44,45,45,Matt Bettencourt,91,62.72,278531.2,444118
45,46,46,Lucas Glover,75,62.65,236295.4,377168
46,47,47,Paul Casey,64,62.64,176229.5,281320
47,48,48,Chris Wilson,65,62.61,206388.0,329657
48,49,49,Rory Sabbatini,79,62.58,268695.2,429354
49,50,50,Retief Goosen,75,62.54,211039.7,337458
50,51,51,Rickie Fowler,98,62.53,330476.9,528499
51,52,52,Hunter Mahan,85,62.51,267866.5,428519
