,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,J.B. Holmes,100,302.2,19036.9,63,342.2,256.9
1,2,2,Dustin Johnson,83,297.1,16339.3,55,334.2,257.3
2,T3,T3,John Daly,63,293.8,7344.6,25,323.4,248.7
3,T3,T3,Phil Mickelson,76,293.8,11751.8,40,322.4,216.2
4,5,5,Graham DeLaet,88,291.8,13129.6,45,325.2,258.9
5,6,6,Bubba Watson,77,291.7,15170.4,52,335.4,238.0
6,7,7,Robert Garrigus,71,291.6,10204.3,35,323.2,264.2
7,8,8,Paul Casey,64,290.4,8712.2,30,313.5,263.8
8,9,9,Ángel Cabrera,64,289.1,13010.0,45,343.4,205.5
9,10,10,Andres Romero,73,287.6,16679.7,58,319.3,235.6
10,11,11,Troy Matteson,84,286.7,19209.1,67,323.6,228.6
11,12,12,Aaron Baddeley,94,286.6,18913.9,66,314.7,240.3
12,13,13,Scott Piercy,88,284.8,15664.3,55,316.5,247.6
13,14,14,Rory McIlroy,54,284.7,11386.8,40,324.3,225.3
14,15,15,Derek Lamely,81,284.5,13940.4,49,315.6,256.1
15,16,16,Davis Love III,79,284.1,15340.1,54,313.3,236.5
16,17,17,Martin Flores,75,284.0,13917.6,49,310.1,231.0
17,18,18,Jason Day,82,283.7,16455.7,58,316.0,228.7
18,19,19,Charles Warren,64,283.2,11045.7,39,303.8,260.3
19,20,20,Brett Wetterich,54,282.8,10180.3,36,317.4,252.1
20,21,21,Ryan Palmer,84,282.4,17794.2,63,305.8,247.3
21,22,22,Martin Laird,91,282.2,19469.8,69,333.4,216.6
22,23,23,Sergio Garcia,58,282.0,9023.0,32,307.9,249.4
23,24,24,Charley Hoffman,85,281.7,19719.1,70,322.8,237.7
24,25,25,Chris Couch,66,281.0,10959.9,39,313.2,245.4
25,T26,T26,Padraig Harrington,57,280.9,12922.6,46,309.7,240.5
26,T26,T26,D.J. Trahan,92,280.9,20508.8,73,323.6,253.7
27,28,28,Jimmy Walker,82,280.4,14021.2,50,326.3,239.9
28,29,29,Alex Prugh,88,280.1,17924.3,64,307.5,233.0
29,30,30,Marc Leishman,87,279.5,18168.5,65,305.3,235.7
30,T31,T31,Daniel Chopra,74,279.4,15367.6,55,316.9,232.9
31,T31,T31,George McNeill,79,279.4,14809.9,53,319.7,229.2
32,33,33,Ted Purdy,86,279.3,15641.0,56,306.1,240.2
33,T34,T34,Bo Van Pelt,104,278.6,20340.5,73,310.5,257.3
34,T34,T34,Nick Watney,91,278.6,18389.8,66,308.0,235.0
35,36,36,Stewart Cink,84,278.3,16699.2,60,323.7,241.1
36,T37,T37,Jonathan Byrd,85,278.1,17795.8,64,304.5,229.0
37,T37,T37,Steve Marino,81,278.1,17517.6,63,305.7,233.6
38,39,39,Adam Scott,70,277.9,14450.6,52,314.4,244.0
39,40,40,Jeff Overton,89,277.8,16390.8,59,312.1,238.2
40,41,41,Rickie Fowler,98,277.7,20550.2,74,304.5,227.4
41,T42,T42,Bill Haas,87,277.2,18570.1,67,314.1,233.6
42,T42,T42,Vijay Singh,75,277.2,15522.8,56,304.7,235.8
43,44,44,John Rollins,81,277.1,18286.7,66,307.3,238.7
44,45,45,Garth Mulroy,53,276.9,8861.3,32,299.9,243.7
45,46,46,Cameron Percy,73,276.7,12449.9,45,306.0,256.8
46,47,47,Matt Jones,89,276.3,17129.2,62,301.5,250.1
47,48,48,Rory Sabbatini,79,276.1,12422.4,45,309.1,235.7
48,49,49,Josh Teater,101,275.6,20944.8,76,304.0,248.8
49,50,50,Mathew Goggin,85,275.4,14323.2,52,316.3,240.5
50,T51,T51,James Driscoll,78,274.9,15944.8,58,303.5,241.1
51,T51,T51,Andrew McLardy,52,274.9,8246.5,30,292.1,250.1
52,T51,T51,Geoff Ogilvy,62,274.9,14294.6,52,307.4,246.0
53,54,54,Boo Weekley,88,274.7,18401.8,67,306.4,245.4
54,55,55,Brenden Pappas,66,274.4,10426.8,38,297.2,243.0
55,T56,T56,John Merrick,109,274.2,21663.5,79,303.8,229.5
56,T56,T56,Cameron Tringale,55,274.2,9322.8,34,295.9,243.6
57,T58,T58,Blake Adams,84,274.0,16989.8,62,304.5,251.8
58,T58,T58,Retief Goosen,75,274.0,12328.8,45,309.6,232.5
59,T60,T60,Kevin Stadler,86,273.9,15614.0,57,303.7,244.9
60,T60,T60,Chris Wilson,65,273.9,10956.0,40,313.1,249.1
61,62,62,Mark Calcavecchia,50,273.7,9579.2,35,312.6,248.5
62,63,63,John Senden,103,273.4,19957.4,73,299.3,222.3
63,64,64,Lucas Glover,75,273.3,13663.1,50,322.4,213.0
64,65,65,Greg Owen,69,273.0,15016.7,55,296.5,244.9
65,66,66,Camilo Villegas,78,272.9,12282.2,45,303.9,226.5
66,67,67,David Duval,71,272.5,9538.7,35,305.3,238.4
67,68,68,Charles Howell III,103,272.4,21245.7,78,297.4,238.4
68,69,69,Rich Barcelo,70,272.3,11438.4,42,291.7,251.9
69,70,70,Ryan Moore,80,272.1,16052.8,59,304.5,231.4
70,T71,T71,Stuart Appleby,101,271.9,22027.1,81,305.6,243.9
71,T71,T71,Kevin Sutherland,86,271.9,19035.3,70,293.4,233.3
72,73,73,Mathias Grönberg,61,271.7,10054.3,37,297.5,244.1
73,T74,T74,Tim Herron,79,271.6,15207.6,56,302.5,245.8
74,T74,T74,Will MacKenzie,72,271.6,15208.5,56,298.7,244.6
75,76,76,Roger Tambellini,77,271.5,13844.3,51,301.1,240.7
76,T77,T77,Brett Quigley,96,271.3,17907.8,66,300.8,236.6
77,T77,T77,Justin Rose,78,271.3,15736.8,58,300.8,226.5
78,T77,T77,Nicholas Thompson,88,271.3,17092.0,63,296.2,225.3
79,80,80,Matt Every,60,271.2,10846.4,40,299.0,250.8
80,81,81,Paul Stankowski,62,271.1,9217.9,34,294.1,249.4
81,82,82,Joe Ogilvie,99,271.0,20328.3,75,301.1,234.8
82,T83,T83,Ernie Els,72,270.8,13808.6,51,305.5,229.7
83,T83,T83,Sean O'Hair,84,270.8,15974.5,59,307.0,225.0
84,85,85,Troy Merritt,86,270.7,15158.0,56,301.0,248.0
85,86,86,J.J. Henry,92,270.5,18392.5,68,310.2,244.6
86,87,87,Chris Tidland,77,270.4,15412.7,57,298.8,243.9
