,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,John Daly,63,69.93,153382.6,219333
1,2,2,Robert Garrigus,71,69.56,199118.4,286259
2,3,3,Dustin Johnson,83,69.17,203468.3,294172
3,4,4,J.B. Holmes,100,69.01,282680.9,409618
4,5,5,Bubba Watson,77,68.77,213065.6,309833
5,6,6,Graham DeLaet,88,68.52,241637.5,352649
6,7,7,Brett Wetterich,54,68.45,168567.0,246255
7,8,8,Ángel Cabrera,64,68.39,164770.7,240938
8,9,9,Charles Warren,64,68.27,173534.3,254198
9,10,10,Martin Flores,75,68.13,199502.0,292840
10,11,11,Alex Prugh,88,68.0,250259.7,368030
11,12,12,Phil Mickelson,76,67.99,178179.3,262071
12,13,13,Troy Matteson,84,67.93,246312.8,362584
13,14,14,D.J. Trahan,92,67.84,257163.4,379057
14,15,15,Cameron Tringale,55,67.77,139760.4,206213
15,16,16,Scott Piercy,88,67.7,251873.4,372048
16,17,17,Rory McIlroy,54,67.6,127308.0,188315
17,18,18,Charley Hoffman,85,67.53,240672.2,356397
18,19,19,Aaron Baddeley,94,67.49,271346.5,402067
19,20,20,Martin Laird,91,67.43,248589.5,368649
20,21,21,Nick Watney,91,67.35,214790.5,318921
21,22,22,Jeff Overton,89,67.31,225601.7,335186
22,23,23,John Rollins,81,67.25,235145.9,349679
23,24,24,Daniel Chopra,74,67.09,205156.4,305790
24,25,25,Cameron Percy,73,67.06,180612.5,269314
25,26,26,Kenny Perry,69,67.05,173310.7,258479
26,27,27,Jarrod Lyle,54,67.04,143002.7,213320
27,28,28,Ryan Palmer,84,67.03,221022.4,329733
28,T29,T29,Vijay Singh,75,66.93,181170.5,270705
29,T29,T29,Josh Teater,101,66.93,281737.7,420937
30,T31,T31,Andres Romero,73,66.91,222524.2,332578
31,T31,T31,Chris Wilson,65,66.91,158421.5,236781
32,33,33,Garth Mulroy,53,66.9,128988.7,192804
33,34,34,James Driscoll,78,66.83,228343.2,341694
34,35,35,Mathias Grönberg,61,66.78,155889.6,233448
35,T36,T36,Matt Bettencourt,91,66.77,211337.4,316514
36,T36,T36,Matt Every,60,66.77,155908.4,233493
37,T38,T38,Marc Leishman,87,66.73,226984.9,340179
38,T38,T38,Rory Sabbatini,79,66.73,204404.4,306298
39,40,40,Boo Weekley,88,66.72,232639.8,348665
40,41,41,Bo Van Pelt,104,66.7,269702.1,404362
41,42,42,Kevin Stadler,86,66.69,218209.2,327191
42,43,43,Chris Couch,66,66.64,179504.1,269375
43,44,44,Jason Day,82,66.62,222543.4,334073
44,45,45,Davis Love III,79,66.53,204736.5,307758
45,46,46,Charles Howell III,103,66.5,274616.7,412981
46,47,47,Rickie Fowler,98,66.49,254261.4,382433
47,48,48,Sean O'Hair,84,66.48,199196.4,299635
48,49,49,Andrew McLardy,52,66.45,134254.1,202028
49,50,50,Steve Marino,81,66.43,190754.5,287133
50,T51,T51,Bill Lunde,79,66.36,200080.3,301501
51,T51,T51,Will MacKenzie,72,66.36,208473.2,314167
52,T53,T53,Stewart Cink,84,66.35,201505.6,303694
53,T53,T53,Ted Purdy,86,66.35,227246.5,342487
54,55,55,Derek Lamely,81,66.32,195950.7,295482
55,56,56,Joe Ogilvie,99,66.31,262008.8,395106
56,57,57,Tim Herron,79,66.3,212516.0,320542
57,58,58,Hunter Mahan,85,66.29,206360.4,311289
58,59,59,Nicholas Thompson,88,66.28,233751.3,352659
59,60,60,Adam Scott,70,66.26,155983.1,235410
60,T61,T61,Lucas Glover,75,66.19,180768.2,273115
61,T61,T61,Retief Goosen,75,66.19,165625.1,250213
62,T61,T61,Greg Owen,69,66.19,186155.5,281245
63,T64,T64,Jeff Gove,57,66.17,134257.8,202888
64,T64,T64,Michael Letzig,84,66.17,244782.5,369927
65,T64,T64,Kevin Streelman,90,66.17,245186.5,370541
66,67,67,Jeev Milkha Singh,59,66.16,161804.6,244557
67,68,68,Matt Jones,89,66.13,242394.6,366523
68,69,69,Joe Durant,67,66.12,176149.9,266403
69,T70,T70,Jonathan Byrd,85,66.11,252431.8,381817
70,T70,T70,Sergio Garcia,58,66.11,106782.4,161526
71,T70,T70,Paul Stankowski,62,66.11,163444.8,247249
72,73,73,Steve Wheatcroft,74,66.07,175614.2,265802
73,T74,T74,J.J. Henry,92,66.04,240390.0,364019
74,T74,T74,Steve Lowery,67,66.04,170652.8,258389
75,76,76,Chris Tidland,77,66.03,205580.0,311360
76,77,77,Chris Stroud,90,66.01,218019.8,330261
77,78,78,Mathew Goggin,85,65.98,231057.1,350197
78,79,79,Stuart Appleby,101,65.97,271618.2,411733
79,80,80,David Lutterus,69,65.95,170061.9,257875
80,T81,T81,Troy Merritt,86,65.91,234068.7,355154
81,T81,T81,Ryan Moore,80,65.91,187449.4,284394
82,83,83,Roger Tambellini,77,65.88,188369.7,285909
83,T84,T84,Paul Casey,64,65.87,138675.6,210539
84,T84,T84,Bill Haas,87,65.87,226162.2,343365
85,T86,T86,Brenden Pappas,66,65.86,165329.5,251028
86,T86,T86,Roland Thatcher,72,65.86,205376.5,311851
87,88,88,Pat Perez,90,65.83,251636.9,382235
88,T89,T89,Blake Adams,84,65.79,230419.5,350232
89,T89,T89,John Senden,103,65.79,262047.4,398300
90,91,91,Jimmy Walker,82,65.78,211696.2,321847
91,92,92,John Merrick,109,65.77,281984.5,428711
92,93,93,Tom Gillis,97,65.75,270979.5,412138
93,94,94,Vaughn Taylor,87,65.7,237012.7,360763
94,95,95,Brendon de Jonge,114,65.68,273281.5,416074
95,96,96,Steve Elkington,74,65.65,174844.6,266334
96,97,97,Padraig Harrington,57,65.64,133322.4,203109
97,98,98,Geoff Ogilvy,62,65.63,151676.1,231104
98,99,99,Scott McCarron,90,65.6,248421.1,378683
99,100,100,Brian Stuard,81,65.53,215490.5,328837
100,101,101,Matt Kuchar,97,65.51,228683.1,349060
101,102,102,Henrik Bjornstad,72,65.5,177328.5,270751
102,103,103,Kevin Sutherland,86,65.42,231057.1,353169
103,104,104,Y.E. Yang,72,65.41,179409.5,274281
104,T105,T105,Kris Blanks,91,65.39,219354.1,335449
105,T105,T105,David Duval,71,65.39,162885.9,249103
106,107,107,Mark Calcavecchia,50,65.35,99141.4,151700
107,T108,T108,George McNeill,79,65.32,211302.4,323504
108,T108,T108,James Nitties,92,65.32,242042.2,370554
109,T108,T108,Webb Simpson,98,65.32,278136.4,425834
110,111,111,Camilo Villegas,78,65.31,172542.6,264200
111,112,112,Carl Pettersson,99,65.3,249245.4,381703
112,113,113,Jay Williamson,76,65.25,185846.0,284837
113,114,114,Rod Pampling,77,65.24,207034.1,317347
114,115,115,Rich Barcelo,70,65.22,176527.8,270683
115,116,116,Ricky Barnes,103,65.2,248530.0,381163
116,117,117,Robert Allenby,76,65.14,186881.1,286881
117,118,118,Cliff Kresge,50,65.13,135338.4,207799
118,T119,T119,Jeff Maggert,76,65.12,190796.2,293000
119,T119,T119,Justin Rose,78,65.12,214719.6,329709
120,121,121,Billy Mayfair,78,65.06,195375.9,300294
121,122,122,Ernie Els,72,65.04,167816.4,258035
122,123,123,Freddie Jacobson,83,65.03,234604.0,360781
123,124,124,Chad Campbell,94,65.0,246114.1,378658
124,T125,T125,Cameron Beckman,68,64.98,179441.7,276147
125,T125,T125,J.P. Hayes,79,64.98,199140.5,306456
126,T127,T127,Michael Sim,64,64.95,159810.5,246045
127,T127,T127,Mark Wilson,87,64.95,236495.7,364147
128,129,129,Lee Janzen,77,64.94,209866.9,323192
129,130,130,Spencer Levin,110,64.9,294337.1,453507
130,131,131,Michael Bradley,77,64.89,203106.3,313004
131,132,132,David Toms,86,64.87,210649.0,324737
132,133,133,Woody Austin,93,64.82,247892.2,382428
133,134,134,Ben Crane,85,64.8,202410.8,312366
134,135,135,John Mallinger,78,64.78,193899.3,299309
135,T136,T136,Chris Riley,73,64.77,192697.9,297489
136,T136,T136,Jerod Turner,54,64.77,121499.6,187598
137,138,138,Aron Price,70,64.74,186573.8,288176
138,139,139,Heath Slocum,97,64.71,217006.8,335336
139,140,140,Ian Poulter,55,64.7,103959.7,160688
140,141,141,Jason Dufner,87,64.63,204936.6,317090
141,T142,T142,Bob Estes,79,64.62,211763.0,327684
142,T142,T142,Brett Quigley,96,64.62,258678.3,400316
143,144,144,Vance Veazey,58,64.61,142810.7,221036
144,T145,T145,Zach Johnson,93,64.58,227531.9,352325
145,T145,T145,Garrett Willis,82,64.58,209459.9,324346
146,147,147,D.A. Points,90,64.57,235591.5,364878
147,T148,T148,Chris DiMarco,88,64.55,231035.1,357906
148,T148,T148,Steve Stricker,73,64.55,169922.1,263246
149,150,150,Johnson Wagner,85,64.52,220306.0,341452
150,151,151,Brian Davis,101,64.5,262206.2,406530
151,T152,T152,Shaun Micheel,70,64.49,159059.7,246660
152,T152,T152,Tim Petrovic,105,64.49,278699.7,432130
153,154,154,K.J. Choi,82,64.48,182252.2,282647
154,T155,T155,Justin Bolli,55,64.46,124787.0,193590
155,T155,T155,Michael Connell,89,64.46,230925.3,358219
156,157,157,Jerry Kelly,99,64.37,241168.7,374654
157,158,158,Stephen Ames,75,64.36,206524.7,320910
158,159,159,Dean Wilson,54,64.31,142139.5,221025
159,160,160,Briny Baird,87,64.29,237355.8,369198
160,161,161,Charlie Wi,95,64.28,264880.4,412083
161,162,162,Jason Bohn,84,64.26,216043.0,336212
162,163,163,Rocco Mediate,71,64.23,180483.9,280987
163,164,164,Skip Kendall,58,64.19,144899.4,225730
164,165,165,Brent Delahoussaye,57,64.15,139333.7,217202
165,166,166,Ryuji Imada,90,64.04,250348.4,390928
166,167,167,Greg Chalmers,93,64.0,254382.2,397489
167,168,168,Brandt Snedeker,89,63.98,222531.4,347838
168,169,169,Kevin Johnson,62,63.96,143899.8,224982
169,170,170,Scott Verplank,74,63.83,167853.9,262988
170,171,171,Justin Leonard,89,63.77,219125.8,343598
171,172,172,Greg Kraft,52,63.69,114110.5,179178
172,173,173,Tom Pernice Jr.,74,63.68,171948.0,270024
173,174,174,Kevin Na,94,63.66,225076.6,353541
174,175,175,Nathan Green,86,63.62,240469.9,378004
175,T176,T176,Steve Flesch,78,63.61,186808.3,293687
176,T176,T176,Bryce Molder,84,63.61,214046.4,336476
177,178,178,Alex Cejka,81,63.56,196684.2,309432
178,179,179,Jim Furyk,76,63.38,175994.7,277665
