,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Mark Wilson,87,2.679,286.129,106.811,71,3.25
1,2,2,David Toms,86,2.674,286.623,107.182,69,3.073
2,3,3,Aron Price,70,2.6660000000000004,286.938,107.64399999999999,49,2.9410000000000003
3,4,4,Jeff Maggert,76,2.66,283.0,106.398,60,3.07
4,5,5,Bo Van Pelt,104,2.6519999999999997,304.098,114.675,79,3.4539999999999997
5,T6,T6,Cliff Kresge,50,2.6489999999999996,283.42900000000003,107.008,35,3.127
6,T6,T6,Heath Slocum,97,2.6489999999999996,283.135,106.899,79,3.116
7,8,8,Kenny Perry,69,2.647,294.147,111.135,59,3.2889999999999997
8,9,9,John Daly,63,2.638,311.722,118.18,30,2.906
9,T10,T10,Jerry Kelly,99,2.637,285.955,108.443,74,3.438
10,T10,T10,Rory McIlroy,54,2.637,307.302,116.54799999999999,42,2.986
11,T10,T10,John Merrick,109,2.637,295.423,112.045,87,3.1239999999999997
12,T13,T13,J.P. Hayes,79,2.636,285.202,108.208,65,3.013
13,T13,T13,Jerod Turner,54,2.636,285.551,108.33200000000001,39,3.1189999999999998
14,T15,T15,Zach Johnson,93,2.6310000000000002,283.938,107.921,79,3.5839999999999996
15,T15,T15,Brian Stuard,81,2.6310000000000002,289.784,110.145,69,3.0069999999999997
16,17,17,John Mallinger,78,2.6289999999999996,280.97700000000003,106.88,50,2.9989999999999997
17,18,18,Carl Pettersson,99,2.6260000000000003,288.186,109.72399999999999,90,2.9810000000000003
18,19,19,Steve Wheatcroft,74,2.6239999999999997,288.437,109.90799999999999,47,2.977
19,T20,T20,Tim Clark,88,2.623,277.69,105.875,68,3.056
20,T20,T20,D.J. Trahan,92,2.623,304.195,115.986,81,3.0860000000000003
21,T22,T22,Billy Mayfair,78,2.62,286.825,109.479,55,2.957
22,T22,T22,John Rollins,81,2.62,300.733,114.777,74,3.451
23,T24,T24,Joe Ogilvie,99,2.6180000000000003,290.781,111.06,81,3.043
24,T24,T24,Vijay Singh,75,2.6180000000000003,297.888,113.773,61,2.938
25,T26,T26,Jeff Gove,57,2.616,289.27099999999996,110.57600000000001,35,2.91
26,T26,T26,Rory Sabbatini,79,2.616,298.342,114.057,56,3.467
