,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Steve Stricker,19
1,2,2,Charl Schwartzel,15
2,3,3,Gary Woodland,13
3,T4,T4,Josh Teater,10
4,T4,T4,Jhonattan Vegas,10
5,6,6,Jim Furyk,9
6,T7,T7,Robert Allenby,8
7,T7,T7,Luke Donald,8
8,T7,T7,Sergio Garcia,8
9,T7,T7,Jerry Kelly,8
10,T7,T7,Adam Scott,8
11,T7,T7,Y.E. Yang,8
12,T13,T13,Briny Baird,7
13,T13,T13,Matt Kuchar,7
14,T13,T13,Hunter Mahan,7
15,T13,T13,William McGirt,7
16,T13,T13,Carl Pettersson,7
17,T13,T13,Webb Simpson,7
18,T13,T13,Nick Watney,7
19,T20,T20,Blake Adams,6
20,T20,T20,Jonathan Byrd,6
21,T20,T20,Greg Chalmers,6
22,T20,T20,Spencer Levin,6
23,T20,T20,Phil Mickelson,6
24,T20,T20,Bryce Molder,6
25,T20,T20,Andres Romero,6
26,T20,T20,Jimmy Walker,6
27,T28,T28,Woody Austin,5
28,T28,T28,Patrick Cantlay,5
29,T28,T28,Paul Casey,5
30,T28,T28,Ernie Els,5
31,T28,T28,Adam Hadwin,5
32,T28,T28,Padraig Harrington,5
33,T28,T28,J.P. Hayes,5
34,T28,T28,David Hearn,5
35,T28,T28,Robert Karlsson,5
36,T28,T28,Rory McIlroy,5
37,T28,T28,George McNeill,5
38,T28,T28,Edoardo Molinari,5
39,T28,T28,Ryan Palmer,5
40,T28,T28,Brandt Snedeker,5
41,T28,T28,Kyle Stanley,5
42,T28,T28,Cameron Tringale,5
43,T44,T44,Aaron Baddeley,4
44,T44,T44,Jason Bohn,4
45,T44,T44,Jason Day,4
46,T44,T44,Bill Haas,4
47,T44,T44,Charley Hoffman,4
48,T44,T44,Trevor Immelman,4
49,T44,T44,Freddie Jacobson,4
50,T44,T44,Brandt Jobe,4
51,T44,T44,Dustin Johnson,4
52,T44,T44,Martin Laird,4
53,T44,T44,Billy Mayfair,4
54,T44,T44,John Senden,4
55,T44,T44,Paul Stankowski,4
56,T44,T44,Brendan Steele,4
57,T44,T44,Camilo Villegas,4
58,T44,T44,Brett Wetterich,4
59,T60,T60,Craig Barlow,3
60,T60,T60,Ricky Barnes,3
61,T60,T60,Kris Blanks,3
62,T60,T60,Michael Bradley,3
63,T60,T60,Bud Cauley,3
64,T60,T60,Marco Dawson,3
65,T60,T60,Jason Dufner,3
66,T60,T60,Simon Dyson,3
67,T60,T60,Lucas Glover,3
68,T60,T60,Fabián Gómez,3
69,T60,T60,Andres Gonzales,3
70,T60,T60,Retief Goosen,3
71,T60,T60,Anders Hansen,3
72,T60,T60,Yuta Ikeda,3
73,T60,T60,Miguel Angel Jiménez,3
74,T60,T60,K.T. Kim,3
75,T60,T60,Pablo Larrazabal,3
76,T60,T60,Steve Marino,3
77,T60,T60,Ben Martin,3
78,T60,T60,David Mathis,3
79,T60,T60,Seung-Yul Noh,3
80,T60,T60,Sean O'Hair,3
81,T60,T60,Geoff Ogilvy,3
82,T60,T60,Heath Slocum,3
83,T60,T60,Bubba Watson,3
84,T60,T60,Charlie Wi,3
85,T86,T86,Keegan Bradley,2
86,T86,T86,Ángel Cabrera,2
87,T86,T86,K.J. Choi,2
88,T86,T86,Johan Edfors,2
89,T86,T86,Peter Hanson,2
90,T86,T86,Grégory Havret,2
91,T86,T86,Jim Herman,2
92,T86,T86,Tim Herron,2
93,T86,T86,Bio Kim,2
94,T86,T86,Kevin Kisner,2
95,T86,T86,Tom Lehman,2
96,T86,T86,Peter Lonard,2
97,T86,T86,Matteo Manassero,2
98,T86,T86,Troy Merritt,2
99,T86,T86,Francesco Molinari,2
100,T86,T86,Kevin Na,2
101,T86,T86,Alex Noren,2
102,T86,T86,Nick O'Hern,2
103,T86,T86,Louis Oosthuizen,2
104,T86,T86,Jeff Overton,2
105,T86,T86,Cameron Percy,2
106,T86,T86,Tom Pernice Jr.,2
107,T86,T86,Kenny Perry,2
108,T86,T86,Patrick Reed,2
109,T86,T86,Alexandre Rocha,2
110,T86,T86,Robert Rock,2
111,T86,T86,Henrik Stenson,2
112,T86,T86,Andre Stolz,2
113,T86,T86,D.J. Trahan,2
114,T86,T86,Peter Uihlein,2
115,T86,T86,Duffy Waldorf,2
116,T86,T86,Charles Warren,2
117,T86,T86,Matt Weibring,2
118,T86,T86,Lee Westwood,2
