,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,John Merrick,21,36,3.0
1,2,2,Michael Connell,26,33,1.0
2,3,3,David Toms,23,30,3.0
3,4,4,Freddie Jacobson,25,29,1.0
4,T5,T5,Michael Letzig,13,28,2.0
5,T5,T5,Omar Uresti,5,28,9.0
6,T7,T7,Brian Gay,26,27,2.0
7,T7,T7,Jerry Kelly,26,27,3.0
8,T7,T7,Heath Slocum,29,27,2.0
9,10,10,Kirk Triplett,8,26,9.0
10,11,11,John Senden,26,25,
11,T12,T12,Craig Bowden,4,24,3.0
12,T12,T12,Nathan Green,26,24,1.0
13,T12,T12,Zach Johnson,23,24,2.0
14,T12,T12,Nick O'Hern,29,24,8.0
15,T12,T12,Kyle Stanley,28,24,
16,T12,T12,Brendan Steele,27,24,2.0
17,T18,T18,Ben Curtis,23,23,3.0
18,T18,T18,Martin Laird,23,23,
19,T18,T18,Spencer Levin,31,23,
20,T18,T18,Bubba Watson,22,23,3.0
21,T22,T22,Stephen Ames,22,22,1.0
22,T22,T22,Alex Cejka,21,22,1.0
23,T22,T22,Chris DiMarco,31,22,2.0
24,T22,T22,Joe Durant,25,22,1.0
25,T22,T22,Bryce Molder,27,22,3.0
26,T22,T22,John Rollins,27,22,8.0
27,T22,T22,Jhonattan Vegas,25,22,
28,T29,T29,Brendon de Jonge,30,21,7.0
29,T29,T29,Grégory Havret,3,21,3.0
30,T29,T29,David Hearn,26,21,
31,T29,T29,Sung Kang,21,21,
32,T29,T29,Jesper Parnevik,10,21,1.0
33,T29,T29,D.A. Points,26,21,4.0
34,T29,T29,Chez Reavie,27,21,1.0
35,T29,T29,Alexandre Rocha,22,21,4.0
36,T29,T29,Kevin Stadler,27,21,2.0
37,T38,T38,Brian Davis,30,20,
38,T38,T38,Luke Donald,19,20,
39,T38,T38,Paul Goydos,25,20,
40,T38,T38,Billy Horschel,25,20,
41,T38,T38,José María Olazábal,6,20,
42,T38,T38,Kevin Streelman,26,20,1.0
43,T44,T44,Woody Austin,18,19,4.0
44,T44,T44,Briny Baird,19,19,3.0
45,T44,T44,Chad Collins,16,19,
46,T44,T44,Hunter Haas,30,19,
47,T44,T44,Matt Kuchar,24,19,1.0
48,T44,T44,Troy Matteson,28,19,3.0
49,T44,T44,William McGirt,32,19,1.0
50,T44,T44,Joe Ogilvie,24,19,2.0
51,T44,T44,Geoff Ogilvy,21,19,4.0
52,T44,T44,Rod Pampling,21,19,2.0
53,T44,T44,Kenny Perry,13,19,1.0
54,T44,T44,Dicky Pride,8,19,2.0
55,T44,T44,Vijay Singh,25,19,3.0
56,T44,T44,Garrett Willis,24,19,
57,T44,T44,Dean Wilson,22,19,
58,T59,T59,Jason Bohn,22,18,
59,T59,T59,Chad Campbell,29,18,3.0
60,T59,T59,Tim Clark,4,18,1.0
61,T59,T59,Jim Furyk,26,18,1.0
62,T59,T59,Scott Gutschewski,23,18,
63,T59,T59,Richard Johnson,23,18,2.0
64,T59,T59,Francesco Molinari,11,18,2.0
65,T59,T59,Aron Price,18,18,6.0
66,T59,T59,Justin Rose,23,18,
67,T59,T59,Peter Tomasulo,12,18,1.0
68,T59,T59,Bo Van Pelt,27,18,2.0
69,T59,T59,Camilo Villegas,25,18,
70,T59,T59,Nick Watney,22,18,1.0
71,T59,T59,Mark Wilson,26,18,3.0
72,T73,T73,Guy Boros,1,17,3.0
73,T73,T73,Keegan Bradley,28,17,
74,T73,T73,Mark Calcavecchia,6,17,1.0
75,T73,T73,John Daly,18,17,
76,T73,T73,Tommy Gainey,34,17,1.0
77,T73,T73,Todd Hamilton,11,17,2.0
78,T73,T73,Kevin Kisner,24,17,3.0
79,T73,T73,Bill Lunde,28,17,
80,T73,T73,Billy Mayfair,29,17,2.0
81,T73,T73,Zack Miller,30,17,4.0
82,T73,T73,Tim Petrovic,29,17,
83,T73,T73,Michael Putnam,21,17,
84,T73,T73,Nate Smith,24,17,
85,T73,T73,Cameron Tringale,32,17,1.0
86,T73,T73,Jerod Turner,5,17,2.0
87,T73,T73,Johnson Wagner,25,17,
88,T89,T89,Matt Bettencourt,30,16,
89,T89,T89,Erik Compton,6,16,
90,T89,T89,Steve Elkington,17,16,
91,T89,T89,Fabián Gómez,26,16,
92,T89,T89,Colt Knost,27,16,5.0
93,T89,T89,Justin Leonard,26,16,10.0
94,T89,T89,Matt McQuillan,21,16,3.0
95,T89,T89,Shaun Micheel,27,16,1.0
96,T89,T89,Phil Mickelson,21,16,1.0
97,T89,T89,Ryan Moore,22,16,2.0
98,T89,T89,Carl Pettersson,27,16,7.0
99,T89,T89,Ian Poulter,16,16,1.0
100,T89,T89,Brandt Snedeker,26,16,7.0
101,T89,T89,Roland Thatcher,22,16,14.0
102,T89,T89,D.J. Trahan,30,16,1.0
103,T89,T89,Boo Weekley,23,16,1.0
104,T105,T105,Blake Adams,34,15,1.0
105,T105,T105,Rich Beem,21,15,
106,T105,T105,Kris Blanks,29,15,8.0
107,T105,T105,Michael Bradley,24,15,2.0
108,T105,T105,Greg Chalmers,28,15,
109,T105,T105,Ben Crane,23,15,
110,T105,T105,Fred Funk,7,15,1.0
111,T105,T105,J.J. Henry,28,15,
112,T105,T105,Ryuji Imada,29,15,1.0
