,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,1,1,Derek Lamely,26,6
1,T2,T2,Hunter Haas,30,5
2,T2,T2,David Hearn,26,5
3,T2,T2,Trevor Immelman,25,5
4,T2,T2,Will MacKenzie,14,5
5,T2,T2,Webb Simpson,26,5
6,T2,T2,Nick Watney,22,5
7,T8,T8,Arjun Atwal,29,4
8,T8,T8,Michael Connell,26,4
9,T8,T8,Brendon de Jonge,30,4
10,T8,T8,Jason Dufner,23,4
11,T8,T8,Rickie Fowler,24,4
12,T8,T8,Sergio Garcia,16,4
13,T8,T8,Dustin Johnson,21,4
14,T8,T8,Sung Kang,21,4
15,T8,T8,Justin Leonard,26,4
16,T8,T8,Bill Lunde,28,4
17,T8,T8,Zack Miller,30,4
18,T8,T8,Steve Stricker,19,4
19,T8,T8,Lee Westwood,10,4
20,T21,T21,Blake Adams,34,3
21,T21,T21,Robert Allenby,25,3
22,T21,T21,Woody Austin,18,3
23,T21,T21,Chris Baryla,20,3
24,T21,T21,Cameron Beckman,25,3
25,T21,T21,Steven Bowditch,28,3
26,T21,T21,Michael Bradley,24,3
27,T21,T21,K.J. Choi,22,3
28,T21,T21,Chris Couch,21,3
29,T21,T21,Brian Davis,30,3
30,T21,T21,Luke Donald,19,3
31,T21,T21,James Driscoll,24,3
32,T21,T21,David Duval,24,3
33,T21,T21,Ernie Els,21,3
34,T21,T21,Jim Furyk,26,3
35,T21,T21,Tommy Gainey,34,3
36,T21,T21,Robert Garrigus,26,3
37,T21,T21,Nathan Green,26,3
38,T21,T21,Adam Hadwin,5,3
39,T21,T21,Charles Howell III,30,3
40,T21,T21,Brandt Jobe,28,3
41,T21,T21,Kent Jones,25,3
42,T21,T21,Jerry Kelly,26,3
43,T21,T21,Pablo Larrazabal,3,3
44,T21,T21,Hunter Mahan,25,3
45,T21,T21,John Mallinger,15,3
46,T21,T21,David Mathis,25,3
47,T21,T21,Billy Mayfair,29,3
48,T21,T21,William McGirt,32,3
49,T21,T21,Matt McQuillan,21,3
50,T21,T21,John Merrick,21,3
51,T21,T21,Phil Mickelson,21,3
52,T21,T21,Jeff Overton,26,3
53,T21,T21,Ryan Palmer,24,3
54,T21,T21,Pat Perez,24,3
55,T21,T21,Alex Prugh,29,3
56,T21,T21,Chez Reavie,27,3
57,T21,T21,Tag Ridings,28,3
58,T21,T21,Robert Rock,2,3
59,T21,T21,Adam Scott,18,3
60,T21,T21,John Senden,26,3
61,T21,T21,Vijay Singh,25,3
62,T21,T21,Kyle Stanley,28,3
63,T21,T21,Brendan Steele,27,3
64,T21,T21,Chris Stroud,28,3
65,T21,T21,Daniel Summerhays,29,3
66,T21,T21,Kevin Sutherland,11,3
67,T21,T21,Chris Tidland,12,3
68,T21,T21,Peter Tomasulo,12,3
69,T21,T21,David Toms,23,3
70,T21,T21,D.J. Trahan,30,3
71,T21,T21,Bo Van Pelt,27,3
72,T21,T21,Jhonattan Vegas,25,3
73,T21,T21,Charles Warren,10,3
74,T21,T21,Bubba Watson,22,3
75,T21,T21,Charlie Wi,25,3
76,T21,T21,Tiger Woods,9,3
77,T78,T78,Stuart Appleby,24,2
78,T78,T78,Aaron Baddeley,22,2
79,T78,T78,Ricky Barnes,23,2
80,T78,T78,Shane Bertsch,20,2
81,T78,T78,Matt Bettencourt,30,2
82,T78,T78,Kris Blanks,29,2
83,T78,T78,Jason Bohn,22,2
84,T78,T78,Keegan Bradley,28,2
85,T78,T78,Joseph Bramlett,25,2
86,T78,T78,Jonathan Byrd,26,2
87,T78,T78,Ángel Cabrera,17,2
88,T78,T78,Chad Campbell,29,2
89,T78,T78,Patrick Cantlay,5,2
90,T78,T78,Paul Casey,15,2
91,T78,T78,Alex Cejka,21,2
92,T78,T78,Greg Chalmers,28,2
93,T78,T78,Kevin Chappell,26,2
94,T78,T78,Stewart Cink,22,2
95,T78,T78,Darren Clarke,3,2
96,T78,T78,Ben Crane,23,2
97,T78,T78,Marco Dawson,3,2
98,T78,T78,Jason Day,21,2
99,T78,T78,Chris DiMarco,31,2
