,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Matt McQuillan,21,12
1,T2,T2,Hunter Haas,30,11
2,T2,T2,Martin Laird,23,11
3,T2,T2,Rory Sabbatini,24,11
4,T2,T2,Kevin Streelman,26,11
5,T6,T6,Shane Bertsch,20,10
6,T6,T6,Bud Cauley,8,10
7,T6,T6,Nathan Green,26,10
8,T6,T6,Freddie Jacobson,25,10
9,T6,T6,Zach Johnson,23,10
10,T6,T6,Phil Mickelson,21,10
11,T6,T6,Ryan Moore,22,10
12,T6,T6,Rod Pampling,21,10
13,T6,T6,Kyle Stanley,28,10
14,T6,T6,Garrett Willis,24,10
15,T6,T6,Gary Woodland,25,10
16,T17,T17,Woody Austin,18,9
17,T17,T17,Steven Bowditch,28,9
18,T17,T17,Ben Crane,23,9
19,T17,T17,Brian Davis,30,9
20,T17,T17,Steve Elkington,17,9
21,T17,T17,Fred Funk,7,9
22,T17,T17,Sergio Garcia,16,9
23,T17,T17,Ryo Ishikawa,10,9
24,T17,T17,Kent Jones,25,9
25,T17,T17,Anthony Kim,26,9
26,T17,T17,Jeff Klauk,8,9
27,T17,T17,Michael Letzig,13,9
28,T17,T17,Spencer Levin,31,9
29,T17,T17,Jarrod Lyle,29,9
30,T17,T17,Bryce Molder,27,9
31,T17,T17,Pat Perez,24,9
32,T17,T17,Kenny Perry,13,9
33,T17,T17,Carl Pettersson,27,9
34,T17,T17,Scott Piercy,23,9
35,T17,T17,D.A. Points,26,9
36,T17,T17,Chez Reavie,27,9
37,T17,T17,Andres Romero,22,9
38,T17,T17,Michael Sim,19,9
39,T17,T17,Brandt Snedeker,26,9
40,T17,T17,Steve Stricker,19,9
41,T17,T17,Chris Stroud,28,9
42,T17,T17,Daniel Summerhays,29,9
43,T17,T17,Y.E. Yang,18,9
44,T45,T45,Blake Adams,34,8
45,T45,T45,Stephen Ames,22,8
46,T45,T45,Stuart Appleby,24,8
47,T45,T45,Ricky Barnes,23,8
48,T45,T45,Kris Blanks,29,8
49,T45,T45,Joseph Bramlett,25,8
50,T45,T45,Ángel Cabrera,17,8
51,T45,T45,Kevin Chappell,26,8
52,T45,T45,Stewart Cink,22,8
53,T45,T45,Erik Compton,6,8
54,T45,T45,John Daly,18,8
55,T45,T45,Jason Day,21,8
56,T45,T45,Brendon de Jonge,30,8
57,T45,T45,James Driscoll,24,8
58,T45,T45,Steve Flesch,27,8
59,T45,T45,Tommy Gainey,34,8
60,T45,T45,Bobby Gates,29,8
61,T45,T45,Brian Gay,26,8
62,T45,T45,Lucas Glover,23,8
63,T45,T45,Andres Gonzales,21,8
64,T45,T45,Tim Herron,28,8
65,T45,T45,Ryuji Imada,29,8
66,T45,T45,Lee Janzen,19,8
67,T45,T45,Brandt Jobe,28,8
68,T45,T45,Robert Karlsson,18,8
69,T45,T45,Jerry Kelly,26,8
70,T45,T45,K.T. Kim,9,8
71,T45,T45,Bio Kim,25,8
72,T45,T45,Matt Kuchar,24,8
73,T45,T45,Tom Lewis,1,8
74,T45,T45,Jamie Lovemark,9,8
75,T45,T45,Bill Lunde,28,8
76,T45,T45,John Mallinger,15,8
77,T45,T45,Scott McCarron,22,8
78,T45,T45,Garth Mulroy,4,8
79,T45,T45,Geoff Ogilvy,21,8
80,T45,T45,Tim Petrovic,29,8
81,T45,T45,Michael Putnam,21,8
82,T45,T45,Fran Quinn,10,8
83,T45,T45,Chris Riley,25,8
84,T45,T45,Alexandre Rocha,22,8
85,T45,T45,Webb Simpson,26,8
86,T45,T45,Mike Small,6,8
87,T45,T45,Scott Stallings,28,8
88,T45,T45,Roland Thatcher,22,8
89,T45,T45,Michael Thompson,25,8
90,T45,T45,Chris Tidland,12,8
91,T45,T45,D.J. Trahan,30,8
92,T45,T45,Cameron Tringale,32,8
93,T45,T45,Kirk Triplett,8,8
94,T45,T45,Kevin Tway,4,8
95,T45,T45,Bo Van Pelt,27,8
96,T45,T45,Nick Watney,22,8
97,T98,T98,Arjun Atwal,29,7
98,T98,T98,Aaron Baddeley,22,7
99,T98,T98,Jason Bohn,22,7
100,T98,T98,Guy Boros,1,7
101,T98,T98,Michael Bradley,24,7
102,T98,T98,Jonathan Byrd,26,7
103,T98,T98,Tom Byrum,1,7
104,T98,T98,Greg Chalmers,28,7
105,T98,T98,K.J. Choi,22,7
106,T98,T98,Michael Connell,26,7
107,T98,T98,Chris Couch,21,7
108,T98,T98,Ben Curtis,23,7
109,T98,T98,Chris DiMarco,31,7
110,T98,T98,Luke Donald,19,7
111,T98,T98,Jason Dufner,23,7
