,YTD_Rounds_in_60s_Streak_RANK THIS WEEK,YTD_Rounds_in_60s_Streak_RANK LAST WEEK,YTD_Rounds_in_60s_Streak_PLAYER NAME,YTD_Rounds_in_60s_Streak_BEST STREAK
0,1,1,Briny Baird,12
1,2,2,Jerry Kelly,11
2,3,3,Jhonattan Vegas,10
3,T4,T4,Bud Cauley,9
4,T4,T4,Bill Haas,9
5,T4,T4,Charles Howell III,9
6,T4,T4,Kevin Na,9
7,T8,T8,Padraig Harrington,8
8,T8,T8,Carl Pettersson,8
9,T8,T8,D.A. Points,8
10,T8,T8,Webb Simpson,8
11,T8,T8,David Toms,8
12,T13,T13,Jonathan Byrd,7
13,T13,T13,Jason Day,7
14,T13,T13,Jason Dufner,7
15,T13,T13,Jim Furyk,7
16,T13,T13,Matt Kuchar,7
17,T13,T13,Marc Leishman,7
18,T13,T13,David Mathis,7
19,T13,T13,Matt McQuillan,7
20,T13,T13,Bryce Molder,7
21,T13,T13,Jeff Overton,7
22,T13,T13,Pat Perez,7
23,T13,T13,Tom Pernice Jr.,7
24,T13,T13,Tim Petrovic,7
25,T13,T13,Vijay Singh,7
26,T13,T13,Kyle Stanley,7
27,T13,T13,D.J. Trahan,7
28,T29,T29,Matt Bettencourt,6
29,T29,T29,Steven Bowditch,6
30,T29,T29,Alex Cejka,6
31,T29,T29,Phil Mickelson,6
32,T29,T29,Nick O'Hern,6
33,T29,T29,Geoff Ogilvy,6
34,T29,T29,Chez Reavie,6
35,T29,T29,Justin Rose,6
36,T29,T29,Josh Teater,6
37,T29,T29,Michael Thompson,6
38,T29,T29,Bo Van Pelt,6
39,T29,T29,Scott Verplank,6
40,T29,T29,Camilo Villegas,6
41,T42,T42,Blake Adams,5
42,T42,T42,Kris Blanks,5
43,T42,T42,Jason Bohn,5
44,T42,T42,Michael Bradley,5
45,T42,T42,Keegan Bradley,5
46,T42,T42,D.J. Brigman,5
47,T42,T42,Mark Calcavecchia,5
48,T42,T42,Chad Campbell,5
49,T42,T42,Tim Clark,5
50,T42,T42,Brian Davis,5
51,T42,T42,Luke Donald,5
52,T42,T42,David Duval,5
53,T42,T42,Tommy Gainey,5
54,T42,T42,Sergio Garcia,5
55,T42,T42,Tom Gillis,5
56,T42,T42,Lucas Glover,5
57,T42,T42,J.J. Henry,5
58,T42,T42,Billy Horschel,5
59,T42,T42,Zach Johnson,5
60,T42,T42,Anthony Kim,5
61,T42,T42,Chris Kirk,5
62,T42,T42,Spencer Levin,5
63,T42,T42,Bill Lunde,5
64,T42,T42,Steve Marino,5
65,T42,T42,Rory McIlroy,5
66,T42,T42,John Merrick,5
67,T42,T42,Troy Merritt,5
68,T42,T42,Zack Miller,5
69,T42,T42,Ian Poulter,5
70,T42,T42,Alex Prugh,5
71,T42,T42,Jim Renner,5
72,T42,T42,John Rollins,5
73,T42,T42,John Senden,5
74,T42,T42,Scott Stallings,5
75,T42,T42,Brendan Steele,5
76,T42,T42,Kevin Streelman,5
77,T42,T42,Steve Stricker,5
78,T42,T42,Chris Stroud,5
79,T42,T42,Roland Thatcher,5
80,T42,T42,Nick Watney,5
81,T42,T42,Bubba Watson,5
82,T42,T42,Charlie Wi,5
83,T42,T42,Mark Wilson,5
84,T42,T42,Gary Woodland,5
85,T86,T86,Robert Allenby,4
86,T86,T86,Stephen Ames,4
87,T86,T86,Arjun Atwal,4
88,T86,T86,Woody Austin,4
89,T86,T86,Aaron Baddeley,4
90,T86,T86,Cameron Beckman,4
91,T86,T86,Shane Bertsch,4
92,T86,T86,Joseph Bramlett,4
93,T86,T86,Greg Chalmers,4
94,T86,T86,Kevin Chappell,4
95,T86,T86,K.J. Choi,4
96,T86,T86,Michael Connell,4
97,T86,T86,Ben Crane,4
98,T86,T86,Marco Dawson,4
99,T86,T86,Brendon de Jonge,4
100,T86,T86,James Driscoll,4
101,T86,T86,Joe Durant,4
102,T86,T86,Simon Dyson,4
103,T86,T86,Steve Elkington,4
104,T86,T86,Ernie Els,4
105,T86,T86,Rickie Fowler,4
106,T86,T86,Harrison Frazar,4
107,T86,T86,Robert Garrigus,4
108,T86,T86,Brian Gay,4
109,T86,T86,Andres Gonzales,4
110,T86,T86,Paul Goydos,4
111,T86,T86,Nathan Green,4
112,T86,T86,Hunter Haas,4
113,T86,T86,David Hearn,4
114,T86,T86,Tim Herron,4
115,T86,T86,Charley Hoffman,4
116,T86,T86,Morgan Hoffmann,4
117,T86,T86,Ryuji Imada,4
118,T86,T86,Trevor Immelman,4
119,T86,T86,Ryo Ishikawa,4
120,T86,T86,Freddie Jacobson,4
121,T86,T86,Lee Janzen,4
122,T86,T86,Brandt Jobe,4
123,T86,T86,Dustin Johnson,4
124,T86,T86,Kent Jones,4
125,T86,T86,Sung Kang,4
126,T86,T86,Robert Karlsson,4
