,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Carl Pettersson,27,198
1,2,2,Briny Baird,19,152
2,3,3,Matt Kuchar,24,133
3,4,4,Sergio Garcia,16,131
4,5,5,Robert Karlsson,18,115
5,6,6,John Merrick,21,112
6,T7,T7,Paul Stankowski,24,106
7,T7,T7,Cameron Tringale,32,106
8,9,9,Michael Bradley,24,104
9,10,10,Greg Chalmers,28,103
10,T11,T11,Chris Couch,21,96
11,T11,T11,Webb Simpson,26,96
12,13,13,Scott Gutschewski,23,94
13,T14,T14,George McNeill,21,88
14,T14,T14,Jhonattan Vegas,25,88
15,16,16,Ian Poulter,16,84
16,T17,T17,Jonathan Byrd,26,82
17,T17,T17,Nick Watney,22,82
18,19,19,Kris Blanks,29,81
19,T20,T20,Kevin Chappell,26,77
20,T20,T20,Bubba Watson,22,77
21,22,22,Charley Hoffman,27,76
22,23,23,Ben Crane,23,74
23,24,24,Davis Love III,22,72
24,T25,T25,Jerry Kelly,26,69
25,T25,T25,Nick O'Hern,29,69
26,27,27,Freddie Jacobson,25,67
27,28,28,Vaughn Taylor,27,66
28,29,29,Martin Laird,23,62
29,T30,T30,Padraig Harrington,18,61
30,T30,T30,John Rollins,27,61
31,T32,T32,D.A. Points,26,59
32,T32,T32,Roland Thatcher,22,59
33,34,34,Jim Furyk,26,53
34,35,35,David Duval,24,52
35,36,36,Jimmy Walker,24,51
36,37,37,Brian Davis,30,50
37,38,38,Trevor Immelman,25,48
38,39,39,Robert Garrigus,26,47
39,40,40,Derek Lamely,26,45
40,41,41,Ryuji Imada,29,44
41,42,42,Rory Sabbatini,24,42
42,43,43,Justin Hicks,23,41
43,T44,T44,Harrison Frazar,19,40
44,T44,T44,Retief Goosen,16,40
45,T44,T44,Hunter Mahan,25,40
46,T44,T44,Heath Slocum,29,40
47,48,48,Gary Woodland,25,39
48,T49,T49,Kevin Kisner,24,38
49,T49,T49,Camilo Villegas,25,38
50,51,51,Lee Janzen,19,37
51,T52,T52,Colt Knost,27,36
52,T52,T52,John Senden,26,36
53,T54,T54,Joe Durant,25,35
54,T54,T54,William McGirt,32,35
55,56,56,Brandt Snedeker,26,34
56,T57,T57,Stephen Ames,22,33
57,T57,T57,Steve Flesch,27,33
58,T59,T59,Stewart Cink,22,32
59,T59,T59,Chris Kirk,28,32
60,T59,T59,Nate Smith,24,32
61,T62,T62,Chris DiMarco,31,31
62,T62,T62,Bryce Molder,27,31
63,T64,T64,K.J. Choi,22,30
64,T64,T64,Lucas Glover,23,30
65,T64,T64,Phil Mickelson,21,30
66,67,67,Kevin Na,26,29
67,T68,T68,Tommy Gainey,34,28
68,T68,T68,Spencer Levin,31,28
69,T70,T70,Steve Elkington,17,27
70,T70,T70,Nathan Green,26,27
71,T72,T72,Jason Bohn,22,26
72,T72,T72,Ernie Els,21,26
73,T72,T72,Sean O'Hair,24,26
74,T72,T72,D.J. Trahan,30,26
75,76,76,Justin Leonard,26,23
76,T77,T77,Kevin Stadler,27,22
77,T77,T77,Kevin Streelman,26,22
78,79,79,Andres Gonzales,21,21
79,T80,T80,Ben Curtis,23,19
80,T80,T80,Richard Johnson,23,19
81,T80,T80,Geoff Ogilvy,21,19
82,T80,T80,Tag Ridings,28,19
83,T80,T80,Adam Scott,18,19
84,T85,T85,Keegan Bradley,28,18
85,T85,T85,Bill Haas,26,18
86,T85,T85,Billy Horschel,25,18
87,T85,T85,Scott McCarron,22,18
88,T89,T89,Brian Gay,26,17
89,T89,T89,Jim Renner,22,17
90,T89,T89,Alexandre Rocha,22,17
91,T89,T89,Scott Stallings,28,17
92,T93,T93,Woody Austin,18,16
93,T93,T93,Jason Dufner,23,16
94,T93,T93,Matt Jones,25,16
95,T93,T93,Will Strickler,19,16
96,T97,T97,Tom Gillis,19,15
97,T97,T97,Ben Martin,25,15
98,T97,T97,Martin Piller,23,15
99,T97,T97,Chris Riley,25,15
100,T101,T101,Joseph Bramlett,25,14
101,T101,T101,Luke Donald,19,14
102,T101,T101,Brandt Jobe,28,14
103,T101,T101,Bio Kim,25,14
104,T101,T101,Vijay Singh,25,14
105,T101,T101,Mark Wilson,26,14
106,T107,T107,David Hearn,26,13
107,T107,T107,Charles Howell III,30,13
108,T107,T107,Chez Reavie,27,13
109,T107,T107,Chris Stroud,28,13
110,T111,T111,Tim Herron,28,12
111,T111,T111,Marc Leishman,27,12
112,T111,T111,Steve Marino,23,12
113,T111,T111,Troy Merritt,23,12
114,T111,T111,Kyle Stanley,28,12
115,T116,T116,Anthony Kim,26,11
116,T116,T116,David Mathis,25,11
117,T116,T116,Alex Prugh,29,11
118,T119,T119,D.J. Brigman,23,10
119,T119,T119,Brendon de Jonge,30,10
120,T119,T119,J.P. Hayes,19,10
121,T122,T122,James Driscoll,24,9
122,T122,T122,Fabián Gómez,26,9
123,T122,T122,Sung Kang,21,9
124,T122,T122,Joe Ogilvie,24,9
125,T122,T122,Daniel Summerhays,29,9
126,T122,T122,Dean Wilson,22,9
127,T128,T128,Ángel Cabrera,17,8
128,T128,T128,Hunter Haas,30,8
129,T128,T128,Rod Pampling,21,8
130,T128,T128,Pat Perez,24,8
131,T128,T128,Marc Turnesa,20,8
132,T133,T133,Aaron Baddeley,22,7
133,T133,T133,Zach Johnson,23,7
134,T133,T133,Dustin Johnson,21,7
135,T133,T133,Rocco Mediate,23,7
136,T133,T133,Steve Stricker,19,7
137,T133,T133,David Toms,23,7
138,T139,T139,Blake Adams,34,6
139,T139,T139,Shane Bertsch,20,6
140,T139,T139,Steven Bowditch,28,6
141,T139,T139,Jeff Overton,26,6
142,T139,T139,Aron Price,18,6
143,T139,T139,Garrett Willis,24,6
144,T145,T145,Chad Campbell,29,5
145,T145,T145,Paul Goydos,25,5
146,T145,T145,Troy Matteson,28,5
147,T145,T145,Shaun Micheel,27,5
148,T145,T145,Zack Miller,30,5
149,T145,T145,Bo Van Pelt,27,5
150,T145,T145,Y.E. Yang,18,5
151,T152,T152,Stuart Appleby,24,4
152,T152,T152,Arjun Atwal,29,4
153,T152,T152,Michael Connell,26,4
154,T155,T155,Ricky Barnes,23,3
155,T155,T155,Cameron Beckman,25,3
156,T155,T155,Rich Beem,21,3
157,T155,T155,J.J. Henry,28,3
158,T155,T155,J.B. Holmes,16,3
159,T155,T155,Scott Piercy,23,3
160,T155,T155,Boo Weekley,23,3
161,T162,T162,Andres Romero,22,2
162,T162,T162,Charl Schwartzel,15,2
163,T162,T162,Brendan Steele,27,2
164,T162,T162,Johnson Wagner,25,2
165,T162,T162,Charlie Wi,25,2
166,T167,T167,Jarrod Lyle,29,1
167,T167,T167,Graeme McDowell,16,1
168,T167,T167,Michael Putnam,21,1
