,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Jason Bohn,191,17
1,2,2,Bryce Molder,132,15
2,3,3,Michael Bradley,335,14
3,4,4,Bud Cauley,9,12
4,T5,T5,Luke Donald,208,11
5,T5,T5,Heath Slocum,297,11
6,7,7,Kevin Streelman,119,10
7,8,8,Carl Pettersson,259,9
8,T9,T9,Jonathan Byrd,263,8
9,T9,T9,Kevin Kisner,24,8
10,T9,T9,Justin Leonard,458,8
11,T9,T9,Nick O'Hern,145,8
12,T9,T9,Louis Oosthuizen,31,8
13,T9,T9,Jeff Overton,158,8
14,T9,T9,Kenny Perry,598,8
15,T9,T9,Webb Simpson,94,8
16,T9,T9,Brendan Steele,27,8
17,T18,T18,Anders Hansen,45,7
18,T18,T18,Tom Pernice Jr.,555,7
19,T20,T20,Paul Casey,106,6
20,T20,T20,Greg Chalmers,278,6
21,T20,T20,Dan Forsman,636,6
22,T20,T20,Trevor Immelman,159,6
23,T20,T20,Lee Janzen,576,6
24,T20,T20,Spencer Levin,99,6
25,T20,T20,Billy Mayfair,688,6
26,T20,T20,Alexandre Rocha,26,6
27,T20,T20,Scott Stallings,28,6
28,T20,T20,D.J. Trahan,211,6
29,T30,T30,Robert Allenby,357,5
30,T30,T30,Craig Barlow,278,5
31,T30,T30,Craig Bowden,149,5
32,T30,T30,K.J. Choi,294,5
33,T30,T30,Ernie Els,295,5
34,T30,T30,Harrison Frazar,356,5
35,T30,T30,Lucas Glover,218,5
36,T30,T30,Andres Gonzales,24,5
37,T30,T30,Cameron Percy,38,5
38,T30,T30,Jonathan Randolph,2,5
39,T30,T30,Marc Turnesa,86,5
40,T30,T30,Jhonattan Vegas,28,5
41,T42,T42,Guy Boros,242,4
42,T42,T42,Steven Bowditch,56,4
43,T42,T42,Tom Byrum,592,4
44,T42,T42,Ángel Cabrera,149,4
45,T42,T42,Kevin Chappell,33,4
46,T42,T42,John Cook,681,4
47,T42,T42,Ben Crane,231,4
48,T42,T42,Robert Damron,318,4
49,T42,T42,Marco Dawson,381,4
50,T42,T42,Bob Estes,573,4
51,T42,T42,Jim Furyk,442,4
52,T42,T42,Nathan Green,172,4
53,T42,T42,Scott Gutschewski,109,4
54,T42,T42,Bill Haas,187,4
55,T42,T42,J.P. Hayes,410,4
56,T42,T42,David Hearn,59,4
57,T42,T42,Charley Hoffman,175,4
58,T42,T42,Ryuji Imada,201,4
59,T42,T42,Brandt Jobe,280,4
60,T42,T42,Kent Jones,342,4
61,T42,T42,Erick Justesen,3,4
62,T42,T42,Sung Kang,21,4
63,T42,T42,K.T. Kim,10,4
64,T42,T42,Matt Kuchar,253,4
65,T42,T42,Martin Laird,102,4
66,T42,T42,Derek Lamely,58,4
67,T42,T42,Jarrod Lyle,94,4
68,T42,T42,Shaun Micheel,355,4
69,T42,T42,John Rollins,306,4
70,T42,T42,John Senden,282,4
71,T42,T42,Nick Watney,188,4
72,T42,T42,Charlie Wi,158,4
73,T74,T74,Briny Baird,341,3
74,T74,T74,Ricky Barnes,97,3
75,T74,T74,Julián Etulain,1,3
76,T74,T74,Mathias Grönberg,190,3
77,T74,T74,Tim Herron,440,3
78,T74,T74,José Manuel Lara,6,3
79,T74,T74,Frank Lickliter II,415,3
80,T74,T74,Sean O'Hair,179,3
81,T74,T74,Ryan Palmer,222,3
82,T74,T74,D.A. Points,148,3
83,T74,T74,Michael Sim,67,3
84,T74,T74,Brandt Snedeker,143,3
85,T74,T74,Lee Westwood,133,3
86,T74,T74,Brett Wetterich,157,3
87,T74,T74,Tiger Woods,261,3
88,T89,T89,Joseph Bramlett,27,2
89,T89,T89,Michael Clark II,141,2
90,T89,T89,Stuart Deane,7,2
91,T89,T89,David Duval,356,2
92,T89,T89,Matt Fast,2,2
93,T89,T89,Marcus Fraser,5,2
94,T89,T89,Mathew Goggin,248,2
95,T89,T89,Justin Hicks,26,2
96,T89,T89,Jason Hrynkiw,1,2
97,T89,T89,Dustin Johnson,97,2
98,T89,T89,Troy Kelly,19,2
99,T89,T89,Chris Kirk,37,2
100,T89,T89,Drew Kittleson,3,2
101,T89,T89,Michael Letzig,97,2
102,T89,T89,Olafur Loftsson,1,2
103,T89,T89,John Mallinger,133,2
104,T89,T89,Ben Martin,28,2
105,T89,T89,Michio Matsumura,2,2
106,T89,T89,Rocco Mediate,596,2
107,T89,T89,Kevin Na,209,2
108,T89,T89,Aron Price,69,2
109,T89,T89,Chad Proehl,2,2
110,T89,T89,Chris Riley,314,2
111,T89,T89,Camilo Villegas,148,2
112,T89,T89,Johnson Wagner,139,2
113,T89,T89,Grant Waite,396,2
114,T89,T89,Boo Weekley,147,2
