,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Steve Stricker,70,73.11,87,119
1,2,2,Luke Donald,73,66.39,79,119
2,3,3,Phil Mickelson,79,66.25,106,160
3,4,4,Webb Simpson,98,66.23,102,154
4,5,5,Robert Karlsson,61,65.0,78,120
5,6,6,Bryce Molder,82,64.38,94,146
6,7,7,Jason Day,76,64.12,84,131
7,8,8,Matt Kuchar,94,64.0,96,150
8,9,9,Kevin Na,84,63.85,136,213
9,10,10,Zach Johnson,79,63.38,90,142
10,11,11,Bill Haas,93,63.03,104,165
11,12,12,Ricky Barnes,78,62.58,97,155
12,13,13,Sergio Garcia,61,62.28,71,114
13,14,14,Scott McCarron,65,62.21,107,172
14,15,15,Mark Wilson,89,61.88,112,181
15,16,16,Y.E. Yang,63,61.83,81,131
16,17,17,Justin Leonard,82,61.68,103,167
17,18,18,Jerry Kelly,85,61.64,98,159
18,19,19,Ben Crane,76,61.43,86,140
19,20,20,Ben Curtis,66,61.36,81,132
20,21,21,Gary Woodland,93,61.34,119,194
21,22,22,Geoff Ogilvy,69,60.93,92,151
22,23,23,David Mathis,83,60.9,95,156
23,24,24,Robert Allenby,84,60.76,96,158
24,25,25,Martin Laird,77,60.71,85,140
25,T26,T26,Freddie Jacobson,92,60.65,94,155
26,T26,T26,Spencer Levin,113,60.65,131,216
27,28,28,Blake Adams,116,60.29,126,209
28,T29,T29,Steve Elkington,50,60.0,54,90
29,T29,T29,Padraig Harrington,60,60.0,69,115
30,T29,T29,Ian Poulter,52,60.0,57,95
31,32,32,Kevin Streelman,90,59.78,110,184
32,33,33,Brendon de Jonge,105,59.04,111,188
33,34,34,Joe Durant,71,58.93,66,112
34,35,35,Rory Sabbatini,85,58.9,86,146
35,36,36,Brandt Snedeker,85,58.79,107,182
36,37,37,Charl Schwartzel,58,58.76,57,97
37,38,38,Pat Perez,76,58.72,101,172
38,39,39,Dean Wilson,62,58.64,95,162
39,40,40,Nick Watney,80,58.57,82,140
40,41,41,Stephen Ames,69,58.54,72,123
41,42,42,Jason Dufner,78,58.46,76,130
42,43,43,Ryan Moore,79,58.39,94,161
43,T44,T44,Rod Pampling,72,58.33,77,132
44,T44,T44,David Toms,78,58.33,70,120
45,46,46,Ryan Palmer,82,58.08,97,167
46,47,47,Nathan Green,81,57.89,99,171
47,T48,T48,Greg Chalmers,88,57.87,114,197
48,T48,T48,D.A. Points,89,57.87,103,178
49,50,50,Retief Goosen,50,57.85,70,121
50,51,51,Justin Rose,79,57.78,78,135
51,52,52,Hunter Mahan,92,57.76,93,161
52,53,53,Tim Petrovic,88,57.61,106,184
53,54,54,Brandt Jobe,100,57.32,90,157
54,55,55,Jonathan Byrd,83,57.31,98,171
55,56,56,Adam Scott,60,57.28,59,103
56,57,57,Michael Thompson,79,57.07,109,191
57,58,58,Trevor Immelman,84,57.03,73,128
58,59,59,Briny Baird,60,56.84,54,95
59,60,60,Charles Howell III,108,56.68,106,187
60,61,61,Chad Campbell,99,56.55,95,168
61,62,62,Jarrod Lyle,83,56.4,119,211
62,63,63,Cameron Tringale,110,56.19,109,194
63,64,64,K.J. Choi,77,56.08,83,148
64,65,65,Chez Reavie,92,55.93,99,177
65,66,66,Keegan Bradley,91,55.79,106,190
66,67,67,Tim Herron,85,55.7,88,158
67,68,68,Shane Bertsch,62,55.65,69,124
68,69,69,Johnson Wagner,81,55.63,84,151
69,T70,T70,Woody Austin,59,55.56,55,99
70,T70,T70,Brian Gay,90,55.56,95,171
71,72,72,Steve Flesch,88,55.28,110,199
72,73,73,Alex Cejka,59,55.24,58,105
73,74,74,Marc Turnesa,54,55.12,70,127
74,75,75,Rickie Fowler,84,55.03,93,169
75,76,76,Brian Davis,105,54.95,111,202
76,T77,T77,George McNeill,69,54.79,80,146
77,T77,T77,Nick O'Hern,89,54.79,80,146
78,79,79,Michael Connell,76,54.74,75,137
79,80,80,Bio Kim,71,54.71,93,170
80,81,81,Billy Mayfair,94,54.66,88,161
81,82,82,Joseph Bramlett,73,54.6,95,174
82,T83,T83,Ryuji Imada,83,54.55,96,176
83,T83,T83,Nate Smith,66,54.55,72,132
84,T83,T83,Jimmy Walker,79,54.55,108,198
85,86,86,Vijay Singh,79,54.43,86,158
86,87,87,Graeme McDowell,50,54.35,50,92
87,88,88,Lee Janzen,62,54.2,71,131
88,89,89,Chris DiMarco,93,54.15,111,205
89,90,90,William McGirt,103,54.12,105,194
90,91,91,Kris Blanks,92,54.05,80,148
91,92,92,Bo Van Pelt,92,54.04,87,161
92,93,93,Charlie Wi,83,54.02,94,174
93,94,94,Paul Goydos,81,53.89,97,180
94,T95,T95,Matt Bettencourt,84,53.85,112,208
95,T95,T95,Chris Couch,73,53.85,98,182
96,T97,T97,Robert Garrigus,83,53.46,85,159
97,T97,T97,Garrett Willis,71,53.46,85,159
98,99,99,Carl Pettersson,95,53.44,101,189
99,T100,T100,Jim Furyk,87,53.42,86,161
100,T100,T100,Troy Merritt,63,53.42,86,161
101,102,102,John Merrick,71,53.39,63,118
102,103,103,Andres Romero,77,53.37,103,193
103,104,104,Chris Riley,76,53.33,80,150
104,105,105,Marc Leishman,87,53.27,106,199
105,106,106,Stewart Cink,72,53.23,66,124
106,107,107,Jhonattan Vegas,84,53.21,83,156
107,108,108,Richard Johnson,64,53.13,68,128
108,109,109,Matt Jones,71,53.11,94,177
109,110,110,Roland Thatcher,67,53.09,86,162
110,111,111,Tag Ridings,87,53.02,114,215
111,112,112,Lucas Glover,74,52.99,71,134
112,113,113,Shaun Micheel,77,52.91,91,172
113,114,114,Kevin Chappell,78,52.73,87,165
114,115,115,Rocco Mediate,53,52.67,69,131
115,116,116,Chris Kirk,87,52.66,99,188
116,T117,T117,Kent Jones,76,52.53,83,158
117,T117,T117,Scott Piercy,78,52.53,83,158
118,119,119,Sean O'Hair,71,52.44,86,164
119,120,120,Charley Hoffman,93,52.38,99,189
120,121,121,Paul Stankowski,78,52.33,90,172
121,122,122,D.J. Trahan,91,52.11,99,190
122,123,123,Jeff Overton,92,51.83,85,164
123,124,124,Matt McQuillan,59,51.77,73,141
124,125,125,Troy Matteson,91,51.64,110,213
125,126,126,Stuart Appleby,65,51.55,83,161
126,127,127,Kevin Kisner,70,51.52,85,165
127,128,128,Hunter Haas,96,51.46,106,206
128,129,129,Tommy Gainey,104,51.44,107,208
129,130,130,Kyle Stanley,98,51.31,98,191
130,131,131,David Duval,67,51.23,83,162
131,132,132,David Hearn,88,51.22,84,164
132,133,133,Vaughn Taylor,89,51.11,92,180
133,134,134,Camilo Villegas,69,51.08,71,139
134,135,135,Anthony Kim,72,51.01,76,149
135,136,136,Fabián Gómez,84,50.83,92,181
136,137,137,Bill Lunde,92,50.63,81,160
137,138,138,Ángel Cabrera,50,50.59,43,85
138,139,139,Chris Stroud,88,50.53,96,190
139,140,140,Bubba Watson,85,50.4,63,125
140,141,141,Cameron Beckman,71,50.33,77,153
141,142,142,John Rollins,85,50.31,81,161
142,143,143,Martin Piller,63,50.3,84,167
143,144,144,Joe Ogilvie,75,50.28,89,177
144,T145,T145,J.P. Hayes,56,50.0,63,126
145,T145,T145,Colt Knost,80,50.0,81,162
146,T145,T145,John Senden,94,50.0,75,150
147,148,148,Zack Miller,86,49.75,98,197
148,149,149,Ben Martin,74,49.38,79,160
149,150,150,Aaron Baddeley,77,49.32,73,148
150,151,151,Michael Putnam,67,49.31,71,144
151,152,152,Steve Marino,76,49.3,70,142
152,153,153,Boo Weekley,66,49.19,61,124
153,154,154,Dustin Johnson,72,49.17,59,120
154,155,155,Kevin Stadler,88,49.16,88,179
155,156,156,Jim Herman,69,49.15,58,118
156,157,157,Scott Stallings,84,49.09,81,165
157,158,158,Scott Gutschewski,67,48.97,71,145
158,159,159,Jason Bohn,74,48.89,66,135
159,160,160,D.J. Brigman,67,48.87,65,133
160,161,161,Bobby Gates,82,48.86,86,176
161,162,162,Tom Gillis,55,48.54,50,103
162,163,163,J.B. Holmes,57,48.18,53,110
163,164,164,Davis Love III,70,47.93,58,121
164,165,165,Jim Renner,65,47.9,57,119
165,T166,T166,Rich Beem,53,47.83,55,115
166,T166,T166,Steven Bowditch,86,47.83,99,207
167,168,168,Will Strickler,51,47.62,50,105
168,169,169,Sung Kang,63,47.33,62,131
169,170,170,Justin Hicks,60,47.13,41,87
170,171,171,J.J. Henry,96,46.7,85,182
171,172,172,Heath Slocum,89,46.62,62,133
172,173,173,Harrison Frazar,58,46.61,55,118
173,174,174,James Driscoll,71,46.41,71,153
174,175,175,Brendan Steele,89,46.22,104,225
175,176,176,Arjun Atwal,91,46.08,100,217
176,177,177,Derek Lamely,65,45.71,80,175
177,T178,T178,Andres Gonzales,60,45.45,55,121
178,T178,T178,Alexandre Rocha,65,45.45,40,88
179,180,180,Michael Bradley,74,45.22,52,115
180,181,181,Daniel Summerhays,75,44.97,67,149
181,182,182,Alex Prugh,82,44.65,71,159
182,183,183,Ernie Els,71,43.86,50,114
183,184,184,Josh Teater,104,42.21,84,199
184,185,185,Billy Horschel,75,41.01,57,139
185,186,186,Aron Price,58,40.7,35,86
