,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Retief Goosen,50,"7' 0""",393.417,56,81
1,T2,T2,Luke Donald,73,"7' 6""",601.1669999999999,80,8
2,T2,T2,Justin Rose,79,"7' 6""",841.0830000000001,112,95
3,4,4,Carl Pettersson,95,"7' 8""",878.3330000000001,114,72
4,5,5,Brian Gay,90,"7' 9""",863.0,111,7
5,T6,T6,Ian Poulter,52,"7' 10""",445.25,57,122
6,T6,T6,Chris Riley,76,"7' 10""",784.0830000000001,100,20
7,T8,T8,Rod Pampling,72,"7' 11""",875.0830000000001,110,10
8,T8,T8,Pat Perez,76,"7' 11""",846.3330000000001,107,78
9,T8,T8,Vijay Singh,79,"7' 11""",933.8330000000001,118,105
10,T8,T8,Paul Stankowski,78,"7' 11""",659.8330000000001,83,56
11,T12,T12,Davis Love III,70,"8' 0""",527.8330000000001,66,161
12,T12,T12,Charl Schwartzel,58,"8' 0""",536.4169999999999,67,50
13,14,14,Joe Ogilvie,75,"8' 1""",678.25,84,109
14,T15,T15,Jason Dufner,78,"8' 2""",853.25,104,70
15,T15,T15,Sergio Garcia,61,"8' 2""",621.8330000000001,76,44
16,T15,T15,Robert Karlsson,61,"8' 2""",672.0,82,40
17,T15,T15,Bo Van Pelt,92,"8' 2""",852.8330000000001,104,68
18,19,19,Shaun Micheel,77,"8' 3""",757.5830000000001,92,69
19,T20,T20,Padraig Harrington,60,"8' 4""",441.917,53,49
20,T20,T20,Bryce Molder,82,"8' 4""",1045.0,125,15
21,T20,T20,Geoff Ogilvy,69,"8' 4""",741.4169999999999,89,52
22,T23,T23,Brian Davis,105,"8' 5""",1251.167,149,62
23,T23,T23,Phil Mickelson,79,"8' 5""",895.6669999999999,106,17
24,T25,T25,Jerry Kelly,85,"8' 6""",813.0830000000001,96,14
25,T25,T25,Rory Sabbatini,85,"8' 6""",855.4169999999999,101,84
26,T27,T27,Robert Allenby,84,"8' 7""",1002.9169999999999,117,66
27,T27,T27,Zach Johnson,79,"8' 7""",940.0,110,4
28,T27,T27,Matt Kuchar,94,"8' 7""",921.0830000000001,107,13
29,T27,T27,David Toms,78,"8' 7""",702.0830000000001,82,25
30,T27,T27,D.J. Trahan,91,"8' 7""",916.8330000000001,107,82
31,T32,T32,Woody Austin,59,"8' 8""",552.5,64,5
32,T32,T32,Aaron Baddeley,77,"8' 8""",1114.083,129,55
33,T32,T32,Alex Cejka,59,"8' 8""",754.75,87,111
34,T32,T32,Anthony Kim,72,"8' 8""",814.3330000000001,94,75
35,T32,T32,Billy Mayfair,94,"8' 8""",1028.417,119,27
36,T32,T32,George McNeill,69,"8' 8""",728.25,84,124
37,T32,T32,Mark Wilson,89,"8' 8""",974.8330000000001,113,11
38,T39,T39,Steve Flesch,88,"8' 9""",1154.75,132,108
39,T39,T39,Nathan Green,81,"8' 9""",1093.583,125,26
40,T39,T39,Chris Kirk,87,"8' 9""",1133.917,130,99
41,T42,T42,Stephen Ames,69,"8' 10""",705.0830000000001,80,35
42,T42,T42,Stewart Cink,72,"8' 10""",708.0830000000001,80,107
43,T42,T42,Bill Lunde,92,"8' 10""",837.6669999999999,95,114
44,T45,T45,Troy Merritt,63,"8' 11""",516.8330000000001,58,121
45,T45,T45,Webb Simpson,98,"8' 11""",1038.5,116,16
46,T45,T45,Chris Stroud,88,"8' 11""",867.25,97,103
47,T48,T48,Ricky Barnes,78,"9' 0""",789.6669999999999,88,117
48,T48,T48,Ben Curtis,66,"9' 0""",779.75,87,21
49,T48,T48,Jason Day,76,"9' 0""",1054.667,117,3
50,T48,T48,Hunter Mahan,92,"9' 0""",1256.167,139,92
51,T48,T48,Heath Slocum,89,"9' 0""",591.6669999999999,66,149
52,T48,T48,Brendan Steele,89,"9' 0""",894.75,99,149
53,T54,T54,Steve Elkington,50,"9' 1""",574.5,63,43
54,T54,T54,Boo Weekley,66,"9' 1""",563.3330000000001,62,169
55,T54,T54,Garrett Willis,71,"9' 1""",870.3330000000001,96,88
56,T57,T57,Jim Furyk,87,"9' 2""",803.9169999999999,88,76
57,T57,T57,Lucas Glover,74,"9' 2""",909.75,99,162
58,T57,T57,Tim Petrovic,88,"9' 2""",1097.917,120,38
59,T57,T57,D.A. Points,89,"9' 2""",1227.583,134,77
60,T57,T57,Steve Stricker,70,"9' 2""",808.25,88,2
61,T57,T57,Charlie Wi,83,"9' 2""",1288.5,141,64
62,T57,T57,Y.E. Yang,63,"9' 2""",642.3330000000001,70,23
63,T64,T64,Jonathan Byrd,83,"9' 3""",1013.0,110,106
64,T64,T64,Chris DiMarco,93,"9' 3""",997.1669999999999,108,39
65,T64,T64,Trevor Immelman,84,"9' 3""",752.25,81,89
66,T64,T64,Kevin Na,84,"9' 3""",1020.6669999999999,110,9
67,T64,T64,Sean O'Hair,71,"9' 3""",779.0,84,146
68,T69,T69,Rickie Fowler,84,"9' 4""",978.4169999999999,105,139
69,T69,T69,Charles Howell III,108,"9' 4""",1131.5,121,5
70,T69,T69,Aron Price,58,"9' 4""",486.417,52,137
71,T69,T69,Camilo Villegas,69,"9' 4""",939.75,101,127
72,T73,T73,Steven Bowditch,86,"9' 5""",1200.333,127,175
73,T73,T73,Bio Kim,71,"9' 5""",866.4169999999999,92,142
74,T73,T73,David Mathis,83,"9' 5""",1013.4169999999999,108,30
75,T73,T73,Andres Romero,77,"9' 5""",1117.833,119,120
76,T73,T73,Nate Smith,66,"9' 5""",743.8330000000001,79,90
77,T78,T78,Brendon de Jonge,105,"9' 6""",1272.667,134,42
78,T78,T78,Tim Herron,85,"9' 6""",1117.417,118,60
79,T78,T78,Ryuji Imada,83,"9' 6""",1171.167,123,65
80,T78,T78,Brandt Jobe,100,"9' 6""",1052.083,111,67
81,T78,T78,Matt Jones,71,"9' 6""",1077.833,113,110
82,T78,T78,Marc Leishman,87,"9' 6""",1256.083,132,71
83,T78,T78,Ryan Palmer,82,"9' 6""",810.25,85,47
84,T78,T78,Kyle Stanley,98,"9' 6""",1003.8330000000001,106,156
85,T78,T78,Jimmy Walker,79,"9' 6""",1409.5,148,54
86,T87,T87,Jason Bohn,74,"9' 7""",777.8330000000001,81,83
87,T87,T87,Chris Couch,73,"9' 7""",1017.75,106,27
88,T87,T87,Charley Hoffman,93,"9' 7""",1070.75,112,163
89,T87,T87,Freddie Jacobson,92,"9' 7""",1167.333,122,34
90,T87,T87,William McGirt,103,"9' 7""",1183.333,124,51
