,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Retief Goosen,50,77.78,28,36
1,2,2,Paul Stankowski,78,72.22,39,54
2,3,3,Brian Gay,90,68.92,51,74
3,4,4,Rod Pampling,72,68.42,39,57
4,5,5,Tom Gillis,55,68.0,34,50
5,6,6,Jason Day,76,67.61,48,71
6,7,7,Luke Donald,73,67.44,29,43
7,T8,T8,Ben Curtis,66,66.67,36,54
8,T8,T8,Jim Furyk,87,66.67,28,42
9,T8,T8,Justin Rose,79,66.67,50,75
10,11,11,Geoff Ogilvy,69,66.0,33,50
11,12,12,Nathan Green,81,65.63,42,64
12,13,13,Michael Putnam,67,64.71,33,51
13,14,14,Brandt Jobe,100,63.49,40,63
14,15,15,Scott Gutschewski,67,63.16,36,57
15,16,16,Zach Johnson,79,62.9,39,62
16,17,17,Ryan Palmer,82,62.79,27,43
17,18,18,Blake Adams,116,62.63,62,99
18,T19,T19,Graeme McDowell,50,62.5,25,40
19,T19,T19,Vijay Singh,79,62.5,45,72
20,21,21,Hunter Haas,96,62.34,48,77
21,T22,T22,Greg Chalmers,88,62.32,43,69
22,T22,T22,Kevin Na,84,62.32,43,69
23,24,24,Brandt Snedeker,85,62.3,38,61
24,25,25,Freddie Jacobson,92,62.16,46,74
25,26,26,Chris Riley,76,61.82,34,55
26,27,27,Robert Karlsson,61,61.7,29,47
27,28,28,Jonathan Byrd,83,61.54,48,78
28,29,29,Padraig Harrington,60,61.29,19,31
29,T30,T30,Jerry Kelly,85,61.02,36,59
30,T30,T30,Rory Sabbatini,85,61.02,36,59
31,T32,T32,Robert Allenby,84,60.94,39,64
32,T32,T32,Shaun Micheel,77,60.94,39,64
33,34,34,Michael Thompson,79,60.78,31,51
34,35,35,Ian Poulter,52,60.53,23,38
35,36,36,Stewart Cink,72,60.42,29,48
36,37,37,Lee Janzen,62,59.38,19,32
37,38,38,Pat Perez,76,59.21,45,76
38,39,39,Carl Pettersson,95,59.09,39,66
39,40,40,Rocco Mediate,53,58.82,20,34
40,41,41,Matt McQuillan,59,58.62,17,29
41,T42,T42,Aaron Baddeley,77,58.33,42,72
42,T42,T42,Matt Kuchar,94,58.33,35,60
43,T42,T42,Bryce Molder,82,58.33,35,60
44,45,45,Mark Wilson,89,58.21,39,67
45,46,46,Bo Van Pelt,92,58.06,36,62
