,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Padraig Harrington,60,77.98,85,109
1,2,2,Steve Stricker,70,76.81,106,138
2,3,3,Ben Crane,76,73.25,115,157
3,4,4,Brian Gay,90,73.15,158,216
4,5,5,Brandt Jobe,100,72.83,134,184
5,6,6,Kevin Na,84,72.59,143,197
6,7,7,Mark Wilson,89,72.28,133,184
7,8,8,Paul Stankowski,78,72.22,117,162
8,9,9,Nathan Green,81,71.92,146,203
9,10,10,Jerry Kelly,85,71.78,117,163
10,11,11,Greg Chalmers,88,71.68,162,226
11,12,12,Justin Leonard,82,71.58,131,183
12,13,13,Zach Johnson,79,71.52,118,165
13,14,14,Jarrod Lyle,83,71.5,143,200
14,15,15,Jason Day,76,71.33,107,150
15,16,16,Matt McQuillan,59,71.3,82,115
16,17,17,Nick Watney,80,71.25,114,160
17,18,18,Webb Simpson,98,71.11,128,180
18,19,19,Shaun Micheel,77,70.53,134,190
19,20,20,Retief Goosen,50,70.3,71,101
20,21,21,Lee Janzen,62,70.29,97,138
21,22,22,Rory Sabbatini,85,70.27,104,148
22,23,23,Jim Renner,65,70.23,92,131
23,24,24,Bryce Molder,82,70.18,120,171
24,25,25,Geoff Ogilvy,69,69.88,116,166
25,26,26,Rod Pampling,72,69.82,118,169
26,27,27,Matt Kuchar,94,69.51,114,164
27,28,28,Charles Howell III,108,69.47,157,226
28,29,29,William McGirt,103,68.97,160,232
29,30,30,Trevor Immelman,84,68.87,104,151
30,31,31,Robert Allenby,84,68.86,115,167
31,32,32,Blake Adams,116,68.75,187,272
32,33,33,Freddie Jacobson,92,68.65,127,185
33,34,34,Ian Poulter,52,68.47,76,111
34,35,35,Robert Karlsson,61,68.29,84,123
35,36,36,Brandt Snedeker,85,68.25,129,189
36,37,37,Stuart Appleby,65,68.24,116,170
37,38,38,Chris DiMarco,93,68.23,131,192
38,39,39,Tim Petrovic,88,68.22,146,214
39,40,40,Phil Mickelson,79,68.12,94,138
40,41,41,Ben Curtis,66,68.05,115,169
41,42,42,Nick O'Hern,89,67.8,120,177
42,43,43,Pat Perez,76,67.49,137,203
43,44,44,Zack Miller,86,67.44,145,215
44,T45,T45,Steve Marino,76,67.35,99,147
45,T45,T45,Ryan Palmer,82,67.35,99,147
46,47,47,Aaron Baddeley,77,67.3,107,159
47,T48,T48,Sergio Garcia,61,67.2,84,125
48,T48,T48,Tag Ridings,87,67.2,127,189
49,50,50,Tom Gillis,55,67.19,86,128
50,51,51,Charlie Wi,83,67.16,135,201
51,T52,T52,Jim Furyk,87,67.12,98,146
52,T52,T52,Hunter Haas,96,67.12,149,222
53,T54,T54,Scott Gutschewski,67,67.09,106,158
54,T54,T54,Troy Merritt,63,67.09,106,158
55,56,56,James Driscoll,71,67.07,112,167
56,T57,T57,D.A. Points,89,66.96,154,230
57,T57,T57,Alexandre Rocha,65,66.96,75,112
58,59,59,Nate Smith,66,66.9,97,145
59,60,60,Jonathan Byrd,83,66.85,121,181
60,61,61,Vaughn Taylor,89,66.83,137,205
61,T62,T62,Kevin Chappell,78,66.67,106,159
62,T62,T62,Stewart Cink,72,66.67,86,129
63,T62,T62,Luke Donald,73,66.67,74,111
64,T62,T62,Vijay Singh,79,66.67,140,210
65,66,66,Steve Flesch,88,66.4,164,247
66,67,67,Cameron Tringale,110,66.38,156,235
67,68,68,Cameron Beckman,71,66.28,114,172
68,69,69,Scott McCarron,65,66.24,104,157
69,70,70,Spencer Levin,113,66.1,156,236
70,71,71,David Hearn,88,66.09,115,174
71,72,72,Chris Riley,76,65.97,126,191
72,73,73,K.J. Choi,77,65.96,93,141
73,74,74,Bio Kim,71,65.93,120,182
74,75,75,Anthony Kim,72,65.71,92,140
75,76,76,Michael Thompson,79,65.57,120,183
76,77,77,Davis Love III,70,65.41,87,133
77,T78,T78,Steve Elkington,50,65.29,79,121
78,T78,T78,Kevin Streelman,90,65.29,111,170
79,80,80,Briny Baird,60,65.18,73,112
80,81,81,Jason Bohn,74,65.0,104,160
81,82,82,Tim Herron,85,64.88,133,205
82,83,83,Marc Leishman,87,64.82,129,199
83,84,84,Hunter Mahan,92,64.74,112,173
84,85,85,Scott Piercy,78,64.67,97,150
85,86,86,Shane Bertsch,62,64.66,86,133
86,T87,T87,Woody Austin,59,64.62,84,130
87,T87,T87,D.J. Trahan,91,64.62,126,195
88,T87,T87,Jimmy Walker,79,64.62,126,195
89,90,90,Daniel Summerhays,75,64.58,124,192
90,91,91,Justin Rose,79,64.52,100,155
91,92,92,Bill Haas,93,64.5,109,169
92,93,93,Keegan Bradley,91,64.29,135,210
93,94,94,Joe Ogilvie,75,64.24,106,165
94,95,95,Carl Pettersson,95,64.19,147,229
95,96,96,George McNeill,69,64.04,114,178
96,97,97,Chris Stroud,88,64.0,128,200
97,98,98,Y.E. Yang,63,63.87,76,119
98,99,99,Rickie Fowler,84,63.64,112,176
99,100,100,Billy Mayfair,94,63.59,124,195
100,101,101,Charl Schwartzel,58,63.54,61,96
101,102,102,Michael Putnam,67,63.45,92,145
102,103,103,Michael Connell,76,63.4,123,194
103,104,104,Martin Laird,77,63.35,102,161
104,105,105,Arjun Atwal,91,63.33,133,210
105,106,106,Matt Jones,71,63.13,113,179
106,107,107,John Rollins,85,63.01,109,173
107,108,108,Will Strickler,51,62.99,80,127
108,109,109,Aron Price,58,62.9,78,124
109,110,110,Gary Woodland,93,62.73,101,161
110,111,111,Sean O'Hair,71,62.57,107,171
111,112,112,David Toms,78,62.4,78,125
112,113,113,Ryuji Imada,83,62.37,116,186
113,114,114,Dean Wilson,62,62.21,107,172
114,115,115,Brendon de Jonge,105,62.16,138,222
115,116,116,Tommy Gainey,104,62.1,136,219
116,117,117,Jhonattan Vegas,84,62.05,103,166
117,118,118,Andres Romero,77,62.03,116,187
118,119,119,David Mathis,83,61.98,119,192
119,120,120,Bill Lunde,92,61.88,112,181
120,121,121,Joe Durant,71,61.84,94,152
121,122,122,Roland Thatcher,67,61.73,100,162
122,123,123,Ben Martin,74,61.62,114,185
123,124,124,Jim Herman,69,61.59,85,138
124,125,125,Jason Dufner,78,61.54,104,169
