,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Brian Gay,90,"6' 0""",2824.583,468,7
1,T2,T2,Padraig Harrington,60,"6' 4""",2013.25,316,49
2,T2,T2,Steve Stricker,70,"6' 4""",2205.917,347,2
3,T4,T4,Alex Cejka,59,"6' 5""",2031.6670000000001,318,111
4,T4,T4,Kevin Na,84,"6' 5""",3451.5,536,9
5,T6,T6,Jonathan Byrd,83,"6' 6""",3151.833,482,106
6,T6,T6,Justin Leonard,82,"6' 6""",3147.167,485,18
7,T6,T6,Ian Poulter,52,"6' 6""",1725.75,266,122
8,T6,T6,Chris Riley,76,"6' 6""",2960.667,454,20
9,T6,T6,Vijay Singh,79,"6' 6""",3070.25,472,105
10,11,11,Rory Sabbatini,85,"6' 7""",2789.167,424,84
11,T12,T12,Woody Austin,59,"6' 8""",2244.833,335,5
12,T12,T12,Ricky Barnes,78,"6' 8""",2841.0,424,117
13,T12,T12,Luke Donald,73,"6' 8""",2207.167,331,8
14,T12,T12,Freddie Jacobson,92,"6' 8""",3324.167,500,34
15,T12,T12,Phil Mickelson,79,"6' 8""",2773.917,414,17
16,T12,T12,Bryce Molder,82,"6' 8""",3108.333,467,15
17,T12,T12,Tim Petrovic,88,"6' 8""",3854.75,576,38
18,T19,T19,Jason Dufner,78,"6' 9""",2828.667,421,70
19,T19,T19,Jim Furyk,87,"6' 9""",2877.167,424,76
20,T19,T19,Matt Kuchar,94,"6' 9""",3201.083,476,13
21,T19,T19,Geoff Ogilvy,69,"6' 9""",2613.167,387,52
22,T19,T19,Mark Wilson,89,"6' 9""",3140.25,465,11
23,T24,T24,Stephen Ames,69,"6' 10""",2680.917,392,35
24,T24,T24,Stuart Appleby,65,"6' 10""",2965.5,432,128
25,T24,T24,Jason Day,76,"6' 10""",2908.417,428,3
26,T24,T24,Steve Flesch,88,"6' 10""",3986.083,585,108
27,T24,T24,Sergio Garcia,61,"6' 10""",2242.917,327,44
28,T24,T24,Trevor Immelman,84,"6' 10""",2764.167,404,89
