,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Anthony Kim,72,-.127,55,-7.00
1,2,2,Aaron Baddeley,77,-.123,57,-7.00
2,3,3,K.J. Choi,77,-.119,59,-7.00
3,T4,T4,Richard Johnson,64,-.083,36,-3.00
4,T4,T4,Derek Lamely,65,-.083,48,-4.00
5,T6,T6,Padraig Harrington,60,-.074,54,-4.00
6,T6,T6,Gary Woodland,93,-.074,54,-4.00
7,8,8,Ryan Moore,79,-.070,57,-4.00
8,9,9,Nathan Green,81,-.068,59,-4.00
9,10,10,Luke Donald,73,-.065,31,-2.00
10,11,11,Alex Cejka,59,-.064,47,-3.00
11,12,12,Brian Gay,90,-.062,65,-4.00
12,13,13,Ryan Palmer,82,-.060,84,-5.00
13,T14,T14,Robert Allenby,84,-.059,51,-3.00
14,T14,T14,Ernie Els,71,-.059,51,-3.00
15,16,16,Joseph Bramlett,73,-.058,52,-3.00
16,17,17,Rickie Fowler,84,-.054,56,-3.00
17,18,18,Josh Teater,104,-.052,77,-4.00
18,19,19,Hunter Haas,96,-.044,68,-3.00
19,T20,T20,Stuart Appleby,65,-.043,47,-2.00
20,T20,T20,Bobby Gates,82,-.043,47,-2.00
21,T20,T20,Ryuji Imada,83,-.043,69,-3.00
22,T20,T20,Kevin Na,84,-.043,70,-3.00
23,24,24,Stewart Cink,72,-.040,50,-2.00
24,25,25,Jerry Kelly,85,-.038,53,-2.00
25,T26,T26,Ángel Cabrera,50,-.030,33,-1.00
26,T26,T26,Nick Watney,80,-.030,66,-2.00
27,T28,T28,Martin Piller,63,-.026,39,-1.00
28,T28,T28,Y.E. Yang,63,-.026,38,-1.00
29,30,30,Troy Matteson,91,-.024,84,-2.00
30,T31,T31,Ben Crane,76,-.023,44,-1.00
31,T31,T31,Steve Stricker,70,-.023,43,-1.00
32,33,33,Stephen Ames,69,-.021,48,-1.00
33,34,34,Harrison Frazar,58,-.020,50,-1.00
34,35,35,Kevin Kisner,70,-.019,52,-1.00
35,T36,T36,Chez Reavie,92,-.018,55,-1.00
36,T36,T36,Charlie Wi,83,-.018,55,-1.00
37,38,38,Shaun Micheel,77,-.015,67,-1.00
38,39,39,Bryce Molder,82,-.014,70,-1.00
39,40,40,Charles Howell III,108,-.013,76,-1.00
40,T41,T41,Cameron Beckman,71,E,64,E
41,T41,T41,Chris Couch,73,E,53,E
42,T41,T41,Jason Day,76,E,42,E
43,T41,T41,Robert Garrigus,83,E,66,E
44,T41,T41,J.J. Henry,96,E,74,E
45,T41,T41,Robert Karlsson,61,E,53,E
46,T41,T41,Hunter Mahan,92,E,60,E
47,T41,T41,Ben Martin,74,E,57,E
48,T41,T41,Scott McCarron,65,E,51,E
49,T41,T41,Rory Sabbatini,85,E,66,E
50,T41,T41,Michael Thompson,79,E,67,E
51,T41,T41,Jhonattan Vegas,84,E,67,E
52,T41,T41,Garrett Willis,71,E,65,E
53,54,54,Jimmy Walker,79,+.015,67,+1.00
54,T55,T55,Jason Bohn,74,+.017,60,+1.00
55,T55,T55,Martin Laird,77,+.017,60,+1.00
56,T57,T57,Zach Johnson,79,+.018,55,+1.00
57,T57,T57,Sung Kang,63,+.018,56,+1.00
58,T59,T59,Jim Furyk,87,+.019,54,+1.00
59,T59,T59,Scott Piercy,78,+.019,54,+1.00
60,T59,T59,Dean Wilson,62,+.019,53,+1.00
61,T62,T62,J.B. Holmes,57,+.023,44,+1.00
62,T62,T62,Alexandre Rocha,65,+.023,44,+1.00
63,T62,T62,David Toms,78,+.023,43,+1.00
64,T65,T65,Steve Elkington,50,+.024,41,+1.00
65,T65,T65,Vaughn Taylor,89,+.024,83,+2.00
66,67,67,D.J. Trahan,91,+.026,76,+2.00
67,T68,T68,Tommy Gainey,104,+.027,75,+2.00
68,T68,T68,Retief Goosen,50,+.027,37,+1.00
69,T70,T70,Jarrod Lyle,83,+.028,71,+2.00
70,T70,T70,Tim Petrovic,88,+.028,71,+2.00
71,T70,T70,Marc Turnesa,54,+.028,36,+1.00
72,T73,T73,Sergio Garcia,61,+.029,34,+1.00
73,T73,T73,Chris Riley,76,+.029,68,+2.00
74,T73,T73,Chris Stroud,88,+.029,69,+2.00
75,T73,T73,Daniel Summerhays,75,+.029,69,+2.00
76,T77,T77,Alex Prugh,82,+.030,66,+2.00
