,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Rod Pampling,72,45.45,30,66
1,2,2,Y.E. Yang,63,45.24,19,42
2,3,3,Luke Donald,73,43.64,24,55
3,4,4,Garrett Willis,71,40.85,29,71
4,5,5,Camilo Villegas,69,40.54,30,74
5,T6,T6,K.J. Choi,77,40.0,26,65
6,T6,T6,Jerry Kelly,85,40.0,24,60
7,8,8,Charles Howell III,108,38.61,39,101
8,9,9,Jason Day,76,38.55,32,83
9,10,10,Greg Chalmers,88,38.54,37,96
10,11,11,Ryan Moore,79,37.93,22,58
11,12,12,John Merrick,71,37.5,21,56
12,13,13,Charlie Wi,83,37.29,44,118
13,14,14,J.P. Hayes,56,37.25,19,51
14,15,15,Brendon de Jonge,105,36.78,32,87
15,16,16,Stephen Ames,69,36.51,23,63
16,T17,T17,Nick Watney,80,36.36,20,55
17,T17,T17,Gary Woodland,93,36.36,24,66
18,19,19,Kevin Na,84,36.26,33,91
19,20,20,Nick O'Hern,89,35.9,28,78
20,T21,T21,Anthony Kim,72,35.71,35,98
21,T21,T21,Mark Wilson,89,35.71,25,70
22,23,23,Jonathan Byrd,83,35.63,31,87
23,24,24,Kent Jones,76,35.56,32,90
24,25,25,Zach Johnson,79,35.48,22,62
25,26,26,Bo Van Pelt,92,35.29,24,68
26,27,27,Keegan Bradley,91,34.74,33,95
27,28,28,Chris Couch,73,34.62,18,52
28,T29,T29,Sung Kang,63,34.29,24,70
29,T29,T29,Kevin Streelman,90,34.29,24,70
30,31,31,Freddie Jacobson,92,34.15,28,82
31,32,32,Phil Mickelson,79,33.9,20,59
32,33,33,Brian Gay,90,33.72,29,86
33,34,34,Tim Herron,85,33.67,33,98
34,35,35,Jimmy Walker,79,33.66,34,101
35,T36,T36,Briny Baird,60,33.33,14,42
36,T36,T36,Michael Connell,76,33.33,30,90
37,T36,T36,Ben Curtis,66,33.33,20,60
38,T36,T36,Steve Elkington,50,33.33,15,45
39,T36,T36,Padraig Harrington,60,33.33,23,69
40,T36,T36,Michael Thompson,79,33.33,30,90
41,T36,T36,Johnson Wagner,81,33.33,23,69
42,43,43,Jim Furyk,87,32.89,25,76
43,44,44,Matt McQuillan,59,32.86,23,70
44,45,45,Martin Laird,77,32.76,19,58
45,T46,T46,Harrison Frazar,58,32.65,16,49
46,T46,T46,Carl Pettersson,95,32.65,32,98
47,48,48,Spencer Levin,113,32.14,27,84
48,49,49,David Toms,78,32.08,17,53
49,50,50,Scott McCarron,65,31.88,22,69
50,51,51,Steve Stricker,70,31.82,14,44
51,52,52,Jim Herman,69,31.75,20,63
52,T53,T53,Bryce Molder,82,31.58,24,76
53,T53,T53,Justin Rose,79,31.58,18,57
54,55,55,Shaun Micheel,77,31.52,29,92
55,56,56,Rory Sabbatini,85,31.43,22,70
56,57,57,Trevor Immelman,84,31.4,27,86
57,T58,T58,David Duval,67,31.25,25,80
58,T58,T58,Hunter Mahan,92,31.25,25,80
59,60,60,Arjun Atwal,91,31.2,39,125
60,61,61,Fabián Gómez,84,31.18,29,93
61,62,62,Lucas Glover,74,31.15,19,61
62,63,63,Joe Durant,71,31.11,14,45
63,64,64,J.J. Henry,96,30.93,30,97
64,65,65,Dean Wilson,62,30.77,20,65
65,T66,T66,Paul Goydos,81,30.68,27,88
66,T66,T66,Nate Smith,66,30.68,27,88
67,T68,T68,Rickie Fowler,84,30.43,21,69
68,T68,T68,John Rollins,85,30.43,21,69
69,70,70,Chris DiMarco,93,30.39,31,102
70,71,71,Scott Stallings,84,30.38,24,79
71,72,72,Blake Adams,116,30.36,34,112
72,T73,T73,Shane Bertsch,62,30.0,21,70
73,T73,T73,Bill Haas,93,30.0,15,50
74,T73,T73,Steve Marino,76,30.0,18,60
75,76,76,Charley Hoffman,93,29.49,23,78
76,77,77,Justin Leonard,82,29.36,32,109
77,T78,T78,Robert Garrigus,83,29.17,21,72
78,T78,T78,Webb Simpson,98,29.17,21,72
79,80,80,David Mathis,83,29.11,23,79
80,81,81,Chad Campbell,99,29.07,25,86
81,82,82,Aron Price,58,29.03,18,62
82,83,83,Josh Teater,104,29.0,29,100
83,84,84,Scott Gutschewski,67,28.95,22,76
84,85,85,Martin Piller,63,28.75,23,80
85,T86,T86,Chris Riley,76,28.57,22,77
86,T86,T86,Chris Stroud,88,28.57,26,91
87,88,88,Richard Johnson,64,28.38,21,74
88,89,89,Dustin Johnson,72,28.3,15,53
89,90,90,Roland Thatcher,67,28.21,22,78
90,91,91,William McGirt,103,28.09,25,89
91,T92,T92,Retief Goosen,50,28.0,14,50
92,T92,T92,David Hearn,88,28.0,21,75
93,94,94,Brian Davis,105,27.85,22,79
94,T95,T95,Joseph Bramlett,73,27.78,20,72
95,T95,T95,Billy Horschel,75,27.78,20,72
96,97,97,Cameron Tringale,110,27.64,34,123
97,98,98,Vijay Singh,79,27.54,19,69
98,T99,T99,J.B. Holmes,57,27.27,12,44
99,T99,T99,Marc Leishman,87,27.27,27,99
100,T99,T99,Bubba Watson,85,27.27,12,44
101,102,102,Brandt Jobe,100,27.16,22,81
102,T103,T103,Jason Dufner,78,27.08,13,48
103,T103,T103,Adam Scott,60,27.08,13,48
104,T105,T105,Matt Bettencourt,84,27.03,30,111
105,T105,T105,Scott Piercy,78,27.03,20,74
106,107,107,Ryan Palmer,82,26.92,21,78
107,T108,T108,Ricky Barnes,78,26.87,18,67
108,T108,T108,Jim Renner,65,26.87,18,67
109,110,110,Joe Ogilvie,75,26.83,22,82
110,111,111,Zack Miller,86,26.72,31,116
111,112,112,Tim Petrovic,88,26.67,28,105
112,T113,T113,Robert Karlsson,61,26.53,13,49
113,T113,T113,Matt Kuchar,94,26.53,13,49
114,115,115,Kris Blanks,92,26.47,18,68
115,116,116,Ryuji Imada,83,26.44,23,87
116,117,117,Hunter Haas,96,26.37,24,91
117,T118,T118,Colt Knost,80,26.32,25,95
118,T118,T118,Heath Slocum,89,26.32,15,57
119,120,120,Ernie Els,71,26.23,16,61
120,121,121,James Driscoll,71,26.19,22,84
121,122,122,Vaughn Taylor,89,26.17,28,107
122,123,123,Aaron Baddeley,77,26.15,17,65
123,124,124,John Senden,94,26.03,19,73
124,125,125,Tom Gillis,55,25.76,17,66
125,126,126,Charl Schwartzel,58,25.58,11,43
126,127,127,Jhonattan Vegas,84,25.56,23,90
127,128,128,Tommy Gainey,104,25.4,32,126
128,129,129,Nathan Green,81,25.3,21,83
129,130,130,Brendan Steele,89,25.29,22,87
130,131,131,Daniel Summerhays,75,25.26,24,95
131,T132,T132,Robert Allenby,84,25.0,13,52
132,T132,T132,Woody Austin,59,25.0,11,44
133,T132,T132,Davis Love III,70,25.0,10,40
134,T132,T132,Chez Reavie,92,25.0,17,68
135,T132,T132,Kyle Stanley,98,25.0,15,60
136,T132,T132,Will Strickler,51,25.0,16,64
137,138,138,Ben Martin,74,24.69,20,81
138,139,139,Andres Gonzales,60,24.68,19,77
139,140,140,Jason Bohn,74,24.66,18,73
140,141,141,Brandt Snedeker,85,24.62,16,65
141,142,142,Lee Janzen,62,24.32,18,74
142,143,143,Alexandre Rocha,65,24.19,15,62
143,144,144,Sean O'Hair,71,24.1,20,83
144,145,145,D.J. Brigman,67,23.91,22,92
145,146,146,Ben Crane,76,23.73,14,59
146,147,147,Andres Romero,77,23.61,17,72
147,T148,T148,Kevin Chappell,78,23.53,16,68
148,T148,T148,Chris Kirk,87,23.53,20,85
149,150,150,Tag Ridings,87,23.15,25,108
150,T151,T151,Kevin Kisner,70,23.08,18,78
151,T151,T151,Alex Prugh,82,23.08,24,104
152,153,153,Derek Lamely,65,23.01,26,113
153,154,154,Paul Stankowski,78,23.0,23,100
154,155,155,Matt Jones,71,22.78,18,79
155,156,156,Jarrod Lyle,83,22.64,24,106
156,157,157,Bill Lunde,92,21.95,18,82
157,158,158,Michael Bradley,74,21.79,17,78
158,T159,T159,Rich Beem,53,21.67,13,60
159,T159,T159,Billy Mayfair,94,21.67,13,60
160,T159,T159,Rocco Mediate,53,21.67,13,60
161,162,162,Cameron Beckman,71,21.51,20,93
162,T163,T163,Steven Bowditch,86,21.36,22,103
163,T163,T163,Bio Kim,71,21.36,22,103
164,165,165,D.A. Points,89,21.33,16,75
165,166,166,Bobby Gates,82,21.13,15,71
166,167,167,Stuart Appleby,65,21.11,19,90
167,168,168,Michael Putnam,67,21.05,12,57
168,169,169,Geoff Ogilvy,69,20.97,13,62
169,170,170,Stewart Cink,72,20.75,11,53
170,171,171,Alex Cejka,59,20.45,9,44
171,172,172,D.J. Trahan,91,20.29,14,69
172,173,173,Justin Hicks,60,19.64,11,56
