,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,Ben Crane,76,100.0,44,44
1,T1,T1,Padraig Harrington,60,100.0,54,54
2,3,3,Nathan Green,81,98.31,58,59
3,4,4,Robert Allenby,84,98.04,50,51
4,5,5,Ángel Cabrera,50,96.97,32,33
5,6,6,Ryan Palmer,82,96.43,81,84
6,7,7,Zach Johnson,79,96.36,53,55
7,8,8,Charles Howell III,108,96.05,73,76
8,9,9,Bryce Molder,82,95.71,67,70
9,10,10,Brian Gay,90,95.38,62,65
10,11,11,Aaron Baddeley,77,94.74,54,57
11,T12,T12,Anthony Kim,72,94.55,52,55
12,T12,T12,Chez Reavie,92,94.55,52,55
13,14,14,Robert Karlsson,61,94.34,50,53
14,15,15,Kevin Kisner,70,94.23,49,52
15,16,16,Ernie Els,71,94.12,48,51
16,17,17,Garrett Willis,71,93.85,61,65
17,T18,T18,Stephen Ames,69,93.75,45,48
18,T18,T18,Derek Lamely,65,93.75,45,48
19,20,20,Stuart Appleby,65,93.62,44,47
20,21,21,Luke Donald,73,93.55,29,31
21,22,22,Josh Teater,104,93.51,72,77
22,23,23,Jason Bohn,74,93.33,56,60
23,24,24,J.J. Henry,96,93.24,69,74
24,25,25,Ben Martin,74,92.98,53,57
25,T26,T26,Rickie Fowler,84,92.86,52,56
26,T26,T26,Kevin Na,84,92.86,65,70
27,28,28,Vaughn Taylor,89,92.77,77,83
28,29,29,Justin Leonard,82,92.75,64,69
29,30,30,Charlie Wi,83,92.73,51,55
30,31,31,Steve Elkington,50,92.68,38,41
31,32,32,Hunter Haas,96,92.65,63,68
32,33,33,Gary Woodland,93,92.59,50,54
33,T34,T34,Shaun Micheel,77,92.54,62,67
34,T34,T34,Kyle Stanley,98,92.54,62,67
35,T36,T36,Chris Couch,73,92.45,49,53
36,T36,T36,Jerry Kelly,85,92.45,49,53
37,38,38,Troy Merritt,63,92.31,48,52
38,39,39,Y.E. Yang,63,92.11,35,38
39,40,40,Chris DiMarco,93,91.76,78,85
40,T41,T41,Bill Haas,93,91.67,44,48
41,T41,T41,Richard Johnson,64,91.67,33,36
42,43,43,K.J. Choi,77,91.53,54,59
43,44,44,Bobby Gates,82,91.49,43,47
44,T45,T45,Greg Chalmers,88,91.3,63,69
45,T45,T45,Ryuji Imada,83,91.3,63,69
46,T45,T45,Chris Stroud,88,91.3,63,69
47,T45,T45,Daniel Summerhays,75,91.3,63,69
48,49,49,Ryan Moore,79,91.23,52,57
49,T50,T50,Sergio Garcia,61,91.18,31,34
50,T50,T50,Adam Scott,60,91.18,31,34
51,52,52,Sung Kang,63,91.07,51,56
52,T53,T53,Jhonattan Vegas,84,91.04,61,67
53,T53,T53,Johnson Wagner,81,91.04,61,67
54,T55,T55,Jonathan Byrd,83,90.91,50,55
55,T55,T55,J.B. Holmes,57,90.91,40,44
56,T55,T55,Alexandre Rocha,65,90.91,40,44
57,58,58,Scott Piercy,78,90.74,49,54
58,59,59,Steve Stricker,70,90.7,39,43
59,60,60,D.A. Points,89,90.67,68,75
60,T61,T61,Nate Smith,66,90.57,48,53
61,T61,T61,Dean Wilson,62,90.57,48,53
62,T63,T63,Jason Day,76,90.48,38,42
