,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Brian Gay,90,63.4,97,153,49.0
1,2,2,Greg Chalmers,88,61.68,103,167,45.0
2,3,3,Paul Stankowski,78,61.17,63,103,19.0
3,4,4,Jason Day,76,60.96,89,146,33.0
4,5,5,Luke Donald,73,59.09,65,110,28.0
5,6,6,Matt Kuchar,94,58.86,93,158,45.0
6,7,7,Retief Goosen,50,58.75,47,80,19.0
7,8,8,Chris Riley,76,58.18,64,110,30.0
8,9,9,Justin Rose,79,58.16,82,141,28.0
9,10,10,Woody Austin,59,58.11,43,74,21.0
10,11,11,Rod Pampling,72,57.63,68,118,20.0
11,12,12,Bryce Molder,82,57.52,88,153,47.0
12,13,13,Tom Gillis,55,57.14,52,91,10.0
13,14,14,D.J. Brigman,67,56.38,53,94,33.0
14,15,15,Shaun Micheel,77,56.3,67,119,37.0
15,16,16,Hunter Haas,96,56.21,86,153,36.0
16,17,17,Jerry Kelly,85,55.97,75,134,43.0
17,18,18,David Toms,78,55.93,66,118,30.0
18,19,19,Adam Scott,60,55.66,59,106,24.0
19,20,20,K.J. Choi,77,55.65,69,124,32.0
20,21,21,Michael Putnam,67,55.36,62,112,28.0
21,22,22,Kevin Na,84,55.35,88,159,43.0
22,23,23,Mark Wilson,89,55.19,85,154,45.0
23,T24,T24,Brandt Jobe,100,55.17,80,145,39.0
24,T24,T24,Ian Poulter,52,55.17,48,87,22.0
25,T26,T26,Zach Johnson,79,54.61,77,141,42.0
26,T26,T26,Vijay Singh,79,54.61,77,141,48.0
27,28,28,Anthony Kim,72,54.4,68,125,51.0
28,29,29,Aaron Baddeley,77,54.38,87,160,56.0
29,30,30,Charles Howell III,108,54.19,84,155,36.0
30,31,31,Jason Dufner,78,54.07,73,135,42.0
31,32,32,Robert Karlsson,61,54.05,60,111,35.0
32,33,33,Kevin Chappell,78,53.96,75,139,30.0
33,34,34,Arjun Atwal,91,53.7,87,162,65.0
34,35,35,David Hearn,88,53.68,51,95,29.0
35,36,36,Ben Curtis,66,53.61,52,97,39.0
36,37,37,Jim Furyk,87,53.45,62,116,36.0
37,38,38,Chris Kirk,87,53.42,86,161,46.0
38,39,39,Stuart Appleby,65,53.21,58,109,46.0
39,40,40,Nate Smith,66,53.06,52,98,39.0
40,41,41,Charlie Wi,83,53.01,88,166,51.0
41,T42,T42,Trevor Immelman,84,52.99,62,117,43.0
42,T42,T42,Justin Leonard,82,52.99,62,117,33.0
43,44,44,Rory Sabbatini,85,52.98,80,151,47.0
44,45,45,Joe Ogilvie,75,52.94,54,102,34.0
45,46,46,Freddie Jacobson,92,52.73,87,165,54.0
46,47,47,Stewart Cink,72,52.63,60,114,45.0
47,48,48,Y.E. Yang,63,52.38,55,105,36.0
48,49,49,Bo Van Pelt,92,52.32,79,151,29.0
49,50,50,Geoff Ogilvy,69,52.29,57,109,40.0
50,T51,T51,Sergio Garcia,61,52.17,60,115,23.0
51,T51,T51,Phil Mickelson,79,52.17,72,138,39.0
52,53,53,Steve Stricker,70,52.07,63,121,41.0
53,54,54,Brendan Steele,89,52.05,76,146,48.0
54,T55,T55,Steve Flesch,88,52.03,77,148,54.0
55,T55,T55,William McGirt,103,52.03,77,148,40.0
56,57,57,Webb Simpson,98,52.0,78,150,33.0
57,58,58,Pat Perez,76,51.88,69,133,38.0
58,59,59,Roland Thatcher,67,51.82,57,110,33.0
59,60,60,Dean Wilson,62,51.81,43,83,30.0
60,61,61,Zack Miller,86,51.7,76,147,44.0
61,62,62,Bill Lunde,92,51.69,61,118,37.0
62,63,63,Robert Allenby,84,51.66,78,151,39.0
63,64,64,Brian Davis,105,51.65,94,182,57.0
64,65,65,Marc Leishman,87,51.59,81,157,44.0
65,66,66,Hunter Mahan,92,51.43,90,175,42.0
66,67,67,Alex Cejka,59,51.33,58,113,43.0
67,68,68,Graeme McDowell,50,51.28,40,78,35.0
68,69,69,Ryan Palmer,82,51.18,65,127,31.0
69,70,70,D.J. Trahan,91,50.75,68,134,39.0
70,71,71,Padraig Harrington,60,50.59,43,85,35.0
71,72,72,David Mathis,83,50.39,64,127,49.0
72,T73,T73,Chris DiMarco,93,50.38,67,133,50.0
73,T73,T73,Carl Pettersson,95,50.38,67,133,48.0
74,75,75,Billy Mayfair,94,50.36,70,139,34.0
75,76,76,Jonathan Byrd,83,50.35,71,141,51.0
76,T77,T77,Jason Bohn,74,50.0,49,98,28.0
77,T77,T77,Billy Horschel,75,50.0,53,106,34.0
78,T77,T77,Bio Kim,71,50.0,56,112,38.0
79,T77,T77,D.A. Points,89,50.0,83,166,51.0
80,T77,T77,Jimmy Walker,79,50.0,80,160,53.0
81,T82,T82,Jarrod Lyle,83,49.66,72,145,47.0
82,T82,T82,Brandt Snedeker,85,49.66,74,149,48.0
83,84,84,Matt Jones,71,49.64,69,139,43.0
84,85,85,Nick O'Hern,89,49.62,65,131,49.0
85,86,86,Michael Thompson,79,49.48,48,97,36.0
86,87,87,Lee Janzen,62,49.38,40,81,36.0
87,88,88,Ryuji Imada,83,49.32,73,148,55.0
88,89,89,Nathan Green,81,49.29,69,140,49.0
89,90,90,Chris Stroud,88,49.17,59,120,40.0
90,91,91,J.P. Hayes,56,48.94,46,94,38.0
91,92,92,Shane Bertsch,62,48.89,44,90,26.0
92,93,93,Brendon de Jonge,105,48.73,77,158,54.0
93,94,94,Cameron Beckman,71,48.54,50,103,37.0
94,95,95,Steve Elkington,50,48.19,40,83,31.0
95,96,96,Nick Watney,80,48.12,64,133,28.0
96,97,97,Kevin Streelman,90,48.06,62,129,48.0
97,98,98,Stephen Ames,69,48.04,49,102,44.0
98,99,99,Sean O'Hair,71,48.0,48,100,39.0
99,100,100,Charl Schwartzel,58,47.92,46,96,30.0
100,101,101,Marc Turnesa,54,47.76,32,67,26.0
101,102,102,Sung Kang,63,47.5,38,80,31.0
102,103,103,Scott Gutschewski,67,47.41,55,116,51.0
103,104,104,Tim Petrovic,88,47.37,72,152,71.0
104,105,105,Ben Crane,76,47.27,52,110,43.0
105,106,106,Tommy Gainey,104,47.2,76,161,58.0
106,107,107,Lucas Glover,74,47.1,65,138,58.0
107,108,108,Andres Romero,77,47.06,72,153,49.0
108,109,109,Chris Couch,73,47.01,63,134,49.0
109,110,110,Joe Durant,71,46.88,45,96,43.0
110,111,111,Steven Bowditch,86,46.79,73,156,62.0
111,112,112,Daniel Summerhays,75,46.67,63,135,58.0
112,113,113,Tim Herron,85,46.56,61,131,44.0
113,114,114,Ryan Moore,79,46.4,58,125,40.0
114,T115,T115,Matt Bettencourt,84,46.2,73,158,72.0
115,T115,T115,Josh Teater,104,46.2,73,158,47.0
116,117,117,Blake Adams,116,45.92,90,196,75.0
117,118,118,Camilo Villegas,69,45.71,64,140,59.0
118,T119,T119,Spencer Levin,113,45.45,75,165,55.0
119,T119,T119,Matt McQuillan,59,45.45,40,88,47.0
120,T121,T121,George McNeill,69,45.36,44,97,38.0
121,T121,T121,Heath Slocum,89,45.36,44,97,34.0
122,123,123,Tag Ridings,87,45.28,48,106,39.0
123,T124,T124,Briny Baird,60,45.07,32,71,30.0
124,T124,T124,Rickie Fowler,84,45.07,64,142,56.0
125,126,126,John Rollins,85,44.63,54,121,33.0
126,T127,T127,Ricky Barnes,78,44.44,56,126,40.0
127,T127,T127,Martin Piller,63,44.44,48,108,43.0
128,T127,T127,Aron Price,58,44.44,28,63,26.0
129,130,130,Derek Lamely,65,44.32,39,88,30.0
130,131,131,Troy Merritt,63,44.3,35,79,35.0
131,132,132,Jim Renner,65,44.29,31,70,20.0
132,133,133,Jeff Overton,92,44.24,73,165,63.0
133,134,134,Johnson Wagner,81,44.19,57,129,61.0
134,135,135,Martin Laird,77,44.17,53,120,47.0
135,136,136,Kris Blanks,92,44.06,63,143,47.0
136,137,137,Boo Weekley,66,44.0,33,75,31.0
137,138,138,Bill Haas,93,43.86,75,171,54.0
138,139,139,Chez Reavie,92,43.71,66,151,66.0
139,140,140,Fabián Gómez,84,43.7,59,135,53.0
140,141,141,J.B. Holmes,57,43.33,39,90,28.0
141,142,142,Cameron Tringale,110,43.26,77,178,68.0
142,143,143,Charley Hoffman,93,43.21,70,162,52.0
143,144,144,Scott McCarron,65,42.99,46,107,52.0
