,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Jim Furyk,87,"5' 0""",6.412000000000001,106,76
1,2,2,Brandt Snedeker,85,"5' 1""",7.2410000000000005,119,22
2,3,3,Alex Cejka,59,"5' 6""",4.974,75,111
3,T4,T4,Brian Gay,90,"5' 7""",8.155,122,7
4,T4,T4,Andres Gonzales,60,"5' 7""",6.547999999999999,98,169
5,6,6,Freddie Jacobson,92,"5' 8""",8.896,130,34
6,T7,T7,Aaron Baddeley,77,"5' 9""",6.372999999999999,92,55
7,T7,T7,Steve Marino,76,"5' 9""",7.817,113,97
8,T7,T7,Chris Riley,76,"5' 9""",9.707,140,20
9,T10,T10,Chad Campbell,99,"5' 10""",9.731,140,102
10,T10,T10,Michael Connell,76,"5' 10""",11.421,164,30
11,T10,T10,James Driscoll,71,"5' 10""",10.431,149,112
12,T10,T10,Justin Leonard,82,"5' 10""",10.507,151,18
13,T14,T14,Brendon de Jonge,105,"5' 11""",12.390999999999998,175,42
14,T14,T14,Harrison Frazar,58,"5' 11""",5.77,81,157
15,T14,T14,Jim Herman,69,"5' 11""",8.797,124,118
16,T14,T14,Kevin Na,84,"5' 11""",9.494,133,9
17,T14,T14,Steve Stricker,70,"5' 11""",5.888,83,2
18,T19,T19,Stephen Ames,69,"6' 0""",8.607000000000001,120,35
19,T19,T19,Jason Bohn,74,"6' 0""",8.75,122,83
20,T19,T19,Jason Day,76,"6' 0""",7.515,105,3
21,T19,T19,Kevin Kisner,70,"6' 0""",9.777999999999999,136,142
22,T19,T19,Phil Mickelson,79,"6' 0""",5.496,76,17
23,T19,T19,Nick O'Hern,89,"6' 0""",11.552999999999999,161,58
