,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Retief Goosen,50,80.0,4.0,5
1,2,2,Martin Piller,63,75.0,6.0,8
2,3,3,Steve Elkington,50,71.43,5.0,7
3,T4,T4,Stephen Ames,69,66.67,2.0,3
4,T4,T4,Ian Poulter,52,66.67,2.0,3
5,T6,T6,J.P. Hayes,56,62.5,5.0,8
6,T6,T6,Jim Renner,65,62.5,5.0,8
7,8,8,Chris DiMarco,93,58.33,7.0,12
8,9,9,Nate Smith,66,57.14,4.0,7
9,10,10,David Hearn,88,55.56,5.0,9
10,11,11,Justin Leonard,82,53.85,7.0,13
11,12,12,Billy Horschel,75,52.94,9.0,17
12,T13,T13,Kevin Chappell,78,50.0,7.0,14
13,T13,T13,K.J. Choi,77,50.0,4.0,8
14,T13,T13,Luke Donald,73,50.0,4.0,8
15,T13,T13,David Duval,67,50.0,4.0,8
16,T13,T13,Ernie Els,71,50.0,7.0,14
17,T13,T13,Bill Haas,93,50.0,6.0,12
18,T13,T13,Richard Johnson,64,50.0,6.0,12
19,T13,T13,Bio Kim,71,50.0,5.0,10
20,T13,T13,Scott McCarron,65,50.0,4.0,8
21,T13,T13,Joe Ogilvie,75,50.0,4.0,8
22,T13,T13,John Rollins,85,50.0,5.0,10
23,T13,T13,Heath Slocum,89,50.0,4.0,8
24,T13,T13,Paul Stankowski,78,50.0,3.0,6
25,T13,T13,Chris Stroud,88,50.0,6.0,12
26,T13,T13,Bo Van Pelt,92,50.0,5.0,10
27,T13,T13,Bubba Watson,85,50.0,3.0,6
28,T13,T13,Mark Wilson,89,50.0,8.0,16
29,30,30,Roland Thatcher,67,47.37,9.0,19
30,T31,T31,Stuart Appleby,65,46.67,7.0,15
31,T31,T31,Aaron Baddeley,77,46.67,7.0,15
