,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Rod Pampling,72,0.636,66,42.0
1,2,2,Y.E. Yang,63,0.643,42,27.0
2,3,3,Charles Howell III,108,0.653,101,66.0
3,T4,T4,K.J. Choi,77,0.6920000000000001,65,45.0
4,T4,T4,Nick O'Hern,89,0.6920000000000001,78,54.0
5,6,6,Camilo Villegas,69,0.716,74,53.0
6,7,7,Freddie Jacobson,92,0.72,82,59.0
7,8,8,Martin Laird,77,0.7240000000000001,58,42.0
8,9,9,Luke Donald,73,0.727,55,40.0
9,10,10,Jerry Kelly,85,0.733,60,44.0
10,11,11,Zach Johnson,79,0.742,62,46.0
11,12,12,Kevin Streelman,90,0.743,70,52.0
12,13,13,J.P. Hayes,56,0.745,51,38.0
13,14,14,Charlie Wi,83,0.746,118,88.0
14,T15,T15,John Merrick,71,0.75,56,42.0
15,T15,T15,Webb Simpson,98,0.75,72,54.0
16,T15,T15,Steve Stricker,70,0.75,44,33.0
17,18,18,Trevor Immelman,84,0.7559999999999999,86,65.0
18,T19,T19,Jonathan Byrd,83,0.759,87,66.0
19,T19,T19,Ryan Moore,79,0.759,58,44.0
20,21,21,Shaun Micheel,77,0.7609999999999999,92,70.0
21,22,22,Bo Van Pelt,92,0.765,68,52.0
22,23,23,Kent Jones,76,0.767,90,69.0
23,24,24,Keegan Bradley,91,0.768,95,73.0
24,25,25,Brendon de Jonge,105,0.77,87,67.0
25,26,26,Jason Dufner,78,0.7709999999999999,48,37.0
26,27,27,Spencer Levin,113,0.774,84,65.0
27,T28,T28,Harrison Frazar,58,0.7759999999999999,49,38.0
28,T28,T28,Jim Furyk,87,0.7759999999999999,76,59.0
29,30,30,Michael Connell,76,0.778,90,70.0
30,31,31,Chad Campbell,99,0.779,86,67.0
31,32,32,Phil Mickelson,79,0.78,59,46.0
32,T33,T33,Ben Curtis,66,0.7829999999999999,60,47.0
33,T33,T33,Padraig Harrington,60,0.7829999999999999,69,54.0
34,35,35,Paul Goydos,81,0.784,88,69.0
35,T36,T36,Anthony Kim,72,0.7859999999999999,98,77.0
36,T36,T36,Carl Pettersson,95,0.7859999999999999,98,77.0
37,T36,T36,Mark Wilson,89,0.7859999999999999,70,55.0
38,39,39,Bryce Molder,82,0.789,76,60.0
39,40,40,Adam Scott,60,0.792,48,38.0
40,41,41,Jason Day,76,0.795,83,66.0
41,42,42,Steve Marino,76,0.8,60,48.0
42,43,43,Greg Chalmers,88,0.802,96,77.0
43,44,44,Gary Woodland,93,0.8029999999999999,66,53.0
44,45,45,Blake Adams,116,0.804,112,90.0
45,T46,T46,Justin Leonard,82,0.807,109,88.0
46,T46,T46,Justin Rose,79,0.807,57,46.0
47,48,48,Chris Couch,73,0.8079999999999999,52,42.0
48,49,49,Scott Stallings,84,0.81,79,64.0
49,50,50,David Toms,78,0.8109999999999999,53,43.0
50,51,51,Scott McCarron,65,0.812,69,56.0
51,T52,T52,J.J. Henry,96,0.8140000000000001,97,79.0
52,T52,T52,Rory Sabbatini,85,0.8140000000000001,70,57.0
53,T52,T52,Charl Schwartzel,58,0.8140000000000001,43,35.0
54,55,55,Matt Kuchar,94,0.816,49,40.0
55,56,56,Ricky Barnes,78,0.821,67,55.0
56,57,57,Steve Elkington,50,0.8220000000000001,45,37.0
57,58,58,Brian Davis,105,0.823,79,65.0
58,59,59,Richard Johnson,64,0.8240000000000001,74,61.0
59,T60,T60,Stephen Ames,69,0.825,63,52.0
60,T60,T60,Hunter Mahan,92,0.825,80,66.0
61,62,62,Johnson Wagner,81,0.826,69,57.0
62,63,63,Shane Bertsch,62,0.8290000000000001,70,58.0
63,T64,T64,Ben Crane,76,0.831,59,49.0
64,T64,T64,Chris Riley,76,0.831,77,64.0
65,T64,T64,Brandt Snedeker,85,0.831,65,54.0
66,67,67,Ernie Els,71,0.836,61,51.0
67,68,68,Brian Gay,90,0.8370000000000001,86,72.0
68,69,69,Kris Blanks,92,0.838,68,57.0
69,70,70,John Rollins,85,0.841,69,58.0
70,71,71,Michael Thompson,79,0.8440000000000001,90,76.0
71,72,72,Lucas Glover,74,0.852,61,52.0
72,73,73,David Hearn,88,0.853,75,64.0
73,T74,T74,Rickie Fowler,84,0.855,69,59.0
74,T74,T74,Aron Price,58,0.855,62,53.0
75,T74,T74,Nick Watney,80,0.855,55,47.0
76,T77,T77,Jim Herman,69,0.857,63,54.0
77,T77,T77,Sung Kang,63,0.857,70,60.0
78,T77,T77,Robert Karlsson,61,0.857,49,42.0
79,T77,T77,Chris Stroud,88,0.857,91,78.0
80,81,81,Garrett Willis,71,0.8590000000000001,71,61.0
81,T82,T82,Robert Garrigus,83,0.861,72,62.0
82,T82,T82,Jimmy Walker,79,0.861,101,87.0
83,T84,T84,Aaron Baddeley,77,0.862,65,56.0
84,T84,T84,Brendan Steele,89,0.862,87,75.0
85,86,86,John Senden,94,0.863,73,63.0
86,87,87,Tim Herron,85,0.867,98,85.0
87,88,88,Chez Reavie,92,0.868,68,59.0
88,89,89,James Driscoll,71,0.8690000000000001,84,73.0
89,90,90,Cameron Tringale,110,0.87,123,107.0
90,91,91,Matt McQuillan,59,0.871,70,61.0
91,92,92,Colt Knost,80,0.8740000000000001,95,83.0
92,T93,T93,Billy Horschel,75,0.875,72,63.0
93,T93,T93,Nate Smith,66,0.875,88,77.0
94,95,95,Tim Petrovic,88,0.8759999999999999,105,92.0
95,96,96,Joe Ogilvie,75,0.878,82,72.0
96,97,97,Kevin Na,84,0.879,91,80.0
97,98,98,Josh Teater,104,0.88,100,88.0
98,99,99,Vijay Singh,79,0.884,69,61.0
99,T100,T100,J.B. Holmes,57,0.8859999999999999,44,39.0
100,T100,T100,Bubba Watson,85,0.8859999999999999,44,39.0
101,102,102,Brandt Jobe,100,0.889,81,72.0
102,T103,T103,Chris DiMarco,93,0.892,102,91.0
103,T103,T103,Sean O'Hair,71,0.892,83,74.0
104,105,105,Ryan Palmer,82,0.897,78,70.0
105,106,106,Matt Jones,71,0.899,79,71.0
106,T107,T107,Retief Goosen,50,0.9,50,45.0
107,T107,T107,Bill Haas,93,0.9,50,45.0
108,T107,T107,Davis Love III,70,0.9,40,36.0
109,T107,T107,Billy Mayfair,94,0.9,60,54.0
110,T111,T111,Robert Allenby,84,0.904,52,47.0
