,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Bio Kim,71,"9' 8""",610.4169999999999,63,142
1,2,2,Stephen Ames,69,"9' 10""",294.75,30,35
2,T3,T3,Brian Gay,90,"10' 0""",399.083,40,7
3,T3,T3,Vijay Singh,79,"10' 0""",471.25,47,105
4,T3,T3,Bubba Watson,85,"10' 0""",501.583,50,184
5,T6,T6,Jim Furyk,87,"10' 1""",485.75,48,76
6,T6,T6,Gary Woodland,93,"10' 1""",595.4169999999999,59,86
7,T8,T8,Jonathan Byrd,83,"10' 2""",629.6669999999999,62,106
8,T8,T8,Kevin Kisner,70,"10' 2""",517.8330000000001,51,142
9,T10,T10,Jason Day,76,"10' 4""",663.9169999999999,64,3
10,T10,T10,Phil Mickelson,79,"10' 4""",507.75,49,17
11,T10,T10,Bryce Molder,82,"10' 4""",504.833,49,15
12,T10,T10,Carl Pettersson,95,"10' 4""",714.4169999999999,69,72
13,14,14,Matt Kuchar,94,"10' 5""",427.333,41,13
14,T15,T15,Padraig Harrington,60,"10' 6""",482.833,46,49
15,T15,T15,Chris Riley,76,"10' 6""",525.25,50,20
16,17,17,Briny Baird,60,"10' 7""",402.0,38,46
17,18,18,D.J. Brigman,67,"10' 8""",607.3330000000001,57,166
18,T19,T19,Keegan Bradley,91,"10' 9""",655.1669999999999,61,125
19,T19,T19,Charles Howell III,108,"10' 9""",878.4169999999999,82,5
20,T19,T19,Freddie Jacobson,92,"10' 9""",679.8330000000001,63,34
21,22,22,Dean Wilson,62,"10' 10""",379.333,35,19
22,T23,T23,Alex Cejka,59,"10' 11""",306.5,28,111
23,T23,T23,Luke Donald,73,"10' 11""",382.5,35,8
24,T23,T23,Ryan Moore,79,"10' 11""",534.1669999999999,49,45
25,T23,T23,Rory Sabbatini,85,"10' 11""",536.9169999999999,49,84
26,T23,T23,Vaughn Taylor,89,"10' 11""",718.1669999999999,66,72
27,T28,T28,Woody Austin,59,"11' 0""",373.333,34,5
