,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Chris Couch,73,70.8,80,113
1,2,2,Y.E. Yang,63,68.66,46,67
2,3,3,Steve Marino,76,68.6,83,121
3,4,4,Charles Howell III,108,68.0,119,175
4,5,5,Brandt Snedeker,85,67.97,87,128
5,6,6,J.P. Hayes,56,67.86,76,112
6,7,7,Greg Chalmers,88,67.6,121,179
7,8,8,Nick Watney,80,67.54,77,114
8,9,9,Aaron Baddeley,77,67.5,54,80
9,10,10,Steve Stricker,70,67.09,53,79
10,11,11,Jerry Kelly,85,66.94,81,121
11,12,12,Rod Pampling,72,66.67,74,111
12,13,13,Brian Gay,90,66.46,107,161
13,14,14,Tim Herron,85,65.64,107,163
14,15,15,James Driscoll,71,65.25,92,141
15,16,16,K.J. Choi,77,65.22,60,92
16,17,17,Scott McCarron,65,65.14,71,109
17,18,18,Mark Wilson,89,65.05,67,103
18,T19,T19,Ben Crane,76,64.93,87,134
19,T19,T19,Freddie Jacobson,92,64.93,87,134
20,21,21,Garrett Willis,71,64.75,79,122
21,22,22,Zach Johnson,79,64.71,66,102
22,23,23,Michael Connell,76,64.57,113,175
23,24,24,Luke Donald,73,64.21,61,95
24,T25,T25,Blake Adams,116,64.15,136,212
25,T25,T25,Andres Gonzales,60,64.15,68,106
26,27,27,Jim Herman,69,63.93,78,122
27,28,28,Kevin Na,84,63.76,95,149
28,29,29,Hunter Haas,96,63.29,100,158
29,T30,T30,Chad Campbell,99,63.16,84,133
30,T30,T30,Tim Petrovic,88,63.16,120,190
31,T32,T32,Scott Piercy,78,63.11,77,122
32,T32,T32,Jimmy Walker,79,63.11,77,122
33,34,34,Spencer Levin,113,62.89,100,159
34,35,35,Chris Riley,76,62.84,93,148
35,36,36,Alexandre Rocha,65,62.83,71,113
36,37,37,Nathan Green,81,62.8,103,164
37,38,38,Joe Durant,71,62.73,69,110
38,39,39,Nick O'Hern,89,62.65,104,166
39,40,40,Woody Austin,59,62.38,63,101
40,T41,T41,Briny Baird,60,62.37,58,93
41,T41,T41,Harrison Frazar,58,62.37,58,93
42,43,43,Charlie Wi,83,62.35,106,170
43,44,44,Charl Schwartzel,58,62.32,43,69
44,45,45,Dean Wilson,62,62.31,81,130
45,T46,T46,Jim Furyk,87,62.2,79,127
46,T46,T46,John Merrick,71,62.2,79,127
47,48,48,Jim Renner,65,61.98,75,121
48,T49,T49,David Mathis,83,61.74,92,149
49,T49,T49,Kevin Streelman,90,61.74,92,149
50,51,51,Jason Day,76,61.68,66,107
51,52,52,Chris Stroud,88,61.59,85,138
52,T53,T53,Ben Curtis,66,61.54,80,130
53,T53,T53,Davis Love III,70,61.54,56,91
54,T53,T53,Vaughn Taylor,89,61.54,104,169
55,56,56,Trevor Immelman,84,61.27,87,142
56,57,57,Stephen Ames,69,61.15,85,139
57,58,58,Matt Kuchar,94,61.02,72,118
58,59,59,Webb Simpson,98,60.94,78,128
59,60,60,Bill Haas,93,60.91,67,110
60,T61,T61,Chris DiMarco,93,60.76,96,158
61,T61,T61,J.J. Henry,96,60.76,96,158
62,63,63,Bo Van Pelt,92,60.71,68,112
63,T64,T64,Shane Bertsch,62,60.53,69,114
64,T64,T64,Alex Cejka,59,60.53,46,76
65,T64,T64,Matt McQuillan,59,60.53,69,114
66,67,67,Jonathan Byrd,83,60.48,75,124
67,68,68,Billy Mayfair,94,60.4,90,149
68,69,69,Brian Davis,105,60.38,96,159
69,70,70,Justin Leonard,82,60.23,103,171
70,71,71,Anthony Kim,72,60.18,68,113
71,72,72,Josh Teater,104,60.0,114,190
72,73,73,Ryan Moore,79,59.84,73,122
73,74,74,Tom Gillis,55,59.81,64,107
74,75,75,Aron Price,58,59.69,77,129
75,76,76,Brendan Steele,89,59.5,72,121
76,77,77,Arjun Atwal,91,59.39,98,165
77,78,78,Michael Thompson,79,59.35,73,123
78,79,79,Kris Blanks,92,59.33,89,150
79,T80,T80,Matt Jones,71,59.26,80,135
80,T80,T80,John Senden,94,59.26,80,135
81,82,82,Steve Elkington,50,59.22,61,103
82,83,83,Rory Sabbatini,85,58.97,69,117
83,84,84,Billy Horschel,75,58.96,79,134
84,85,85,Paul Goydos,81,58.94,89,151
85,86,86,Marc Leishman,87,58.78,87,148
86,87,87,Roland Thatcher,67,58.77,67,114
87,88,88,William McGirt,103,58.6,92,157
88,89,89,Colt Knost,80,58.54,96,164
89,90,90,John Rollins,85,58.39,87,149
90,91,91,Daniel Summerhays,75,58.33,84,144
91,92,92,David Toms,78,58.26,67,115
92,93,93,D.A. Points,89,58.22,85,146
93,94,94,Jason Bohn,74,58.2,71,122
94,95,95,Martin Laird,77,58.04,65,112
95,96,96,Ryuji Imada,83,58.02,94,162
96,97,97,David Hearn,88,58.0,87,150
97,98,98,Richard Johnson,64,57.89,77,133
98,99,99,Andres Romero,77,57.85,70,121
99,100,100,Nate Smith,66,57.78,78,135
100,101,101,Sung Kang,63,57.66,64,111
101,102,102,Chris Kirk,87,57.46,77,134
102,T103,T103,Carl Pettersson,95,57.45,108,188
103,T103,T103,Michael Putnam,67,57.45,54,94
104,105,105,Brendon de Jonge,105,57.39,101,176
105,106,106,Keegan Bradley,91,57.06,93,163
106,107,107,Joe Ogilvie,75,56.92,74,130
107,108,108,Jason Dufner,78,56.82,75,132
108,109,109,Ángel Cabrera,50,56.72,38,67
109,110,110,Johnson Wagner,81,56.69,72,127
110,111,111,Brandt Jobe,100,56.58,86,152
111,112,112,Cameron Tringale,110,56.35,111,197
112,T113,T113,Scott Gutschewski,67,56.3,67,119
113,T113,T113,Vijay Singh,79,56.3,67,119
114,115,115,Cameron Beckman,71,56.12,78,139
115,116,116,Stewart Cink,72,56.04,51,91
116,117,117,Jhonattan Vegas,84,56.0,70,125
117,118,118,Kent Jones,76,55.93,66,118
118,119,119,George McNeill,69,55.73,73,131
