,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,T1,T1,K.J. Choi,77,"2' 1""",137.667,65,27
1,T1,T1,Ernie Els,71,"2' 1""",134.083,65,182
2,3,3,Steve Stricker,70,"2' 3""",117.417,52,2
3,T4,T4,Steve Elkington,50,"2' 4""",95.417,41,43
4,T4,T4,Brian Gay,90,"2' 4""",177.0,75,7
5,T6,T6,Alex Cejka,59,"2' 5""",119.75,50,111
6,T6,T6,Richard Johnson,64,"2' 5""",102.583,43,155
7,T8,T8,Stephen Ames,69,"2' 6""",131.083,53,35
8,T8,T8,Stuart Appleby,65,"2' 6""",159.917,63,128
9,T8,T8,Aaron Baddeley,77,"2' 6""",163.167,66,55
10,T8,T8,Tim Petrovic,88,"2' 6""",199.75,79,38
11,T12,T12,Chris Couch,73,"2' 7""",177.917,68,27
12,T12,T12,Luke Donald,73,"2' 7""",94.167,37,8
13,T12,T12,Nathan Green,81,"2' 7""",180.917,70,26
14,T12,T12,Ryan Moore,79,"2' 7""",188.5,72,45
15,T12,T12,Joe Ogilvie,75,"2' 7""",169.833,65,109
16,T12,T12,Ryan Palmer,82,"2' 7""",225.25,88,47
17,T12,T12,Chez Reavie,92,"2' 7""",205.75,80,140
18,T12,T12,Dean Wilson,62,"2' 7""",159.0,62,19
19,T20,T20,Steve Flesch,88,"2' 8""",202.833,76,108
20,T20,T20,Chris Riley,76,"2' 8""",189.167,71,20
21,T20,T20,Kevin Stadler,88,"2' 8""",210.0,80,174
22,T20,T20,Y.E. Yang,63,"2' 8""",98.667,37,23
23,T24,T24,Stewart Cink,72,"2' 9""",174.583,63,107
24,T24,T24,Jason Day,76,"2' 9""",159.5,58,3
25,T24,T24,Padraig Harrington,60,"2' 9""",140.917,52,49
26,T24,T24,Derek Lamely,65,"2' 9""",154.0,56,183
27,T24,T24,Justin Leonard,82,"2' 9""",216.667,79,18
28,T24,T24,D.J. Trahan,91,"2' 9""",232.083,85,82
29,T30,T30,Robert Allenby,84,"2' 10""",172.417,61,66
30,T30,T30,James Driscoll,71,"2' 10""",171.333,61,112
31,T30,T30,Sergio Garcia,61,"2' 10""",125.25,44,44
32,T30,T30,Jerry Kelly,85,"2' 10""",178.833,64,14
33,T30,T30,Davis Love III,70,"2' 10""",156.333,56,161
34,T30,T30,Hunter Mahan,92,"2' 10""",174.75,61,92
35,T30,T30,Josh Teater,104,"2' 10""",257.75,91,152
36,T30,T30,Nick Watney,80,"2' 10""",207.0,73,12
37,T30,T30,Mark Wilson,89,"2' 10""",188.667,66,11
38,T39,T39,Joseph Bramlett,73,"2' 11""",183.083,62,119
39,T39,T39,Greg Chalmers,88,"2' 11""",231.833,79,1
40,T39,T39,Charley Hoffman,93,"2' 11""",204.083,70,163
41,T39,T39,Ryuji Imada,83,"2' 11""",248.083,85,65
42,T39,T39,Zach Johnson,79,"2' 11""",193.75,67,4
43,T39,T39,Troy Matteson,91,"2' 11""",279.16700000000003,96,132
44,T39,T39,Troy Merritt,63,"2' 11""",157.083,54,121
45,T39,T39,Nick O'Hern,89,"2' 11""",217.167,75,58
46,T39,T39,Geoff Ogilvy,69,"2' 11""",159.667,55,52
47,T39,T39,Alex Prugh,82,"2' 11""",216.417,75,186
48,T39,T39,Kyle Stanley,98,"2' 11""",253.0,87,156
49,T39,T39,Brendan Steele,89,"2' 11""",254.5,87,149
50,T39,T39,Chris Stroud,88,"2' 11""",213.917,74,103
51,T39,T39,Daniel Summerhays,75,"2' 11""",228.667,79,138
52,T39,T39,Michael Thompson,79,"2' 11""",252.417,87,32
53,T39,T39,David Toms,78,"2' 11""",131.5,45,25
54,T39,T39,Camilo Villegas,69,"2' 11""",181.333,63,127
55,T39,T39,Johnson Wagner,81,"2' 11""",214.75,74,96
56,T57,T57,Jonathan Byrd,83,"3' 0""",202.333,68,106
57,T57,T57,Kevin Chappell,78,"3' 0""",233.417,78,72
58,T57,T57,Ben Crane,76,"3' 0""",149.833,50,23
59,T57,T57,Ben Curtis,66,"3' 0""",149.083,50,21
60,T57,T57,Chris DiMarco,93,"3' 0""",257.41700000000003,87,39
61,T57,T57,J.J. Henry,96,"3' 0""",252.333,83,126
62,T57,T57,Dustin Johnson,72,"3' 0""",173.833,58,181
63,T57,T57,Chris Kirk,87,"3' 0""",245.333,82,99
64,T57,T57,Kevin Kisner,70,"3' 0""",181.083,61,142
65,T57,T57,Bryce Molder,82,"3' 0""",217.917,73,15
66,T57,T57,Kevin Na,84,"3' 0""",246.5,83,9
