,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Kevin Na,84,0.593,40.294000000000004,68
1,2,2,Chris Riley,76,0.59,40.088,68
2,3,3,Bio Kim,71,0.515,29.886,58
3,4,4,Aaron Baddeley,77,0.43799999999999994,27.151999999999997,62
4,5,5,Brian Gay,90,0.425,31.429000000000002,74
5,6,6,Alex Cejka,59,0.413,19.401,47
6,7,7,Nick O'Hern,89,0.37799999999999995,28.734,76
7,8,8,Steve Stricker,70,0.364,19.305999999999997,53
8,9,9,Charles Howell III,108,0.358,32.618,91
9,10,10,Rod Pampling,72,0.353,21.183000000000003,60
10,11,11,Bryce Molder,82,0.34600000000000003,24.569000000000003,71
11,12,12,Justin Leonard,82,0.33799999999999997,25.023000000000003,74
12,13,13,Ryuji Imada,83,0.337,25.601999999999997,76
13,14,14,Phil Mickelson,79,0.33299999999999996,19.319000000000003,58
14,15,15,K.J. Choi,77,0.29600000000000004,17.18,58
15,16,16,Billy Mayfair,94,0.292,24.813000000000002,85
16,17,17,James Driscoll,71,0.285,17.38,61
17,T18,T18,Luke Donald,73,0.273,14.215,52
18,T18,T18,Derek Lamely,65,0.273,15.86,58
19,T20,T20,Shane Bertsch,62,0.267,13.865,52
20,T20,T20,Tim Petrovic,88,0.267,20.59,77
21,22,22,Sergio Garcia,61,0.263,11.823,45
22,23,23,Matt Jones,71,0.262,16.79,64
23,24,24,Webb Simpson,98,0.261,21.695,83
24,25,25,Mark Wilson,89,0.255,17.82,70
25,26,26,Hunter Mahan,92,0.254,19.320999999999998,76
26,T27,T27,Greg Chalmers,88,0.253,19.971,79
27,T27,T27,Steve Flesch,88,0.253,19.706,78
28,29,29,Trevor Immelman,84,0.25,16.747,67
29,30,30,Rory Sabbatini,85,0.248,15.103,61
30,31,31,Shaun Micheel,77,0.245,15.944,65
31,32,32,Justin Rose,79,0.243,15.332,63
32,33,33,Charlie Wi,83,0.239,18.368,77
33,34,34,Michael Bradley,74,0.23399999999999999,13.802999999999999,59
34,35,35,Tim Herron,85,0.221,16.985,77
35,36,36,Jerry Kelly,85,0.21100000000000002,14.345,68
36,37,37,Marc Leishman,87,0.207,16.526,80
37,38,38,Spencer Levin,113,0.20199999999999999,18.945,94
38,39,39,Paul Stankowski,78,0.19899999999999998,12.950999999999999,65
39,40,40,Scott McCarron,65,0.193,10.395999999999999,54
40,T41,T41,Jim Furyk,87,0.19,13.279000000000002,70
41,T41,T41,Padraig Harrington,60,0.19,8.565,45
42,43,43,Brandt Snedeker,85,0.18899999999999997,12.638,67
43,T44,T44,Freddie Jacobson,92,0.187,13.09,70
44,T44,T44,Robert Karlsson,61,0.187,8.415,45
45,46,46,Jason Day,76,0.16899999999999998,9.979,59
46,47,47,Jimmy Walker,79,0.168,12.789000000000001,76
47,48,48,Stewart Cink,72,0.16,8.309,52
48,49,49,Geoff Ogilvy,69,0.159,8.585,54
49,50,50,Matt Kuchar,94,0.158,11.245999999999999,71
50,T51,T51,Vijay Singh,79,0.156,11.196,72
51,T51,T51,Michael Thompson,79,0.156,10.792,69
52,53,53,Retief Goosen,50,0.154,6.1610000000000005,40
53,54,54,Blake Adams,116,0.14800000000000002,15.561,105
54,55,55,Jonathan Byrd,83,0.147,10.557,72
55,56,56,Sean O'Hair,71,0.145,8.702,60
56,57,57,Chris Kirk,87,0.142,10.901,77
57,58,58,Kyle Stanley,98,0.139,11.142000000000001,80
58,59,59,Nate Smith,66,0.136,7.194,53
59,60,60,Stuart Appleby,65,0.134,8.049,60
60,61,61,Ricky Barnes,78,0.132,8.427,64
61,62,62,Charley Hoffman,93,0.129,9.509,74
62,63,63,D.A. Points,89,0.124,9.212,74
63,64,64,Charl Schwartzel,58,0.121,4.828,40
64,65,65,Briny Baird,60,0.11199999999999999,5.5,49
65,66,66,Ernie Els,71,0.109,6.417000000000001,59
66,67,67,Bo Van Pelt,92,0.10400000000000001,7.417000000000001,71
67,68,68,Martin Laird,77,0.10300000000000001,6.3839999999999995,62
68,69,69,Ian Poulter,52,0.1,3.892,39
69,70,70,Kris Blanks,92,0.095,7.845,83
70,71,71,Ben Crane,76,0.09300000000000001,5.744,62
71,72,72,Zach Johnson,79,0.092,5.876,64
72,73,73,Nathan Green,81,0.091,6.367000000000001,70
73,74,74,Bill Haas,93,0.08,5.756,72
74,75,75,Dean Wilson,62,0.079,4.475,57
75,76,76,Hunter Haas,96,0.07400000000000001,6.291,85
76,77,77,Jason Dufner,78,0.069,4.499,65
77,78,78,Ben Curtis,66,0.06,3.696,62
78,79,79,Brendon de Jonge,105,0.057,5.221,92
79,80,80,Scott Gutschewski,67,0.055999999999999994,3.09,55
80,81,81,Chris DiMarco,93,0.053,4.365,82
81,82,82,Lee Janzen,62,0.052000000000000005,2.615,50
82,83,83,Ryan Palmer,82,0.047,2.813,60
83,84,84,Anthony Kim,72,0.043,2.4659999999999997,58
84,85,85,Chris Stroud,88,0.040999999999999995,3.2239999999999998,78
85,86,86,William McGirt,103,0.036000000000000004,3.3089999999999997,92
86,T87,T87,Robert Allenby,84,0.035,2.45,70
87,T87,T87,Gary Woodland,93,0.035,2.439,70
88,89,89,Joe Ogilvie,75,0.034,2.045,61
89,90,90,Matt McQuillan,59,0.031,1.489,48
90,91,91,Rocco Mediate,53,0.03,1.4340000000000002,48
91,92,92,Vaughn Taylor,89,0.027999999999999997,2.292,83
92,93,93,Carl Pettersson,95,0.025,2.25,90
93,94,94,Jarrod Lyle,83,0.024,1.702,72
94,95,95,Michael Connell,76,0.023,1.675,72
95,96,96,Cameron Tringale,110,0.022000000000000002,2.105,97
96,97,97,Dustin Johnson,72,0.019,1.002,54
97,98,98,Nick Watney,80,0.018000000000000002,1.088,62
98,99,99,D.J. Trahan,91,0.015,1.2209999999999999,83
99,100,100,Joseph Bramlett,73,0.013000000000000001,0.8059999999999999,61
100,T101,T101,Arjun Atwal,91,0.011000000000000001,0.882,83
101,T101,T101,Woody Austin,59,0.011000000000000001,0.5710000000000001,50
102,103,103,Camilo Villegas,69,0.01,0.5870000000000001,57
103,104,104,Steve Elkington,50,0.003,0.111,42
104,105,105,John Rollins,85,0.002,0.11,72
105,T106,T106,Pat Perez,76,0.001,0.086,70
106,T106,T106,David Toms,78,0.001,0.028999999999999998,59
107,108,108,Tom Gillis,55,-0.001,-0.052000000000000005,50
108,109,109,Zack Miller,86,-0.012,-0.935,75
109,T110,T110,Rickie Fowler,84,-0.013000000000000001,-0.8390000000000001,66
110,T110,T110,Adam Scott,60,-0.013000000000000001,-0.58,45
111,112,112,David Mathis,83,-0.032,-2.251,70
112,113,113,Kevin Chappell,78,-0.036000000000000004,-2.182,61
113,114,114,Colt Knost,80,-0.037000000000000005,-2.471,67
114,115,115,Y.E. Yang,63,-0.038,-1.605,42
115,116,116,Troy Merritt,63,-0.049,-2.7680000000000002,57
116,117,117,Cameron Beckman,71,-0.057,-3.6639999999999997,64
117,118,118,Davis Love III,70,-0.065,-3.405,52
118,119,119,Josh Teater,104,-0.068,-6.2379999999999995,92
119,120,120,Ryan Moore,79,-0.071,-4.279,60
120,121,121,Steve Marino,76,-0.07200000000000001,-4.458,62
121,122,122,Heath Slocum,89,-0.07400000000000001,-5.474,74
122,123,123,Brian Davis,105,-0.079,-7.263999999999999,92
123,T124,T124,Keegan Bradley,91,-0.081,-6.256,77
124,T124,T124,John Merrick,71,-0.081,-4.848,60
125,126,126,D.J. Brigman,67,-0.083,-4.5760000000000005,55
126,127,127,J.J. Henry,96,-0.086,-6.779,79
127,T128,T128,Jim Herman,69,-0.09,-5.147,57
128,T128,T128,Kevin Kisner,70,-0.09,-5.141,57
129,T128,T128,Andres Romero,77,-0.09,-6.087000000000001,68
130,131,131,Aron Price,58,-0.091,-4.434,49
131,132,132,J.P. Hayes,56,-0.111,-5.336,48
132,133,133,Harrison Frazar,58,-0.114,-4.8,42
133,134,134,Lucas Glover,74,-0.11599999999999999,-7.093999999999999,61
134,135,135,Jhonattan Vegas,84,-0.11699999999999999,-8.2,70
135,136,136,Bill Lunde,92,-0.126,-9.712,77
136,137,137,Brandt Jobe,100,-0.129,-10.417,81
137,138,138,Daniel Summerhays,75,-0.134,-8.876,66
138,T139,T139,Chad Campbell,99,-0.13699999999999998,-11.923,87
139,T139,T139,Andres Gonzales,60,-0.13699999999999998,-6.32,46
140,T139,T139,Richard Johnson,64,-0.13699999999999998,-7.382999999999999,54
141,T139,T139,Kent Jones,76,-0.13699999999999998,-9.21,67
142,143,143,Jason Bohn,74,-0.139,-9.293,67
143,144,144,Paul Goydos,81,-0.142,-10.495,74
144,145,145,Garrett Willis,71,-0.14400000000000002,-9.232000000000001,64
145,146,146,Fabián Gómez,84,-0.152,-10.494000000000002,69
146,T147,T147,Steven Bowditch,86,-0.153,-11.901,78
147,T147,T147,George McNeill,69,-0.153,-8.851,58
148,149,149,Kevin Streelman,90,-0.168,-11.942,71
149,150,150,Stephen Ames,69,-0.171,-10.270999999999999,60
150,151,151,Michael Putnam,67,-0.187,-9.913,53
151,152,152,Billy Horschel,75,-0.18899999999999997,-11.698,62
152,153,153,Johnson Wagner,81,-0.192,-13.470999999999998,70
153,154,154,Alexandre Rocha,65,-0.195,-9.552999999999999,49
154,155,155,J.B. Holmes,57,-0.20199999999999999,-9.472000000000001,47
155,156,156,Chris Couch,73,-0.20800000000000002,-14.167,68
156,157,157,Troy Matteson,91,-0.218,-17.697,81
157,T158,T158,David Hearn,88,-0.23399999999999999,-17.75,76
158,T158,T158,Jim Renner,65,-0.23399999999999999,-12.384,53
159,160,160,Jeff Overton,92,-0.24100000000000002,-17.579,73
160,161,161,Joe Durant,71,-0.24600000000000002,-15.775,64
161,162,162,Tag Ridings,87,-0.251,-18.593,74
162,163,163,Tommy Gainey,104,-0.254,-23.081999999999997,91
163,164,164,David Duval,67,-0.259,-15.005,58
164,165,165,Graeme McDowell,50,-0.265,-9.798,37
165,166,166,Matt Bettencourt,84,-0.26899999999999996,-20.718000000000004,77
166,167,167,Brendan Steele,89,-0.273,-21.046,77
167,168,168,Sung Kang,63,-0.27399999999999997,-13.994000000000002,51
168,169,169,Rich Beem,53,-0.28,-12.857000000000001,46
169,170,170,John Senden,94,-0.28300000000000003,-22.958000000000002,81
170,171,171,Kevin Stadler,88,-0.301,-21.986,73
171,172,172,Bubba Watson,85,-0.317,-18.68,59
172,173,173,Scott Piercy,78,-0.337,-21.215,63
173,174,174,Chez Reavie,92,-0.34600000000000003,-28.374000000000002,82
174,175,175,Boo Weekley,66,-0.35700000000000004,-20.343,57
175,176,176,Will Strickler,51,-0.38,-16.347,43
176,177,177,Bobby Gates,82,-0.396,-26.499000000000002,67
177,178,178,Marc Turnesa,54,-0.41600000000000004,-19.124000000000002,46
178,T179,T179,Robert Garrigus,83,-0.419,-28.930999999999997,69
179,T179,T179,Roland Thatcher,67,-0.419,-25.58,61
180,181,181,Ben Martin,74,-0.45299999999999996,-29.45,65
181,182,182,Alex Prugh,82,-0.47,-33.402,71
182,183,183,Justin Hicks,60,-0.47200000000000003,-20.750999999999998,44
183,184,184,Scott Stallings,84,-0.475,-32.742,69
184,185,185,Martin Piller,63,-0.623,-32.397,52
185,186,186,Ángel Cabrera,50,-0.679,-23.781,35
