,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
173,T171,T171,Marc Turnesa,54,"9' 10""",2383.25,242
174,T171,T171,Boo Weekley,66,"9' 10""",2567.0,260
175,176,176,Keegan Bradley,91,"9' 11""",4192.167,424
176,177,177,Kent Jones,76,"10' 0""",3563.083,356
177,178,178,Roland Thatcher,67,"10' 2""",3454.25,339
178,179,179,Billy Horschel,75,"10' 3""",3279.0,320
179,T180,T180,Robert Garrigus,83,"10' 4""",3718.0,360
180,T180,T180,Jhonattan Vegas,84,"10' 4""",3807.0,367
181,182,182,J.B. Holmes,57,"10' 7""",2578.917,243
182,183,183,Alex Prugh,82,"10' 10""",3898.0,359
183,T184,T184,Ángel Cabrera,50,"11' 1""",2102.333,189
184,T184,T184,Justin Hicks,60,"11' 1""",2631.417,238
185,186,186,Martin Piller,63,"11' 4""",3558.583,313
