,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
0,1,1,Ian Poulter,52,0.29,31,9.0
1,T2,T2,Jason Day,76,0.345,58,20.0
2,T2,T2,Luke Donald,73,0.345,58,20.0
3,4,4,Kevin Na,84,0.358,81,29.0
4,5,5,Greg Chalmers,88,0.365,115,42.0
5,6,6,Steve Elkington,50,0.37,54,20.0
6,7,7,Andres Gonzales,60,0.371,35,13.0
7,8,8,David Toms,78,0.375,56,21.0
8,9,9,Chris Kirk,87,0.38799999999999996,80,31.0
9,10,10,Sergio Garcia,61,0.39,41,16.0
10,T11,T11,Stephen Ames,69,0.391,69,27.0
11,T11,T11,Brian Gay,90,0.391,87,34.0
12,13,13,Charles Howell III,108,0.39299999999999996,89,35.0
13,14,14,Chris Riley,76,0.4,85,34.0
14,15,15,Jason Dufner,78,0.40299999999999997,67,27.0
15,16,16,Steve Stricker,70,0.40399999999999997,57,23.0
16,T17,T17,Alex Cejka,59,0.405,37,15.0
17,T17,T17,Justin Leonard,82,0.405,79,32.0
18,T17,T17,Mark Wilson,89,0.405,79,32.0
19,20,20,Michael Bradley,74,0.406,69,28.0
20,21,21,David Mathis,83,0.41,78,32.0
21,22,22,Bryce Molder,82,0.41200000000000003,102,42.0
22,23,23,Spencer Levin,113,0.418,91,38.0
23,24,24,Paul Stankowski,78,0.42,69,29.0
24,25,25,Sean O'Hair,71,0.429,63,27.0
25,26,26,Hunter Mahan,92,0.43,79,34.0
26,27,27,Nate Smith,66,0.43200000000000005,74,32.0
27,28,28,K.J. Choi,77,0.435,62,27.0
28,29,29,William McGirt,103,0.436,101,44.0
29,30,30,Padraig Harrington,60,0.43799999999999994,48,21.0
30,31,31,Bo Van Pelt,92,0.44,75,33.0
31,32,32,John Merrick,71,0.441,59,26.0
32,T33,T33,J.J. Henry,96,0.442,86,38.0
33,T33,T33,Marc Leishman,87,0.442,104,46.0
34,35,35,Chris Couch,73,0.44299999999999995,79,35.0
35,36,36,Joseph Bramlett,73,0.446,65,29.0
36,37,37,Charl Schwartzel,58,0.451,51,23.0
37,38,38,Cameron Tringale,110,0.45399999999999996,119,54.0
38,39,39,Zach Johnson,79,0.455,66,30.0
39,T40,T40,Chad Campbell,99,0.45799999999999996,72,33.0
40,T40,T40,Matt Kuchar,94,0.45799999999999996,96,44.0
41,T40,T40,Charlie Wi,83,0.45799999999999996,96,44.0
42,T43,T43,Woody Austin,59,0.46299999999999997,41,19.0
43,T43,T43,Robert Karlsson,61,0.46299999999999997,54,25.0
44,T45,T45,Steve Flesch,88,0.465,86,40.0
45,T45,T45,Kevin Streelman,90,0.465,86,40.0
46,T47,T47,Aaron Baddeley,77,0.467,75,35.0
47,T47,T47,George McNeill,69,0.467,60,28.0
48,T49,T49,Bill Lunde,92,0.46799999999999997,79,37.0
49,T49,T49,Troy Merritt,63,0.46799999999999997,62,29.0
50,T49,T49,Webb Simpson,98,0.46799999999999997,79,37.0
51,T52,T52,Colt Knost,80,0.469,98,46.0
52,T52,T52,Billy Mayfair,94,0.469,96,45.0
53,54,54,Tim Petrovic,88,0.47,100,47.0
54,T55,T55,Michael Connell,76,0.47100000000000003,70,33.0
55,T55,T55,David Hearn,88,0.47100000000000003,87,41.0
56,T55,T55,Jimmy Walker,79,0.47100000000000003,87,41.0
57,T58,T58,Trevor Immelman,84,0.47200000000000003,72,34.0
58,T58,T58,Freddie Jacobson,92,0.47200000000000003,89,42.0
59,60,60,Retief Goosen,50,0.475,40,19.0
60,61,61,Michael Putnam,67,0.47600000000000003,63,30.0
61,62,62,D.A. Points,89,0.48,75,36.0
62,T63,T63,Briny Baird,60,0.48100000000000004,54,26.0
63,T63,T63,Y.E. Yang,63,0.48100000000000004,52,25.0
64,65,65,Shaun Micheel,77,0.48200000000000004,83,40.0
65,T66,T66,Brian Davis,105,0.483,87,42.0
66,T66,T66,Dean Wilson,62,0.483,60,29.0
67,68,68,D.J. Brigman,67,0.484,64,31.0
68,T69,T69,Ben Curtis,66,0.485,66,32.0
69,T69,T69,Nathan Green,81,0.485,97,47.0
70,T71,T71,Robert Allenby,84,0.486,70,34.0
71,T71,T71,Stuart Appleby,65,0.486,70,34.0
72,T71,T71,Richard Johnson,64,0.486,72,35.0
73,T74,T74,Shane Bertsch,62,0.488,43,21.0
74,T74,T74,Scott McCarron,65,0.488,80,39.0
75,76,76,Nick O'Hern,89,0.489,88,43.0
76,77,77,Ryuji Imada,83,0.491,106,52.0
77,78,78,Nick Watney,80,0.49200000000000005,65,32.0
78,T79,T79,Blake Adams,116,0.493,136,67.0
79,T79,T79,Billy Horschel,75,0.493,67,33.0
80,T79,T79,Martin Laird,77,0.493,67,33.0
81,82,82,Tommy Gainey,104,0.494,87,43.0
82,T83,T83,Ángel Cabrera,50,0.5,36,18.0
83,T83,T83,Paul Goydos,81,0.5,76,38.0
84,T83,T83,Hunter Haas,96,0.5,96,48.0
85,T83,T83,Tim Herron,85,0.5,74,37.0
86,T83,T83,Anthony Kim,72,0.5,78,39.0
87,T83,T83,Jeff Overton,92,0.5,100,50.0
88,T83,T83,Rod Pampling,72,0.5,58,29.0
89,90,90,Bio Kim,71,0.506,83,42.0
90,T91,T91,Kevin Chappell,78,0.507,71,36.0
91,T91,T91,Matt McQuillan,59,0.507,71,36.0
92,T91,T91,John Rollins,85,0.507,67,34.0
93,T91,T91,Johnson Wagner,81,0.507,73,37.0
94,95,95,Brendon de Jonge,105,0.51,98,50.0
95,96,96,Kris Blanks,92,0.512,82,42.0
96,97,97,Steve Marino,76,0.514,74,38.0
97,98,98,Brandt Snedeker,85,0.516,64,33.0
98,99,99,Ryan Moore,79,0.517,58,30.0
99,100,100,Matt Bettencourt,84,0.519,108,56.0
100,101,101,Carl Pettersson,95,0.52,100,52.0
101,102,102,Ricky Barnes,78,0.522,67,35.0
102,103,103,Derek Lamely,65,0.523,65,34.0
103,104,104,Kevin Kisner,70,0.524,82,43.0
104,105,105,Ryan Palmer,82,0.525,61,32.0
105,106,106,Josh Teater,104,0.526,97,51.0
106,T107,T107,Matt Jones,71,0.527,91,48.0
107,T107,T107,Marc Turnesa,54,0.527,55,29.0
108,109,109,Charley Hoffman,93,0.528,72,38.0
109,110,110,Jim Herman,69,0.529,51,27.0
110,111,111,Justin Hicks,60,0.531,49,26.0
111,112,112,Jerry Kelly,85,0.532,79,42.0
112,T113,T113,Jonathan Byrd,83,0.537,82,44.0
113,T113,T113,Jhonattan Vegas,84,0.537,82,44.0
114,115,115,Cameron Beckman,71,0.5379999999999999,78,42.0
115,116,116,Troy Matteson,91,0.54,87,47.0
116,T117,T117,Rich Beem,53,0.541,61,33.0
117,T117,T117,Justin Rose,79,0.541,61,33.0
118,T117,T117,Kyle Stanley,98,0.541,74,40.0
119,120,120,Ben Crane,76,0.5429999999999999,70,38.0
120,121,121,Aron Price,58,0.545,44,24.0
121,T122,T122,Steven Bowditch,86,0.5489999999999999,91,50.0
122,T122,T122,Fabián Gómez,84,0.5489999999999999,91,50.0
123,T122,T122,D.J. Trahan,91,0.5489999999999999,82,45.0
124,T125,T125,Harrison Frazar,58,0.55,40,22.0
125,T125,T125,Chris Stroud,88,0.55,60,33.0
126,127,127,Ernie Els,71,0.5529999999999999,47,26.0
127,128,128,Joe Ogilvie,75,0.5539999999999999,83,46.0
128,T129,T129,Stewart Cink,72,0.556,54,30.0
129,T129,T129,Alexandre Rocha,65,0.556,54,30.0
130,T129,T129,Michael Thompson,79,0.556,54,30.0
131,132,132,Vaughn Taylor,89,0.557,79,44.0
132,133,133,Phil Mickelson,79,0.563,64,36.0
133,T134,T134,Robert Garrigus,83,0.5660000000000001,53,30.0
134,T134,T134,Heath Slocum,89,0.5660000000000001,76,43.0
135,136,136,Joe Durant,71,0.569,58,33.0
136,T137,T137,James Driscoll,71,0.5710000000000001,77,44.0
137,T137,T137,Brandt Jobe,100,0.5710000000000001,77,44.0
138,T137,T137,Kent Jones,76,0.5710000000000001,77,44.0
139,140,140,Will Strickler,51,0.574,47,27.0
140,141,141,Pat Perez,76,0.5760000000000001,66,38.0
141,T142,T142,Scott Piercy,78,0.5770000000000001,71,41.0
142,T142,T142,Roland Thatcher,67,0.5770000000000001,71,41.0
143,144,144,Andres Romero,77,0.578,83,48.0
144,145,145,Jim Furyk,87,0.579,76,44.0
145,146,146,David Duval,67,0.581,74,43.0
146,147,147,Davis Love III,70,0.5820000000000001,55,32.0
147,148,148,Jarrod Lyle,83,0.583,96,56.0
148,149,149,Bobby Gates,82,0.585,82,48.0
149,150,150,Jason Bohn,74,0.5870000000000001,63,37.0
150,151,151,Bill Haas,93,0.591,88,52.0
151,T152,T152,J.B. Holmes,57,0.6,45,27.0
152,T152,T152,John Senden,94,0.6,90,54.0
153,T154,T154,Rocco Mediate,53,0.603,68,41.0
154,T154,T154,Kevin Stadler,88,0.603,63,38.0
155,T156,T156,Chris DiMarco,93,0.604,96,58.0
156,T156,T156,Geoff Ogilvy,69,0.604,53,32.0
157,158,158,Daniel Summerhays,75,0.605,81,49.0
158,159,159,Tag Ridings,87,0.61,82,50.0
159,T160,T160,Dustin Johnson,72,0.615,39,24.0
160,T160,T160,Vijay Singh,79,0.615,65,40.0
161,162,162,Jim Renner,65,0.621,58,36.0
162,T163,T163,Tom Gillis,55,0.622,37,23.0
163,T163,T163,Zack Miller,86,0.622,98,61.0
164,165,165,J.P. Hayes,56,0.627,59,37.0
165,166,166,Arjun Atwal,91,0.631,111,70.0
166,167,167,Adam Scott,60,0.632,38,24.0
167,168,168,Gary Woodland,93,0.635,63,40.0
168,169,169,Scott Gutschewski,67,0.638,69,44.0
169,170,170,Chez Reavie,92,0.643,70,45.0
170,T171,T171,Rory Sabbatini,85,0.6459999999999999,65,42.0
171,T171,T171,Boo Weekley,66,0.6459999999999999,48,31.0
172,173,173,Rickie Fowler,84,0.647,68,44.0
173,174,174,Sung Kang,63,0.648,54,35.0
174,175,175,Ben Martin,74,0.649,74,48.0
175,176,176,Garrett Willis,71,0.66,53,35.0
176,177,177,Alex Prugh,82,0.662,77,51.0
177,178,178,Lucas Glover,74,0.672,67,45.0
178,179,179,Martin Piller,63,0.6759999999999999,68,46.0
179,180,180,Graeme McDowell,50,0.684,38,26.0
180,181,181,Camilo Villegas,69,0.685,73,50.0
181,182,182,Keegan Bradley,91,0.7,80,56.0
182,183,183,Lee Janzen,62,0.7120000000000001,52,37.0
183,184,184,Scott Stallings,84,0.7190000000000001,64,46.0
184,185,185,Brendan Steele,89,0.733,75,55.0
185,186,186,Bubba Watson,85,0.742,62,46.0
