,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,70,0.28600000000000003,119,34.0
1,2,2,Webb Simpson,98,0.312,154,48.0
2,3,3,Robert Karlsson,61,0.342,120,41.0
3,4,4,Phil Mickelson,79,0.344,160,55.0
4,5,5,Luke Donald,73,0.353,119,42.0
5,6,6,Bill Haas,93,0.358,165,59.0
6,7,7,Matt Kuchar,94,0.36,150,54.0
7,8,8,Kevin Na,84,0.376,213,80.0
8,9,9,Martin Laird,77,0.379,140,53.0
9,10,10,Zach Johnson,79,0.38,142,54.0
10,11,11,Jason Day,76,0.382,131,50.0
11,12,12,Justin Leonard,82,0.38299999999999995,167,64.0
12,13,13,Ricky Barnes,78,0.387,155,60.0
13,14,14,Bryce Molder,82,0.39,146,57.0
14,15,15,Dean Wilson,62,0.395,162,64.0
15,T16,T16,Spencer Levin,113,0.39799999999999996,216,86.0
16,T16,T16,Mark Wilson,89,0.39799999999999996,181,72.0
17,18,18,Padraig Harrington,60,0.4,115,46.0
18,19,19,Sergio Garcia,61,0.40399999999999997,114,46.0
19,20,20,Y.E. Yang,63,0.405,131,53.0
20,21,21,Freddie Jacobson,92,0.406,155,63.0
21,T22,T22,Shane Bertsch,62,0.41100000000000003,124,51.0
22,T22,T22,Steve Elkington,50,0.41100000000000003,90,37.0
23,24,24,Brandt Snedeker,85,0.41200000000000003,182,75.0
24,25,25,Ben Crane,76,0.414,140,58.0
25,T26,T26,Jason Dufner,78,0.415,130,54.0
26,T26,T26,Jerry Kelly,85,0.415,159,66.0
27,T28,T28,Ben Curtis,66,0.41700000000000004,132,55.0
28,T28,T28,Charles Howell III,108,0.41700000000000004,187,78.0
29,30,30,Robert Allenby,84,0.418,158,66.0
30,31,31,Blake Adams,116,0.42100000000000004,209,88.0
31,32,32,Gary Woodland,93,0.423,194,82.0
32,33,33,Ryan Moore,79,0.429,161,69.0
33,T34,T34,Retief Goosen,50,0.43,121,52.0
34,T34,T34,Scott McCarron,65,0.43,172,74.0
35,T34,T34,Geoff Ogilvy,69,0.43,151,65.0
36,37,37,Greg Chalmers,88,0.431,197,85.0
37,T38,T38,K.J. Choi,77,0.43200000000000005,148,64.0
38,T38,T38,Nick O'Hern,89,0.43200000000000005,146,63.0
39,40,40,Kevin Streelman,90,0.435,184,80.0
40,41,41,Brendon de Jonge,105,0.436,188,82.0
41,42,42,Trevor Immelman,84,0.43799999999999994,128,56.0
