,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Greg Chalmers,88,65.17,391,600
1,2,2,Steve Stricker,70,64.93,274,422
2,3,3,Jason Day,76,64.64,298,461
3,4,4,Zach Johnson,79,63.98,302,472
4,T5,T5,Woody Austin,59,63.92,202,316
5,T5,T5,Charles Howell III,108,63.92,372,582
6,7,7,Brian Gay,90,63.78,361,566
7,8,8,Luke Donald,73,63.71,251,394
8,9,9,Kevin Na,84,63.5,374,589
9,10,10,Rod Pampling,72,63.1,248,393
10,11,11,Mark Wilson,89,62.97,335,532
11,12,12,Nick Watney,80,62.96,289,459
12,13,13,Matt Kuchar,94,62.91,329,523
13,14,14,Jerry Kelly,85,62.55,304,486
14,15,15,Bryce Molder,82,62.5,315,504
15,16,16,Webb Simpson,98,62.22,331,532
16,17,17,Phil Mickelson,79,62.01,284,458
17,18,18,Justin Leonard,82,61.97,321,518
18,19,19,Dean Wilson,62,61.63,257,417
19,20,20,Chris Riley,76,61.62,281,456
20,21,21,Ben Curtis,66,61.58,250,406
21,22,22,Brandt Snedeker,85,61.45,330,537
22,T23,T23,Ben Crane,76,61.31,271,442
23,T23,T23,Y.E. Yang,63,61.31,244,398
24,25,25,David Toms,78,61.21,243,397
25,26,26,Nathan Green,81,60.92,318,522
26,T27,T27,K.J. Choi,77,60.87,280,460
27,T27,T27,Chris Couch,73,60.87,280,460
28,T27,T27,Billy Mayfair,94,60.87,308,506
29,T30,T30,Michael Connell,76,60.81,301,495
30,T30,T30,David Mathis,83,60.81,301,495
31,32,32,Michael Thompson,79,60.75,277,456
32,33,33,Blake Adams,116,60.63,422,696
33,34,34,Freddie Jacobson,92,60.62,334,551
34,35,35,Stephen Ames,69,60.59,246,406
35,36,36,Scott McCarron,65,60.56,261,431
36,37,37,Kevin Streelman,90,60.5,337,557
37,38,38,Tim Petrovic,88,60.49,346,572
38,39,39,Chris DiMarco,93,60.47,338,559
39,40,40,Robert Karlsson,61,60.41,235,389
40,41,41,Spencer Levin,113,60.35,379,628
41,42,42,Brendon de Jonge,105,60.33,368,610
42,43,43,Steve Elkington,50,60.26,182,302
43,44,44,Sergio Garcia,61,60.16,219,364
44,45,45,Ryan Moore,79,60.08,301,501
45,46,46,Briny Baird,60,60.0,180,300
46,47,47,Ryan Palmer,82,59.96,313,522
