,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Woody Austin,59,100.0,4.0,4
1,T1,T1,Briny Baird,60,100.0,2.0,2
2,T1,T1,Cameron Beckman,71,100.0,4.0,4
3,T1,T1,Michael Bradley,74,100.0,2.0,2
4,T1,T1,Ángel Cabrera,50,100.0,3.0,3
5,T1,T1,Harrison Frazar,58,100.0,3.0,3
6,T1,T1,Andres Gonzales,60,100.0,1.0,1
7,T1,T1,David Hearn,88,100.0,3.0,3
8,T1,T1,Jim Herman,69,100.0,2.0,2
9,T1,T1,Trevor Immelman,84,100.0,3.0,3
10,T1,T1,Davis Love III,70,100.0,3.0,3
11,T1,T1,George McNeill,69,100.0,5.0,5
12,T1,T1,Jeff Overton,92,100.0,3.0,3
13,T1,T1,Tim Petrovic,88,100.0,4.0,4
14,T1,T1,Charl Schwartzel,58,100.0,3.0,3
15,T1,T1,Kevin Streelman,90,100.0,4.0,4
16,T1,T1,Gary Woodland,93,100.0,4.0,4
17,18,18,Matt Bettencourt,84,90.0,9.0,10
18,19,19,Josh Teater,104,88.89,8.0,9
19,T20,T20,Aaron Baddeley,77,87.5,7.0,8
20,T20,T20,Greg Chalmers,88,87.5,7.0,8
21,T20,T20,Geoff Ogilvy,69,87.5,7.0,8
22,T23,T23,Chris Couch,73,85.71,12.0,14
23,T23,T23,Bio Kim,71,85.71,6.0,7
24,T23,T23,Chris Riley,76,85.71,6.0,7
25,T26,T26,Joseph Bramlett,73,83.33,5.0,6
26,T26,T26,Jim Furyk,87,83.33,5.0,6
27,T26,T26,Robert Karlsson,61,83.33,5.0,6
28,T26,T26,Marc Leishman,87,83.33,5.0,6
29,T26,T26,Zack Miller,86,83.33,5.0,6
30,T26,T26,Michael Putnam,67,83.33,5.0,6
31,T26,T26,D.J. Trahan,91,83.33,5.0,6
32,T33,T33,Jason Day,76,80.0,4.0,5
33,T33,T33,Scott Gutschewski,67,80.0,4.0,5
34,T33,T33,Ryuji Imada,83,80.0,8.0,10
35,T33,T33,Zach Johnson,79,80.0,4.0,5
36,T33,T33,Jerry Kelly,85,80.0,4.0,5
37,T33,T33,Phil Mickelson,79,80.0,4.0,5
38,T33,T33,Steve Stricker,70,80.0,4.0,5
39,T40,T40,Pat Perez,76,77.78,7.0,9
40,T40,T40,Justin Rose,79,77.78,7.0,9
