,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Rory McIlroy,18,10000000
1,2,2,Dustin Johnson,22,3000000
2,3,3,Patrick Reed,28,2000000
3,4,4,Adam Scott,20,1500000
4,5,5,Paul Casey,22,1000000
5,6,6,Jason Day,20,800000
6,7,7,Ryan Moore,23,700000
7,8,8,Kevin Chappell,27,600000
8,9,9,Jordan Spieth,21,550000
9,10,10,Russell Knox,25,500000
10,11,11,Emiliano Grillo,25,300000
11,12,12,Justin Thomas,28,290000
12,13,13,Hideki Matsuyama,23,280000
13,14,14,Jimmy Walker,25,270000
14,15,15,Brandt Snedeker,27,250000
15,16,16,Phil Mickelson,22,245000
16,17,17,Si Woo Kim,34,240000
17,18,18,Matt Kuchar,26,235000
18,19,19,Jason Dufner,28,230000
19,20,20,Gary Woodland,26,225000
20,21,21,Bubba Watson,19,220000
21,22,22,Roberto Castro,27,215000
22,23,23,Kevin Kisner,27,210000
23,24,24,William McGirt,28,205000
24,25,25,Charl Schwartzel,19,200000
25,26,26,Daniel Berger,26,195000
26,27,27,Sean O'Hair,27,190000
27,28,28,Kevin Na,26,185000
28,29,29,Jhonattan Vegas,27,180000
29,30,30,J.B. Holmes,22,175000
30,31,31,Rickie Fowler,23,165000
31,32,32,Sergio Garcia,15,155000
32,33,33,Jason Kokrak,28,150000
33,34,34,Ryan Palmer,23,145000
34,35,35,Brooks Koepka,21,142000
35,36,36,Henrik Stenson,14,140000
36,37,37,Scott Piercy,24,138000
37,38,38,Louis Oosthuizen,17,137000
38,39,39,James Hahn,26,136000
39,40,40,Fabián Gómez,26,135000
40,41,41,Branden Grace,18,134000
41,42,42,Jim Herman,29,133000
42,43,43,Smylie Kaufman,28,132000
43,44,44,Charley Hoffman,26,131000
44,45,45,Tony Finau,28,130000
45,46,46,Bill Haas,24,129000
46,47,47,Harris English,27,128000
47,48,48,Graeme McDowell,21,127000
48,49,49,Jamie Lovemark,27,126000
49,50,50,Billy Horschel,20,125000
50,51,51,Justin Rose,18,120000
51,52,52,Charles Howell III,25,115000
52,53,53,Brian Harman,31,114000
53,54,54,Chris Kirk,28,113000
54,55,55,Billy Hurley III,20,110000
55,56,56,David Hearn,29,110000
56,57,57,Zach Johnson,24,110000
57,58,58,Luke Donald,23,110000
58,59,59,Kevin Streelman,26,110000
59,60,60,Brian Stuard,20,110000
60,61,61,Kyle Reifers,34,110000
61,62,62,Vaughn Taylor,24,110000
62,63,63,Brendan Steele,25,110000
63,64,64,Hudson Swafford,30,110000
64,65,65,Daniel Summerhays,28,110000
65,66,66,Jon Curran,30,110000
66,67,67,David Lingmerth,24,110000
67,68,68,Marc Leishman,25,110000
68,69,69,Aaron Baddeley,28,110000
69,70,70,Ben Martin,28,110000
70,71,71,Ricky Barnes,29,80000
71,72,72,Jerry Kelly,23,80000
72,73,73,Chad Campbell,28,80000
73,74,74,Patrick Rodgers,28,80000
74,75,75,Harold Varner III,28,80000
75,76,76,Steve Stricker,15,80000
76,77,77,Martin Laird,24,80000
77,78,78,Johnson Wagner,26,80000
78,79,79,Colt Knost,26,80000
79,80,80,Scott Brown,27,80000
80,81,81,Chez Reavie,27,75000
81,82,82,Patton Kizzire,27,75000
82,83,83,Alex Cejka,22,75000
83,84,84,Webb Simpson,20,75000
84,85,85,Adam Hadwin,27,75000
85,86,86,Jim Furyk,14,75000
86,87,87,Russell Henley,25,75000
87,88,88,John Senden,28,75000
88,89,89,Bryce Molder,26,75000
89,90,90,Freddie Jacobson,26,75000
90,91,91,K.J. Choi,22,75000
91,92,92,Danny Lee,28,75000
92,93,93,Danny Willett,9,75000
93,94,94,Spencer Levin,32,75000
94,95,95,John Huh,28,75000
95,96,96,Sung Kang,29,75000
96,97,97,Jason Bohn,21,75000
97,98,98,Tyrone Van Aswegen,31,75000
98,99,99,Vijay Singh,22,75000
99,100,100,Derek Fathauer,30,75000
100,101,101,Blayne Barber,27,70000
101,102,102,Shane Lowry,17,70000
102,103,103,Keegan Bradley,26,70000
103,104,104,Peter Malnati,32,70000
104,105,105,Robert Streb,27,70000
105,106,106,Lucas Glover,23,70000
106,107,107,Jonas Blixt,26,70000
107,108,108,Brett Stegmaier,29,70000
108,109,109,Robert Garrigus,21,70000
109,110,110,Zac Blair,31,70000
110,111,111,Francesco Molinari,18,70000
111,112,112,Cameron Tringale,25,70000
112,113,113,Andrew Loupe,27,70000
113,114,114,Boo Weekley,26,70000
114,115,115,Mark Hubbard,30,70000
115,116,116,Kyle Stanley,28,70000
116,117,117,Ben Crane,27,70000
117,118,118,Michael Kim,29,70000
118,119,119,Anirban Lahiri,21,70000
119,120,120,Graham DeLaet,21,70000
120,121,121,Troy Merritt,26,70000
121,122,122,Luke List,27,70000
122,123,123,Shawn Stefani,29,70000
123,124,124,David Toms,19,70000
124,125,125,Seung-Yul Noh,28,70000
125,126,126,Matt Jones,27,32000
126,127,127,Whee Kim,27,32000
127,128,128,Scott Stallings,27,32000
128,129,129,Nick Taylor,26,32000
129,130,130,Steve Marino,24,32000
130,131,131,Bronson Burgoon,27,32000
131,132,132,Tim Wilkinson,22,32000
132,133,133,Morgan Hoffmann,25,32000
133,134,134,Chris Stroud,27,32000
134,135,135,Bud Cauley,14,32000
135,136,136,Chad Collins,26,32000
136,137,137,Steve Wheatcroft,26,32000
137,138,138,Willy Wilcox,23,32000
138,139,139,Padraig Harrington,16,32000
139,140,140,Tyler Aldridge,28,32000
140,141,141,Retief Goosen,16,32000
141,142,142,Greg Chalmers,12,32000
142,143,143,Stuart Appleby,23,32000
143,144,144,Tom Hoge,26,32000
144,145,145,Michael Thompson,23,32000
145,146,146,Hiroshi Iwata,29,32000
146,147,147,Stewart Cink,19,32000
147,148,148,Sam Saunders,24,32000
148,149,149,Jamie Donaldson,13,32000
149,150,150,Greg Owen,29,32000
