,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,1,Henrik Stenson,363.97
1,2,2,Rory McIlroy,319.97
2,3,3,Danny Willett,270.49
3,4,4,Sergio Garcia,207.95
4,5,5,Rafa Cabrera Bello,168.57
5,6,6,Justin Rose,168.04
6,7,7,Chris Wood,161.63
7,8,8,Andy Sullivan,151.5
8,9,9,Matthew Fitzpatrick,142.71
9,10,10,Lee Westwood,114.97
10,11,11,Søren Kjeldsen,113.67
11,12,12,Thorbjørn Olesen,111.48
12,13,13,Shane Lowry,106.51
13,14,14,Thomas Pieters,101.28
14,15,15,Martin Kaymer,100.01
15,16,16,Francesco Molinari,98.33
16,17,17,Tyrrell Hatton,97.91
17,18,18,Graeme McDowell,95.08
18,19,19,Rikard Karlberg,88.02
19,20,20,Joost Luiten,87.94
20,21,21,Russell Knox,86.16
21,22,22,Alex Noren,80.23
22,23,23,Jamie Donaldson,79.5
23,24,24,Andrew Johnston,79.43
24,25,25,Bernd Wiesberger,76.69
25,26,26,Victor Dubuisson,75.55
26,27,27,Lee Slattery,71.37
27,28,28,Lucas Bjerregaard,71.33
28,29,29,Kristoffer Broberg,67.39
29,30,30,Luke Donald,65.55
30,31,31,David Lingmerth,65.45
31,32,32,Ross Fisher,64.44
32,33,33,Grégory Bourdy,61.37
33,34,34,Nicolas Colsaerts,60.03
34,35,35,Julien Quesne,56.48
35,36,36,Freddie Jacobson,54.49
36,37,37,Bradley Dredge,54.12
37,38,38,Benjamin Hebert,48.35
38,39,39,Romain Wattel,46.9
39,40,40,Rich Bland,46.35
40,41,41,Jorge Campillo,45.19
41,42,42,Ian Poulter,42.14
42,43,43,Ricardo Gouveia,41.61
43,44,44,Alexander Levy,38.27
44,45,45,James Morrison,38.15
45,46,46,Graeme Storm,37.16
46,47,47,Matthew Southgate,36.63
47,48,48,Callum Shinkwin,35.67
48,49,49,Alejandro Cañizares,35.63
49,50,50,Padraig Harrington,33.15
50,51,51,Clément Sordet,32.1
51,52,52,Maximilian Kieffer,31.98
52,53,53,Eduardo De La Riva,31.61
53,54,54,Anthony Wall,31.33
54,55,55,Pablo Larrazabal,30.37
55,56,56,Sebastien Gros,30.17
56,57,57,Matt Wallace,29.75
57,58,58,Peter Hanson,29.64
58,59,59,Mikko Ilonen,28.87
59,60,60,David Horsey,28.86
60,61,61,Tommy Fleetwood,28.86
61,62,62,Jordan L Smith,28.73
62,63,63,David Drysdale,28.06
63,64,64,Robert Rock,28.01
64,65,65,Johan Carlsson,27.85
65,66,66,Nacho Elvira,27.74
66,67,67,Richie Ramsay,26.98
67,68,68,Joakim Lagergren,26.94
68,69,69,Romain Langasque,26.6
69,70,70,Bernard Ritthammer,26.49
70,71,71,Borja Virto Astudillo,26.3
71,72,72,Alexander Knappe,26.27
72,73,73,Nino Bertasio,25.79
73,74,74,Matteo Manassero,25.59
74,75,75,Damien Perrier,25.27
75,76,76,David Howell,25.09
76,77,77,Christofer Blomstrand,24.38
77,78,78,Espen Kofstad,24.28
78,79,79,Magnus Carlsson,23.39
79,80,80,Marcel Siem,23.12
80,81,81,Raphael Jacquelin,23.1
81,82,82,Michael Lorenzo-Vera,22.81
82,83,83,Adrian Otaegui,22.58
83,84,84,Sebastian Soderberg,22.36
84,85,85,James Heath,22.32
85,86,86,Lasse Jensen,21.95
86,87,87,Pelle Edberg,21.86
87,88,88,Adrien Saddier,21.59
88,89,89,Mikko Korhonen,21.44
89,90,90,Gary Boyd,21.18
90,91,91,Carlos Pigem,20.72
91,92,92,Greg Owen,20.56
92,93,93,Paul Dunne,20.55
93,94,94,Jeff Winther,20.29
94,95,95,Eddie Pepperell,20.26
95,96,96,Tom Murray,20.09
96,97,97,Miguel Angel Jiménez,19.81
97,98,98,Robert Dinwiddie,19.6
98,99,99,Ben Evans,19.08
99,100,100,Matthieu Pavon,18.76
100,101,101,Joachim B Hansen,18.47
101,102,102,Thomas Linard,18.46
102,103,103,Duncan Stewart,17.71
103,104,104,Chris Hanson,17.3
104,105,105,Daniel Brooks,17.19
105,106,106,Richard McEvoy,17.11
106,107,107,Darius Van Driel,17.07
107,108,108,Bjorn Akesson,16.76
108,109,109,Thomas Bjørn,16.57
109,110,110,Stephen Gallacher,16.26
110,111,111,Grégory Havret,16.06
111,112,112,Alvaro Quiros,15.94
112,113,113,Jose-Filipe Lima,15.72
113,114,114,Antoine Schwartz,15.53
114,115,115,Ross McGowan,15.43
115,116,116,Pep Angles,15.29
116,117,117,Craig Lee,14.89
117,118,118,Matteo Delpodio,14.55
118,119,119,Matt Ford,14.13
119,120,120,Oliver Fisher,14.05
120,121,121,Clement Berardo,14.04
121,122,122,Gary Stal,13.58
122,123,123,Gary King,13.2
123,124,124,Garrick Porteous,12.53
124,125,125,Christopher Mivis,12.47
125,126,126,Ben Stow,12.46
126,127,127,Daan Huizing,12.24
127,128,128,Steven Tiley,12.15
128,129,129,Marc Warren,12.1
129,130,130,Max Orrin,12.08
130,131,131,Alexander Björk,11.66
131,132,132,Josh Loughrey,11.18
132,133,133,Jens Fahrbring,10.87
133,134,134,Seve Benson,10.61
134,135,135,Chris Paisley,10.39
135,136,136,Renato Paratore,10.38
136,137,137,Matthew Nixon,10.15
137,138,138,Lorenzo Gagli,10.14
138,139,139,Moritz Lampert,10.0
139,140,140,Aaron Rai,9.38
140,141,141,Scott Henry,9.17
141,142,142,Jens Dantorp,8.87
142,143,143,Roope Kakko,8.76
143,144,144,Sam Walker,8.63
144,145,145,Javier Colomo,8.61
145,146,146,James Robinson,8.59
146,147,147,Stuart Manley,8.36
147,148,148,Darren Clarke,8.29
148,149,149,Andrea Pavan,8.15
149,150,150,Joel Stalter,8.1
150,151,151,Niall Turner,8.03
151,152,152,Paul Lawrie,8.01
152,153,153,Matthew Cort,8.0
153,154,154,Chris Selfridge,8.0
154,155,155,Scott Jamieson,7.94
155,156,156,Pablo Martin Benavides,7.82
156,157,157,Mads Sogaard,7.8
157,158,158,Sebastian Heisele,7.74
158,159,159,Manuel Trappel,7.6
159,160,160,Ryan Evans,7.56
160,161,161,Johan Edfors,7.56
161,162,162,Robert Karlsson,7.5
162,163,163,Enrico Di Nitto,7.33
163,164,164,Simon Khan,7.29
164,165,165,Alessandro Tadini,7.28
165,166,166,David Law,7.2
166,167,167,Eirik Tage Johansen,7.14
167,168,168,Michael Hoey,6.96
168,169,169,Edouard Dubois,6.94
169,170,170,Rhys Davies,6.83
170,171,171,Bernhard Langer,6.73
171,172,172,Ricardo Santos,6.72
172,173,173,Joel Girrbach,6.6
173,174,174,Edouard Espana,6.51
174,175,175,Tom Shadbolt,6.41
175,176,176,Anders Hansen,6.35
176,177,177,Oliver Farr,6.03
177,178,178,Tapio Pulkkanen,5.6
178,179,179,Toby Tree,5.55
179,180,180,Oskar Henningsson,5.52
180,181,181,Paul Maddy,5.44
181,182,182,Ruaidhri McGee,5.33
182,183,183,Morten Orum Madsen,5.28
183,184,184,Florian Fritsch,5.19
184,185,185,Francesco Laporta,5.08
185,186,186,Steve Webster,4.58
186,187,187,Anton Karlsson,4.56
187,188,188,Dominic Foos,4.46
188,189,189,Julien Guerrier,4.4
189,190,190,Tom Lewis,4.37
190,191,191,David Dixon,4.32
191,192,192,Scott Fernandez,4.25
192,193,193,John Parry,4.2
193,194,194,Michael Jonzon,4.02
194,195,195,Stephen Dodd,4.0
195,196,196,Max Laier,4.0
196,197,197,Haydn McCullen,4.0
197,198,198,Daniel Jennevret,4.0
198,199,199,Martin Keskari,4.0
199,200,200,Raphael Marguery,4.0
