,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Jason Day,16,2735,3.0,9.0,,
1,2,2,Dustin Johnson,18,2701,2.0,12.0,34.0,
2,3,3,Adam Scott,16,2063,2.0,5.0,672.0,
3,4,4,Russell Knox,21,2001,2.0,4.0,734.0,
4,5,5,Jordan Spieth,17,1965,2.0,6.0,770.0,
5,6,6,Brandt Snedeker,23,1717,1.0,7.0,1018.0,
6,7,7,Patrick Reed,24,1575,,9.0,1160.0,
7,8,8,Phil Mickelson,18,1532,,6.0,1203.0,
8,9,9,Kevin Na,23,1529,,8.0,1206.0,
9,10,10,Justin Thomas,24,1512,1.0,5.0,1223.0,
10,11,11,Kevin Kisner,23,1491,1.0,6.0,1244.0,
11,12,12,Hideki Matsuyama,19,1468,1.0,7.0,1267.0,
12,13,13,Kevin Chappell,23,1422,,6.0,1313.0,
13,14,14,Henrik Stenson,12,1387,1.0,4.0,1348.0,
14,15,15,Si Woo Kim,30,1382,1.0,4.0,1353.0,
15,16,16,William McGirt,24,1360,1.0,7.0,1375.0,
16,17,17,Jimmy Walker,21,1352,1.0,4.0,1383.0,
17,18,18,Matt Kuchar,22,1349,,9.0,1386.0,
18,19,19,Brooks Koepka,18,1348,,7.0,1387.0,
19,20,20,Sergio Garcia,13,1306,1.0,4.0,1429.0,
20,21,21,Jason Dufner,24,1273,1.0,5.0,1462.0,
21,22,22,Daniel Berger,22,1254,1.0,5.0,1481.0,
22,23,23,Ryan Moore,19,1235,1.0,6.0,1500.0,
23,24,24,Bubba Watson,15,1235,1.0,3.0,1500.0,
24,25,25,Branden Grace,15,1187,1.0,6.0,1548.0,
25,26,26,Smylie Kaufman,25,1181,1.0,4.0,1554.0,
26,27,27,Graeme McDowell,18,1142,1.0,5.0,1593.0,
27,28,28,Rickie Fowler,20,1131,,7.0,1604.0,
28,29,29,Bill Haas,21,1129,,6.0,1606.0,
29,30,30,Charl Schwartzel,15,1127,1.0,3.0,1608.0,
30,31,31,Jhonattan Vegas,23,1119,1.0,5.0,1616.0,
31,32,32,Emiliano Grillo,21,1109,1.0,1.0,1626.0,
32,33,33,Charley Hoffman,23,1087,1.0,1.0,1648.0,
33,34,34,Scott Piercy,21,1077,,3.0,1658.0,
34,35,35,Harris English,24,1032,,3.0,1703.0,
35,36,36,Rory McIlroy,14,973,,6.0,1762.0,
36,37,37,Daniel Summerhays,25,963,,2.0,1772.0,
37,38,38,J.B. Holmes,18,956,,5.0,1779.0,
38,39,39,Charles Howell III,22,931,,5.0,1804.0,
39,40,40,Fabián Gómez,23,924,1.0,3.0,1811.0,
40,41,41,Jim Herman,26,923,1.0,2.0,1812.0,
41,42,42,Gary Woodland,22,907,,2.0,1828.0,
42,43,43,Jamie Lovemark,24,904,,5.0,1831.0,
43,44,44,James Hahn,23,878,1.0,2.0,1857.0,
44,45,45,Aaron Baddeley,25,874,1.0,5.0,1861.0,
45,46,46,Tony Finau,25,864,1.0,2.0,1871.0,
46,47,47,David Lingmerth,21,859,,2.0,1876.0,
47,48,48,Luke Donald,20,849,,2.0,1886.0,
48,49,49,Jon Curran,27,840,,3.0,1895.0,
49,50,50,Zach Johnson,21,833,,5.0,1902.0,
50,51,51,Justin Rose,15,829,,5.0,1906.0,
51,52,52,Kyle Reifers,31,821,,5.0,1914.0,
52,53,53,Roberto Castro,23,810,,3.0,1925.0,
53,54,54,Colt Knost,24,803,,3.0,1932.0,
54,55,55,Brendan Steele,22,791,,2.0,1944.0,
55,56,56,Louis Oosthuizen,14,769,,2.0,1966.0,
56,57,57,Marc Leishman,22,765,,2.0,1970.0,
57,58,58,Patton Kizzire,25,760,,5.0,1975.0,
58,59,59,Alex Cejka,22,754,,4.0,1981.0,
