,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Rory McIlroy,18,53.13,4250,8000,2.0,2.0
1,2,2,Paul Casey,22,39.28,3142,8000,,3.0
2,3,3,Dustin Johnson,22,35.84,2867,8000,1.0,3.0
3,4,4,Patrick Reed,28,35.18,2814,8000,1.0,2.0
4,5,5,Adam Scott,20,21.83,1746,8000,,4.0
5,6,6,Ryan Moore,23,20.59,1647,8000,,3.0
6,7,7,Emiliano Grillo,25,19.05,1524,8000,,2.0
7,8,8,Kevin Chappell,27,18.24,1459,8000,,2.0
8,9,9,Sean O'Hair,27,16.55,1324,8000,,1.0
9,10,10,Jimmy Walker,25,14.5,1160,8000,,1.0
10,11,11,Roberto Castro,27,14.25,1140,8000,,1.0
11,12,12,Jason Kokrak,28,13.89,833,6000,,2.0
12,13,13,Gary Woodland,26,13.87,1110,8000,,2.0
13,14,14,Ryan Palmer,23,13.56,814,6000,,1.0
14,15,15,Jordan Spieth,21,12.68,1014,8000,,2.0
15,16,16,Louis Oosthuizen,17,11.65,699,6000,,1.0
16,17,17,J.B. Holmes,22,10.48,838,8000,,1.0
17,18,18,Hideki Matsuyama,23,10.35,828,8000,,1.0
18,19,19,Justin Thomas,28,10.18,814,8000,,2.0
19,20,20,Brian Harman,31,9.67,580,6000,,
20,21,21,James Hahn,26,9.57,574,6000,,1.0
21,22,22,Matt Kuchar,26,9.35,748,8000,,1.0
22,23,23,Charl Schwartzel,19,9.27,742,8000,,2.0
23,24,24,Fabián Gómez,26,8.77,526,6000,,1.0
24,25,25,Jason Dufner,28,8.65,692,8000,,1.0
25,26,26,Bubba Watson,19,8.57,685,8000,,1.0
26,27,27,Jhonattan Vegas,27,8.48,678,8000,,
27,T28,T28,Jason Day,20,8.43,674,8000,,1.0
28,T28,T28,Billy Horschel,20,8.43,506,6000,,1.0
29,30,30,Si Woo Kim,34,8.42,674,8000,,1.0
30,T31,T31,Jim Herman,29,8.2,492,6000,,
31,T31,T31,Russell Knox,25,8.2,656,8000,,
32,33,33,David Hearn,29,8.09,485,6000,,1.0
33,34,34,Rickie Fowler,23,7.93,476,6000,,1.0
34,35,35,Daniel Berger,26,7.72,618,8000,,1.0
35,36,36,Brandt Snedeker,27,7.6,608,8000,,
36,37,37,Tony Finau,28,7.5,450,6000,,
37,38,38,Phil Mickelson,22,7.45,596,8000,,
38,39,39,Scott Piercy,24,7.0,420,6000,,
39,40,40,Chris Kirk,28,6.97,418,6000,,1.0
40,41,41,Billy Hurley III,20,6.85,411,6000,,1.0
41,42,42,Sergio Garcia,15,6.5,260,4000,,
42,43,43,William McGirt,28,6.43,514,8000,,
43,44,44,Hudson Swafford,30,6.3,378,6000,,
44,45,45,Kevin Na,26,6.1,366,6000,,
45,46,46,Justin Rose,18,6.03,362,6000,,
46,47,47,Brian Stuard,20,6.0,360,6000,,
47,48,48,Kevin Kisner,27,5.95,476,8000,,
48,49,49,Kevin Streelman,26,5.83,350,6000,,
49,50,50,Steve Stricker,15,5.8,232,4000,,
50,51,51,Jamie Lovemark,27,5.47,328,6000,,
51,52,52,Blayne Barber,27,5.4,108,2000,,
52,53,53,Johnson Wagner,26,5.25,210,4000,,
53,T54,T54,Sung Kang,29,5.15,206,4000,,
54,T54,T54,Martin Laird,24,5.15,206,4000,,
55,56,56,Charley Hoffman,26,4.93,296,6000,,
56,57,57,Chad Campbell,28,4.9,196,4000,,
57,58,58,Vaughn Taylor,24,4.67,280,6000,,
58,59,59,Harold Varner III,28,4.4,176,4000,,
59,60,60,Charles Howell III,25,4.33,260,6000,,
60,61,61,Branden Grace,18,4.27,256,6000,,
61,62,62,John Huh,28,4.1,164,4000,,
62,T63,T63,Harris English,27,3.97,238,6000,,
63,T63,T63,Zach Johnson,24,3.97,238,6000,,
64,65,65,Jim Furyk,14,3.85,154,4000,,
65,66,66,Smylie Kaufman,28,3.8,228,6000,,
66,T67,T67,Derek Fathauer,30,3.55,142,4000,,
67,T67,T67,Jerry Kelly,23,3.55,142,4000,,
68,T67,T67,Chez Reavie,27,3.55,142,4000,,
69,T67,T67,John Senden,28,3.55,142,4000,,
70,71,71,Brendan Steele,25,3.5,210,6000,,
71,72,72,Scott Brown,27,3.45,138,4000,,
72,73,73,Luke Donald,23,3.43,206,6000,,
73,74,74,Brooks Koepka,21,3.23,194,6000,,
74,75,75,Kyle Reifers,34,3.2,192,6000,,
75,76,76,Ricky Barnes,29,3.15,126,4000,,
76,77,77,Keegan Bradley,26,3.0,60,2000,,
77,78,78,Henrik Stenson,14,2.8,112,4000,,
78,79,79,Adam Hadwin,27,2.75,110,4000,,
79,80,80,Tyrone Van Aswegen,31,2.7,108,4000,,
80,81,81,Ben Martin,28,2.67,160,6000,,
81,82,82,Marc Leishman,25,2.63,158,6000,,
82,83,83,Bill Haas,24,2.6,156,6000,,
83,84,84,Patrick Rodgers,28,2.2,88,4000,,
84,T85,T85,Russell Henley,25,2.1,84,4000,,
85,T85,T85,Webb Simpson,20,2.1,84,4000,,
86,87,87,Jon Curran,30,1.83,110,6000,,
87,88,88,Graeme McDowell,21,1.8,108,6000,,
88,89,89,Bryce Molder,26,1.65,66,4000,,
89,90,90,Vijay Singh,22,1.5,60,4000,,
90,91,91,Spencer Levin,32,1.15,46,4000,,
91,T92,T92,David Lingmerth,24,1.1,66,6000,,
92,T92,T92,Shawn Stefani,29,1.1,22,2000,,
93,94,94,Aaron Baddeley,28,0.8,48,6000,,
94,95,95,Daniel Summerhays,28,0.2,12,6000,,
95,T96,T96,Lucas Glover,23,0.19,4,2000,,
96,T96,T96,Robert Streb,27,0.19,4,2000,,
97,T98,T98,Zac Blair,31,0.18,4,2000,,
98,T98,T98,Jonas Blixt,26,0.18,4,2000,,
99,T98,T98,Kyle Stanley,28,0.18,4,2000,,
100,T101,T101,Graham DeLaet,21,0.17,3,2000,,
101,T101,T101,Peter Malnati,32,0.17,3,2000,,
102,103,103,Jason Bohn,21,0.09,3,4000,,
