,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Rafa Cabrera Bello,10,655,269.0
1,2,4,Lee Westwood,7,399,46.0
2,3,5,Søren Kjeldsen,12,395,106.0
3,4,6,Martin Kaymer,10,349,115.0
4,5,7,Matthew Fitzpatrick,12,316,147.0
5,6,8,Andy Sullivan,11,314,106.0
6,7,9,Kiradech Aphibarnrat,11,282,127.0
7,8,10,Tyrrell Hatton,5,254,16.0
8,9,11,Bryson DeChambeau,12,235,
9,10,12,Bernd Wiesberger,11,226,129.0
10,11,13,Ross Fisher,4,223,197.0
11,12,14,Thongchai Jaidee,8,199,103.0
12,13,15,Chris Wood,8,173,55.0
13,14,16,Andrew Johnston,4,146,28.0
14,15,17,Bobby Wyatt,6,137,
15,16,18,K.T. Kim,7,134,118.0
16,17,19,Scott Hend,5,129,59.0
17,18,20,George Coetzee,7,127,62.0
18,19,21,Thomas Pieters,5,125,85.0
19,20,22,Grégory Bourdy,3,124,
20,21,23,Ryan Ruffels,7,110,
21,22,24,Michael Johnson,4,105,
22,23,25,Justin Hicks,15,98,
23,24,26,Rodolfo Cazaubón,3,93,
24,25,27,HaoTong Li,3,86,86.0
25,26,28,David Howell,2,85,39.0
26,27,29,Ollie Schniederjans,7,82,
27,28,30,Thorbjørn Olesen,5,78,78.0
28,29,31,Miguel Angel Jiménez,2,75,23.0
29,30,32,Rafael Campos,2,75,
30,31,33,Victor Dubuisson,5,71,45.0
31,32,34,Hunter Stewart,8,67,
32,33,35,Richard Lee,11,65,
33,34,36,Matthew Southgate,1,64,
34,T35,T37,Charlie Danielson,4,61,
35,T35,T37,Young-han Song,2,61,48.0
36,37,39,Marcus Fraser,5,59,59.0
37,38,40,Paul Dunne,4,58,
38,39,41,Alex Noren,4,57,16.0
39,40,42,Yusaku Miyazato,4,54,10.0
40,41,43,Robby Shelton,4,54,
41,42,44,Hideto Tanihara,4,54,
42,43,45,Aaron Wise,2,53,
43,44,46,Joe Affrunti,4,46,
44,45,47,Greg Yates,1,44,
45,46,48,Trey Mullinax,2,43,
46,47,49,James Morrison,3,43,43.0
47,48,50,Ryan Blaum,1,40,
48,49,51,Martin Flores,2,40,
49,50,52,Paul Peterson,1,40,
50,T51,T53,Tommy Fleetwood,2,39,39.0
51,T51,T53,Nathan Holman,4,39,39.0
52,T53,T55,Haydn Porteous,1,39,
53,T53,T55,Jaco Van Zyl,2,39,39.0
54,55,57,Yuta Ikeda,3,35,
55,T56,T58,Daisuke Kataoka,1,34,
56,T56,T58,Joost Luiten,2,34,
57,58,60,Joey Garber,4,32,
58,59,61,Gonzalo Fernandez-Castaño,2,30,
59,60,62,James Driscoll,1,29,
60,61,63,Brandon Hagy,2,27,
61,T62,T64,Ryan Armour,1,26,
62,T62,T64,Nick Mason,1,26,
63,64,66,Matteo Manassero,2,24,
64,65,67,SSP Chawrasia,2,24,23.0
65,66,68,Richard Lee,2,24,23.0
66,67,69,Xinjun Zhang,1,23,23.0
67,T68,T70,Nicolas Colsaerts,2,22,
68,T68,T70,Richard Sterne,2,22,
69,70,72,Michio Matsumura,1,22,22.0
70,71,73,Zecheng Dou,1,19,19.0
71,72,74,Ben Taylor,2,19,
72,73,75,Dean Burmester,1,17,
73,74,76,Matt Dobyns,7,16,
74,75,77,Andrew Dodt,2,15,3.0
75,T76,T78,Curtis Reed,2,14,
76,T76,T78,Yosuke Tsukada,2,14,14.0
77,78,80,Lee Slattery,1,14,
78,T79,T81,Ryan Evans,1,13,
79,T79,T81,Jorge Fernández-Valdés,1,13,
80,T79,T81,Adam Svensson,2,13,
81,82,84,Prayad Marksaeng,1,12,
82,83,85,Brandon Harkins,1,12,
83,84,86,Blake Adams,4,11,
84,T85,T87,Ashun Wu,1,11,11.0
85,T85,T87,Nick Cullen,2,11,11.0
86,T85,T87,Trevor Fisher Jr,1,11,11.0
87,T85,T87,WC Liang,1,11,11.0
88,T89,T91,Matt Marshall,1,10,
89,T89,T91,Jordan Zunic,1,10,10.0
90,91,93,Austin Connelly,4,9,
91,T92,T94,Wes Homan,3,8,
92,T92,T94,Romain Wattel,1,8,
93,T94,T96,Kristoffer Broberg,3,7,7.0
94,T94,T96,Paul Lawrie,1,7,
95,T94,T96,Chase Parker,2,7,
96,T97,T99,Matt Atkins,1,6,
97,T97,T99,Danny Chia,2,6,4.0
98,T97,T99,Adam Hart,2,6,
99,T100,T102,Ben Leong,1,6,
100,T100,T102,Ethan Tracy,4,6,
101,102,104,Zander Lombard,1,5,
102,103,105,Satoshi Kodaira,3,2,1.0
103,104,106,Danie van Tonder,1,1,1.0
104,T105,T107,Yi Cao,1,1,1.0
105,T105,T107,Mardan Mamat,1,1,
106,107,109,Steven Jeffress,1,1,1.0
107,T108,T110,Arie Ahmad Irawan,1,1,
108,T108,T110,Conrad Shindler,1,1,
109,T110,T112,Jay McLuen,1,1,
110,T110,T112,Jin Park,1,1,
111,T110,T112,Marc Warren,2,1,1.0
112,113,115,Colin Montgomerie,1,1,
113,T114,T116,Kodai Ichihara,1,1,
114,T114,T116,Lance Lopez,1,1,
115,T114,T116,Soomin Lee,2,1,
116,117,119,Corey Conners,1,1,
117,118,120,Bradley Dredge,1,1,
118,119,121,Josh Broadaway,2,1,
