,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Dustin Johnson,4321
1,2,2,Jordan Spieth,2969
2,3,3,Patrick Reed,2530
3,4,4,Kevin Chappell,2110
4,5,5,Brandt Snedeker,2039
5,6,6,Ryan Moore,1968
6,7,7,Daniel Berger,1923
7,8,8,Justin Thomas,1918
8,9,9,Jimmy Walker,1847
9,10,10,Kevin Na,1841
10,11,11,Matt Kuchar,1814
11,12,12,Phil Mickelson,1813
12,13,13,Kevin Kisner,1757
13,14,14,Bubba Watson,1711
14,15,15,William McGirt,1610
15,16,16,Jason Dufner,1546
16,17,17,J.B. Holmes,1529
17,18,18,Brooks Koepka,1503
18,19,19,Scott Piercy,1472
19,20,20,Rickie Fowler,1449
20,21,21,Roberto Castro,1357
21,22,22,Gary Woodland,1318
22,23,23,Bill Haas,1300
23,24,24,Smylie Kaufman,1252
24,25,25,Charley Hoffman,1246
25,26,26,Harris English,1212
26,27,27,James Hahn,1106
27,28,28,Ryan Palmer,1097
28,29,29,Jim Herman,1089
29,30,30,Zach Johnson,1064
30,31,31,Jamie Lovemark,1022
31,32,32,Charles Howell III,1018
32,33,33,Tony Finau,1008
33,34,34,Daniel Summerhays,998
34,35,35,Jason Kokrak,990
35,36,36,Sean O'Hair,965
36,37,37,Chris Kirk,940
37,38,38,Billy Horschel,936
38,39,39,Brendan Steele,909
39,40,40,Jon Curran,889
40,41,41,Kyle Reifers,886
41,42,42,Billy Hurley III,844
42,43,43,Brian Harman,832
43,44,44,Vaughn Taylor,823
44,45,45,Kevin Streelman,811
45,46,46,Colt Knost,803
46,47,47,Ben Martin,788
47,48,48,Brian Stuard,784
48,49,49,Patrick Rodgers,761
49,50,50,Patton Kizzire,760
50,51,51,Ricky Barnes,750
51,52,52,Jerry Kelly,736
52,53,53,Hudson Swafford,712
53,54,54,Webb Simpson,693
54,55,55,Robert Streb,688
55,56,56,Harold Varner III,687
56,57,57,Russell Henley,684
57,58,58,Chad Campbell,682
58,59,59,Scott Brown,677
59,60,60,Jason Bohn,674
60,61,61,Bryce Molder,671
61,62,62,Chez Reavie,665
62,63,63,Spencer Levin,656
63,64,64,Johnson Wagner,650
64,65,65,Steve Stricker,641
65,66,66,Jim Furyk,629
66,67,67,Cameron Tringale,628
67,68,68,Keegan Bradley,602
68,69,69,Peter Malnati,596
69,70,70,Lucas Glover,587
70,71,71,Zac Blair,569
71,72,72,John Huh,567
72,73,73,Brett Stegmaier,559
73,74,74,Robert Garrigus,558
74,75,75,Blayne Barber,547
75,76,76,Andrew Loupe,535
76,77,77,Boo Weekley,532
77,78,78,Derek Fathauer,526
78,79,79,Mark Hubbard,503
79,80,80,Ben Crane,500
80,81,81,Michael Kim,500
81,82,82,Kyle Stanley,497
82,83,83,Troy Merritt,490
83,84,84,Luke List,481
84,85,85,Shawn Stefani,476
85,86,86,David Toms,455
86,87,87,Scott Stallings,443
87,88,88,Steve Marino,429
88,89,89,Bronson Burgoon,428
89,90,90,Morgan Hoffmann,424
90,91,91,Chris Stroud,412
91,92,92,Bud Cauley,409
92,93,93,Chad Collins,402
93,94,94,Steve Wheatcroft,400
94,95,95,Willy Wilcox,399
95,96,96,Tyler Aldridge,384
96,97,97,Tom Hoge,349
97,98,98,Michael Thompson,340
98,99,99,Stewart Cink,331
99,100,100,Sam Saunders,324
100,101,101,Will MacKenzie,317
101,102,102,Ken Duke,309
102,103,103,Andres Gonzales,307
103,104,104,Jason Gore,307
104,105,105,Rob Oppenheim,300
105,106,106,Chesson Hadley,293
106,107,107,Jeff Overton,289
107,108,108,Kelly Kraft,273
108,109,109,Scott Langley,266
109,110,110,Scott Pinckney,258
110,111,111,Wes Roach,241
111,112,112,Erik Compton,236
112,113,113,Luke Guthrie,234
113,114,114,Mark Wilson,225
114,115,115,Brice Garnett,222
115,116,116,Andrew Landry,217
116,117,117,Hunter Mahan,210
117,118,118,George McNeill,192
118,119,119,Justin Leonard,186
119,120,120,Tim Herron,186
120,121,121,D.A. Points,167
121,122,122,J.J. Henry,162
122,123,123,Derek Ernst,159
123,124,124,Davis Love III,154
124,125,125,Nick Watney,150
125,126,126,Brian Gay,149
126,127,127,Alex Prugh,133
127,128,128,D.J. Trahan,124
128,129,129,Wesley Bryan,122
129,130,130,John Merrick,114
130,131,131,Matt Every,112
131,132,132,Brendon Todd,106
132,133,133,Shane Bertsch,91
133,134,134,Dicky Pride,84
134,135,135,Jonathan Byrd,73
135,136,136,Tom Gillis,72
136,137,137,Michael Bradley,62
137,138,138,Marc Turnesa,62
138,139,139,John Rollins,62
139,140,140,Pat Perez,60
140,141,141,Cameron Beckman,45
141,142,142,Darron Stiles,44
142,143,143,Eric Axley,41
143,144,144,Billy Mayfair,40
144,145,145,Ted Purdy,38
145,146,146,Michael Putnam,30
146,T147,T147,Frank Lickliter II,28
147,T147,T147,Shaun Micheel,28
148,149,149,Troy Matteson,26
149,150,150,Rocco Mediate,26
150,151,151,Fred Funk,26
151,152,152,Ben Curtis,22
152,153,153,Steve Flesch,19
153,154,154,Larry Mize,19
154,155,155,Bo Van Pelt,18
155,156,156,Omar Uresti,10
156,157,157,Mark O'Meara,7
157,158,158,Kent Jones,3
158,159,159,Tim Petrovic,2
159,160,160,Marco Dawson,2
160,161,161,Tommy Gainey,1
161,162,162,Rich Beem,1
162,T163,T163,Charlie Beljan,1
163,T163,T163,John Peterson,1
164,165,165,Matt Bettencourt,1
