,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Rory McIlroy,5,3134970
1,2,2,Jimmy Walker,7,2771831
2,3,3,Paul Casey,6,2605710
3,4,4,Dustin Johnson,6,2595283
4,5,5,Patrick Reed,7,2500890
5,6,6,Ryan Moore,8,2225956
6,7,7,Russell Knox,6,1694331
7,8,8,Jason Day,6,1658139
8,9,9,Si Woo Kim,8,1565982
9,10,10,Adam Scott,5,1467683
10,11,11,Jhonattan Vegas,6,1467059
11,12,12,Hideki Matsuyama,6,1267319
12,13,13,Emiliano Grillo,6,1248133
13,14,14,Kevin Chappell,6,1028330
14,15,15,Sean O'Hair,8,999875
15,16,16,Justin Thomas,7,965821
16,17,17,Brandt Snedeker,7,924618
17,18,18,Roberto Castro,7,909689
18,19,19,Jordan Spieth,5,901700
19,20,20,Jerry Kelly,6,848722
20,21,21,Daniel Summerhays,7,832640
21,22,22,Gary Woodland,7,793212
22,23,23,Matt Kuchar,7,790736
23,24,24,Daniel Berger,6,693570
24,25,25,Luke Donald,6,678519
25,26,26,Brooks Koepka,5,671351
26,27,27,Jason Kokrak,6,664732
27,28,28,Louis Oosthuizen,5,613876
28,29,29,Charl Schwartzel,5,609017
29,30,30,Ryan Palmer,5,593070
30,31,31,Martin Laird,5,581233
31,32,32,Ben Martin,7,581215
32,33,33,Jon Rahm,4,576560
33,34,34,Billy Horschel,5,573940
34,35,35,Kevin Na,6,571561
35,36,36,Jim Furyk,6,567910
36,37,37,William McGirt,7,541414
37,38,38,Bubba Watson,6,539572
38,39,39,J.B. Holmes,7,537731
39,40,40,Kevin Kisner,7,524142
40,41,41,Branden Grace,5,482471
41,42,42,Johnson Wagner,6,475927
42,43,43,Patrick Rodgers,5,472391
43,44,44,Jason Dufner,6,463619
44,45,45,Ricky Barnes,5,434983
45,46,46,Phil Mickelson,5,422158
46,47,47,Rickie Fowler,5,397472
47,48,48,James Hahn,5,393919
48,49,49,Billy Hurley III,7,374193
49,50,50,Robert Streb,5,371716
50,51,51,Chris Kirk,6,365563
51,52,52,Brian Harman,7,357774
52,53,53,Fabián Gómez,4,351169
53,54,54,Alex Cejka,2,342538
54,55,55,Tony Finau,6,336379
55,56,56,Henrik Stenson,3,324450
56,57,57,Robert Garrigus,5,323570
57,58,58,Tyrrell Hatton,3,316490
58,59,59,Hudson Swafford,6,314197
59,60,60,Whee Kim,4,304950
60,61,61,Martin Kaymer,1,293000
61,62,62,Bud Cauley,4,286570
62,63,63,Morgan Hoffmann,4,278400
63,64,64,David Hearn,5,277926
64,65,65,Geoff Ogilvy,4,274565
65,66,66,Tyrone Van Aswegen,5,273021
66,67,67,Shawn Stefani,5,263225
67,68,68,Spencer Levin,6,249141
68,69,69,Russell Henley,5,247536
69,70,70,Marc Leishman,5,247464
70,71,71,John Senden,6,242298
71,72,72,Steve Wheatcroft,4,239878
72,73,73,Webb Simpson,5,239759
73,74,74,Kelly Kraft,4,232613
74,75,75,Sung Kang,6,231594
75,76,76,Charley Hoffman,5,221859
76,77,77,Graeme McDowell,6,219590
77,78,78,Rafa Cabrera Bello,2,214840
78,79,79,Adam Hadwin,6,207349
79,80,80,Justin Rose,4,205410
80,81,81,Brett Stegmaier,4,204142
81,82,82,Brian Stuard,7,201776
82,83,83,Blayne Barber,5,199822
83,84,84,Brendan Steele,5,190807
84,85,85,Scott Brown,6,187609
85,86,86,Padraig Harrington,2,186194
86,87,87,Vaughn Taylor,7,185156
87,88,88,Jim Herman,5,181522
88,89,89,Scott Piercy,5,169928
89,90,90,Jamie Lovemark,6,159814
90,91,91,Ben Crane,4,159300
91,92,92,Keegan Bradley,5,157830
92,93,93,Chez Reavie,5,156849
93,94,94,Zach Johnson,6,156261
94,95,95,Kyle Stanley,5,154630
95,96,96,Chad Campbell,5,152613
96,97,97,Kyle Reifers,7,144274
97,98,98,Andrew Landry,4,137176
98,99,99,Steve Marino,4,136541
99,100,100,Bill Haas,5,131277
100,101,101,Kevin Streelman,6,128057
101,102,102,Steve Stricker,4,125120
102,103,103,Wesley Bryan,2,124800
103,104,104,Grégory Bourdy,1,121000
104,105,105,Carlos Ortiz,4,117952
105,106,106,David Lingmerth,4,112101
106,107,107,Cameron Tringale,4,111656
107,T108,T108,Stewart Cink,3,110160
108,T108,T108,Scott Langley,2,110160
109,110,110,Andres Gonzales,4,108546
110,111,111,Harris English,5,107345
111,112,112,Luke List,5,105760
112,113,113,Jon Curran,6,102358
113,114,114,K.J. Choi,4,102186
114,115,115,Aaron Baddeley,5,95515
115,116,116,Miguel Angel Carballo,4,95292
116,117,117,Michael Thompson,4,95056
117,118,118,Henrik Norlander,4,92906
118,119,119,D.A. Points,3,92400
119,120,120,Francesco Molinari,3,92210
120,121,121,Cameron Percy,4,89361
121,T122,T122,Sergio Garcia,3,86791
122,T122,T122,Charles Howell III,3,86791
123,124,124,John Huh,6,84825
124,125,125,Smylie Kaufman,5,83527
125,126,126,Cameron Smith,4,80895
126,127,127,Brice Garnett,2,70000
127,T128,T128,Andrew Loupe,5,69600
128,T128,T128,Scott Stallings,4,69600
129,T128,T128,Aaron Wise,1,69600
130,131,131,Peter Malnati,6,68355
131,132,132,Derek Fathauer,6,65280
132,133,133,Chris Stroud,4,63602
133,134,134,Matt Jones,4,63334
134,135,135,Lucas Glover,2,62410
135,136,136,Harold Varner III,5,61476
136,137,137,Derek Ernst,4,61190
137,138,138,Stuart Appleby,4,60883
138,139,139,Thomas Aiken,4,59967
139,140,140,Søren Kjeldsen,2,59083
140,141,141,Danny Lee,5,56470
141,142,142,Greg Chalmers,4,56065
142,143,143,Troy Merritt,6,55676
143,144,144,George Coetzee,2,54220
144,145,145,Patton Kizzire,5,49705
145,146,146,Scott Pinckney,4,49236
146,147,147,Abraham Ancer,4,47358
147,148,148,Ernie Els,4,47345
148,149,149,Rod Pampling,4,47324
149,150,150,Rhein Gibson,3,47184
150,151,151,Vijay Singh,5,47161
151,152,152,Charlie Danielson,1,46080
152,153,153,Tim Wilkinson,4,45665
153,T154,T154,Yuta Ikeda,1,45289
154,T154,T154,Joost Luiten,1,45289
155,T154,T154,Hideto Tanihara,1,45289
156,157,157,Freddie Jacobson,5,45201
157,158,158,Brendon de Jonge,4,45037
158,159,159,Jonas Blixt,5,43901
159,160,160,Zac Blair,5,41044
160,T161,T161,Dicky Pride,3,39007
161,T161,T161,Alex Prugh,2,39007
162,163,163,Seung-Yul Noh,5,38779
163,164,164,Michael Kim,5,37633
164,165,165,Lucas Lee,3,37500
165,166,166,Dawie van der Walt,4,37204
166,167,167,Tom Gillis,2,36616
167,168,168,Tyler Aldridge,4,36342
168,169,169,Bryce Molder,6,34396
169,170,170,Robby Shelton,2,32640
170,171,171,Chesson Hadley,4,32436
171,T172,T172,Jamie Donaldson,2,30143
172,T172,T172,Ross Fisher,1,30143
173,T172,T172,Scott Hend,1,30143
174,175,175,Jason Bohn,5,26514
175,176,176,Rory Sabbatini,3,25038
176,T177,T177,Matthew Fitzpatrick,2,25000
177,T177,T177,Alex Noren,1,25000
178,T177,T177,Andy Sullivan,1,25000
179,180,180,Boo Weekley,4,23779
180,181,181,Hiroshi Iwata,4,22976
181,182,182,Sam Saunders,4,22640
182,183,183,Young-han Song,1,22250
183,184,184,Mark Wilson,4,21000
184,185,185,D.H. Lee,4,20644
185,T186,T186,Shane Lowry,3,20160
186,T186,T186,Greg Owen,4,20160
187,188,188,Andrew Johnston,1,20000
188,189,189,Kiradech Aphibarnrat,1,18500
189,190,190,Colt Knost,5,17900
190,T191,T191,Ángel Cabrera,4,17760
191,T191,T191,Shaun Micheel,2,17760
192,T193,T193,Rich Beem,1,17450
193,T193,T193,Marcus Fraser,1,17450
194,T193,T193,Thongchai Jaidee,1,17450
195,T196,T196,Bradley Dredge,1,16900
196,T196,T196,Danny Willett,1,16900
197,T198,T198,Bryson DeChambeau,2,16573
198,T198,T198,Retief Goosen,3,16573
199,200,200,Lee Westwood,1,16500
200,201,201,Thomas Pieters,1,16400
201,202,202,Graham DeLaet,3,15555
202,T203,T203,Ken Duke,4,14302
203,T203,T203,Mark Hubbard,4,14302
204,T203,T203,Camilo Villegas,4,14302
205,206,206,Nick Taylor,4,13794
206,207,207,Hunter Mahan,4,13068
207,208,208,David Toms,3,12804
208,T209,T209,Bronson Burgoon,4,12691
209,T209,T209,Ben Curtis,1,12691
210,211,211,Robert Allenby,4,12685
211,212,212,Adam Hart,1,11760
212,213,213,Luke Guthrie,3,11312
213,214,214,Corey Conners,1,10856
214,215,215,Will MacKenzie,4,10704
215,216,216,Tim Herron,2,10320
216,T217,T217,Kent Jones,1,9792
217,T217,T217,Andres Romero,2,9792
218,219,219,Rob Oppenheim,4,9552
219,220,220,Joey Garber,3,9408
