,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,3,Rafa Cabrera Bello,10,386
1,2,4,Lee Westwood,7,353
2,3,5,Søren Kjeldsen,12,289
3,4,6,Tyrrell Hatton,5,238
4,5,7,Bryson DeChambeau,12,235
5,6,8,Martin Kaymer,10,234
6,7,9,Andy Sullivan,11,208
7,8,10,Matthew Fitzpatrick,12,169
8,9,11,Kiradech Aphibarnrat,11,155
9,10,12,Bobby Wyatt,6,137
10,11,13,Grégory Bourdy,3,124
11,12,14,Andrew Johnston,4,119
12,13,15,Chris Wood,8,118
13,14,16,Ryan Ruffels,7,110
14,15,17,Michael Johnson,4,105
15,16,18,Justin Hicks,15,98
16,17,19,Bernd Wiesberger,11,98
17,18,20,Thongchai Jaidee,8,96
18,19,21,Rodolfo Cazaubón,3,93
19,20,22,Ollie Schniederjans,7,82
20,21,23,Rafael Campos,2,75
21,22,24,Scott Hend,5,70
22,23,25,Hunter Stewart,8,67
23,24,26,George Coetzee,7,66
24,25,27,Richard Lee,11,65
25,26,28,Matthew Southgate,1,64
26,27,29,Charlie Danielson,4,61
27,28,30,Paul Dunne,4,58
28,29,31,Robby Shelton,4,54
29,30,32,Hideto Tanihara,4,54
30,31,33,Aaron Wise,2,53
31,32,34,Miguel Angel Jiménez,2,52
32,33,35,Joe Affrunti,4,46
33,34,36,David Howell,2,46
34,35,37,Yusaku Miyazato,4,45
35,36,38,Greg Yates,1,44
36,37,39,Trey Mullinax,2,43
37,38,40,Alex Noren,4,41
38,39,41,Thomas Pieters,5,40
39,40,42,Ryan Blaum,1,40
40,41,43,Martin Flores,2,40
41,42,44,Paul Peterson,1,40
42,43,45,Haydn Porteous,1,39
43,44,46,Yuta Ikeda,3,35
44,T45,T47,Daisuke Kataoka,1,34
45,T45,T47,Joost Luiten,2,34
46,47,49,Joey Garber,4,32
47,48,50,Gonzalo Fernandez-Castaño,2,30
48,49,51,James Driscoll,1,29
49,50,52,Brandon Hagy,2,27
50,T51,T53,Victor Dubuisson,5,26
51,T51,T53,Ross Fisher,4,26
52,T53,T55,Ryan Armour,1,26
53,T53,T55,Nick Mason,1,26
54,55,57,Matteo Manassero,2,24
55,T56,T58,Nicolas Colsaerts,2,22
56,T56,T58,Richard Sterne,2,22
57,58,60,Ben Taylor,2,19
58,59,61,Dean Burmester,1,17
59,60,62,Matt Dobyns,7,16
60,61,63,K.T. Kim,7,16
61,62,64,Curtis Reed,2,14
62,T63,T65,Lee Slattery,1,14
63,T63,T65,Young-han Song,2,14
64,T65,T67,Ryan Evans,1,13
65,T65,T67,Jorge Fernández-Valdés,1,13
66,T65,T67,Adam Svensson,2,13
67,T68,T70,Andrew Dodt,2,12
68,T68,T70,Prayad Marksaeng,1,12
69,70,72,Brandon Harkins,1,12
70,71,73,Blake Adams,4,11
71,72,74,Matt Marshall,1,10
72,73,75,Austin Connelly,4,9
73,T74,T76,Wes Homan,3,8
74,T74,T76,Romain Wattel,1,8
75,T76,T78,Paul Lawrie,1,7
76,T76,T78,Chase Parker,2,7
77,T78,T80,Matt Atkins,1,6
78,T78,T80,Adam Hart,2,6
79,T80,T82,Ben Leong,1,6
80,T80,T82,Ethan Tracy,4,6
81,82,84,Zander Lombard,1,5
82,83,85,Danny Chia,2,2
83,84,86,SSP Chawrasia,2,1
84,85,87,Mardan Mamat,1,1
85,T86,T88,Marcus Fraser,5,1
86,T86,T88,Arie Ahmad Irawan,1,1
87,T86,T88,Richard Lee,2,1
88,T86,T88,Conrad Shindler,1,1
89,T90,T92,Jay McLuen,1,1
90,T90,T92,Jin Park,1,1
91,92,94,Colin Montgomerie,1,1
92,T93,T95,Kodai Ichihara,1,1
93,T93,T95,Lance Lopez,1,1
94,T93,T95,Soomin Lee,2,1
95,96,98,Corey Conners,1,1
96,97,99,Bradley Dredge,1,1
97,98,100,Josh Broadaway,2,1
98,99,101,Satoshi Kodaira,3,1
