,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Jason Day,41,13.04,534.63,-287.25,384.29,AUS
1,2,2.0,Dustin Johnson,45,11.31,508.84,-173.33,437.12,USA
2,3,3.0,Rory McIlroy,42,11.07,464.82,-360.74,352.51,NIR
3,4,4.0,Jordan Spieth,52,9.29,482.91,-392.98,275.85,USA
4,5,5.0,Henrik Stenson,48,8.52,408.76,-250.36,284.84,SWE
5,6,6.0,Adam Scott,43,7.07,304.07,-161.82,279.21,AUS
6,7,7.0,Patrick Reed,52,6.1,317.24,-168.09,251.85,USA
7,8,8.0,Bubba Watson,47,6.04,283.7,-253.65,171.44,USA
8,9,9.0,Danny Willett,50,5.76,287.83,-152.97,241.64,ENG
9,10,10.0,Rickie Fowler,51,5.63,287.14,-262.54,178.97,USA
10,11,11.0,Justin Rose,50,5.35,267.45,-236.26,138.55,ENG
11,12,12.0,Paul Casey,49,5.08,248.91,-117.9,186.19,ENG
12,13,13.0,Sergio Garcia,45,5.04,226.84,-164.43,181.18,ESP
13,14,14.0,Branden Grace,52,4.89,254.37,-146.96,185.93,RSA
14,15,15.0,Phil Mickelson,43,4.89,210.27,-103.69,196.03,USA
15,16,16.0,Jimmy Walker,52,4.72,245.42,-135.47,209.93,USA
16,17,17.0,Matt Kuchar,52,4.53,235.33,-140.15,184.91,USA
17,18,18.0,Hideki Matsuyama,52,4.46,231.83,-160.31,181.95,JPN
18,19,19.0,Russell Knox,52,4.24,220.58,-94.36,155.28,SCO
19,20,23.0,Brandt Snedeker,52,4.08,212.32,-122.2,200.0,USA
20,21,20.0,Louis Oosthuizen,49,4.06,198.95,-132.25,144.28,RSA
21,22,21.0,J.B. Holmes,49,4.01,196.58,-123.59,149.83,USA
22,23,22.0,Brooks Koepka,51,4.0,204.01,-150.67,146.21,USA
23,24,24.0,Emiliano Grillo,52,3.73,193.81,-87.4,128.57,ARG
24,25,25.0,Charl Schwartzel,52,3.71,192.71,-109.47,150.95,RSA
25,26,29.0,Alex Noren,40,3.63,145.0,-41.6,123.53,SWE
26,27,26.0,Jim Furyk,40,3.6,143.89,-160.12,79.27,USA
27,28,27.0,Kevin Chappell,52,3.57,185.43,-60.48,168.34,USA
28,29,28.0,Zach Johnson,51,3.5,178.49,-139.37,91.98,USA
29,30,30.0,Rafa Cabrera Bello,52,3.4,176.94,-71.17,174.97,ESP
30,31,32.0,Chris Wood,44,3.4,149.53,-74.16,96.11,ENG
31,32,31.0,Ryan Moore,47,3.34,156.83,-82.83,138.53,USA
32,33,53.0,Tyrrell Hatton,50,3.32,165.89,-53.96,141.4,ENG
33,34,33.0,Justin Thomas,52,3.25,168.96,-91.33,113.19,USA
34,35,34.0,Scott Piercy,52,3.15,163.94,-70.47,122.88,USA
35,36,35.0,Kevin Kisner,52,3.08,160.39,-113.79,68.89,USA
36,37,36.0,Daniel Berger,52,2.99,155.72,-81.34,111.21,USA
37,38,37.0,Byeong Hun An,52,2.98,154.7,-99.67,91.84,KOR
38,39,38.0,Kevin Na,52,2.97,154.67,-120.15,94.34,USA
39,40,41.0,Shane Lowry,50,2.92,145.87,-120.22,85.63,IRL
40,41,39.0,Thomas Pieters,48,2.91,139.85,-59.68,111.62,BEL
41,42,40.0,William McGirt,52,2.9,150.67,-51.88,135.76,USA
42,43,43.0,Francesco Molinari,50,2.88,144.23,-74.54,110.3,ITA
43,44,42.0,Bill Haas,50,2.87,143.37,-109.51,112.43,USA
44,45,48.0,Martin Kaymer,52,2.75,142.93,-126.92,101.64,GER
45,46,44.0,Thongchai Jaidee,52,2.72,141.37,-104.63,77.33,THA
46,47,49.0,Søren Kjeldsen,52,2.7,140.24,-78.8,81.44,DEN
47,48,45.0,Matthew Fitzpatrick,52,2.68,139.48,-72.52,73.89,ENG
48,49,46.0,Gary Woodland,50,2.66,133.12,-79.27,107.49,USA
49,50,47.0,Lee Westwood,49,2.63,128.95,-97.29,91.97,ENG
50,51,50.0,Andy Sullivan,52,2.58,134.02,-97.71,87.0,ENG
51,52,55.0,Si Woo Kim,52,2.56,132.96,-24.62,126.21,KOR
52,53,52.0,Marc Leishman,50,2.56,127.84,-101.24,65.35,AUS
53,54,51.0,Charley Hoffman,52,2.52,131.16,-91.9,96.97,USA
54,55,54.0,Danny Lee,52,2.48,128.74,-85.98,80.82,NZL
55,56,58.0,Bernd Wiesberger,52,2.4,124.74,-103.08,78.01,AUT
56,57,56.0,K.T. Kim,52,2.39,124.03,-62.15,77.22,KOR
57,58,57.0,David Lingmerth,52,2.36,122.46,-81.08,82.87,SWE
58,59,59.0,Daniel Summerhays,52,2.29,119.22,-53.22,91.0,USA
59,60,60.0,Jason Dufner,52,2.28,118.43,-56.14,118.33,USA
60,61,61.0,James Hahn,52,2.24,116.26,-57.53,96.48,USA
61,62,62.0,Ryan Palmer,47,2.22,104.52,-85.15,81.86,USA
62,63,63.0,Joost Luiten,52,2.22,115.36,-78.29,102.19,NED
63,64,65.0,Scott Hend,52,2.13,110.68,-55.1,97.17,AUS
64,65,64.0,Harris English,52,2.12,110.49,-64.39,93.21,USA
65,66,66.0,Roberto Castro,49,2.1,102.92,-21.6,97.49,USA
66,67,79.0,Yuta Ikeda,52,2.1,109.07,-56.21,75.88,JPN
67,68,67.0,Kiradech Aphibarnrat,52,2.07,107.49,-84.22,46.29,THA
68,69,68.0,Luke Donald,52,2.04,106.17,-68.29,79.67,ENG
69,70,70.0,Webb Simpson,44,2.03,89.26,-68.89,65.3,USA
70,71,71.0,Billy Horschel,50,2.02,100.96,-121.22,80.53,USA
71,72,69.0,Hideto Tanihara,51,2.0,102.0,-43.0,81.84,JPN
72,73,73.0,Jhonattan Vegas,52,1.95,101.53,-23.53,93.46,VEN
73,74,72.0,Fabián Gómez,52,1.95,101.21,-55.81,93.91,ARG
74,75,92.0,Ross Fisher,49,1.93,94.53,-61.27,61.02,ENG
75,76,74.0,Chris Kirk,52,1.9,98.75,-106.51,71.84,USA
76,77,75.0,Sean O'Hair,52,1.88,97.61,-44.79,74.51,USA
77,78,77.0,Tony Finau,52,1.84,95.6,-60.64,69.02,USA
78,79,76.0,Andrew Johnston,50,1.83,91.7,-35.68,90.64,ENG
79,80,81.0,Graeme McDowell,52,1.82,94.64,-82.71,64.96,NIR
80,81,84.0,Bradley Dredge,41,1.79,73.57,-28.99,69.81,WAL
81,82,80.0,Steve Stricker,40,1.79,71.5,-27.92,68.84,USA
82,83,78.0,Robert Streb,52,1.78,92.69,-90.53,42.25,USA
83,84,82.0,Jim Herman,52,1.75,91.24,-40.12,80.7,USA
