,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
0,1,1,Michael Johnson,1,8.8
1,2,2,Rob Oppenheim,1,8.7
2,T3,T3,Greg Chalmers,3,8.6
3,T3,T3,Brian Gay,1,8.6
4,5,5,Greg Owen,1,8.5
5,6,6,Maverick McNealy,1,8.4
6,T7,T7,Chad Collins,1,8.3
7,T7,T7,Gonzalo Fernandez-Castaño,1,8.3
8,T7,T7,Robby Shelton,2,8.3
9,T7,T7,Henrik Stenson,2,8.3
10,11,11,Danny Lee,1,8.2
11,T12,T12,Martin Flores,3,8.1
12,T12,T12,Kent Jones,1,8.1
13,T12,T12,Gary Woodland,4,8.1
14,15,15,Luke List,2,8.0
15,T16,T16,Alex Cejka,1,7.9
16,T16,T16,K.T. Kim,1,7.9
17,T16,T16,Brandt Snedeker,5,7.9
18,19,19,John Huh,3,7.7
19,T20,T20,Victor Dubuisson,1,7.6
20,T20,T20,Ken Duke,1,7.6
21,T20,T20,Derek Fathauer,1,7.6
22,T20,T20,Retief Goosen,2,7.6
23,T24,T24,Rickie Fowler,4,7.5
24,T24,T24,Brice Garnett,1,7.5
25,T24,T24,Luke Guthrie,1,7.5
26,T24,T24,Richard Lee,1,7.5
27,T24,T24,Andres Romero,1,7.5
28,T24,T24,Young-han Song,2,7.5
29,T30,T30,Luke Donald,4,7.4
30,T30,T30,Ross Fisher,2,7.4
31,T30,T30,Jerry Kelly,2,7.4
32,T30,T30,Seung-Yul Noh,2,7.4
33,T30,T30,Aaron Wise,1,7.4
34,T35,T35,Ricky Barnes,5,7.3
35,T35,T35,Tim Clark,1,7.3
36,T35,T35,Tyrrell Hatton,2,7.3
37,T35,T35,Hideki Matsuyama,4,7.3
38,T35,T35,Kevin Na,3,7.3
39,T35,T35,Patrick Reed,5,7.3
40,T35,T35,Justin Thomas,3,7.3
