,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Rory McIlroy,18,3120,2.0,8.0,,1120.0
1,2,2,Dustin Johnson,22,2380,3.0,15.0,740.0,2000.0
2,3,3,Patrick Reed,28,1986,1.0,11.0,1134.0,1800.0
3,4,4,Adam Scott,20,1930,2.0,9.0,1190.0,1600.0
4,5,5,Paul Casey,22,1880,,7.0,1240.0,1280.0
5,6,6,Jason Day,20,1440,3.0,10.0,1680.0,1440.0
6,7,7,Ryan Moore,23,1336,1.0,9.0,1784.0,336.0
7,8,8,Kevin Chappell,27,1320,,8.0,1800.0,320.0
8,9,9,Jordan Spieth,21,1168,2.0,8.0,1952.0,960.0
9,10,10,Russell Knox,25,992,2.0,4.0,2128.0,800.0
10,11,11,Emiliano Grillo,25,902,1.0,3.0,2218.0,640.0
11,12,12,Justin Thomas,28,748,1.0,7.0,2372.0,368.0
12,13,13,Hideki Matsuyama,23,728,1.0,8.0,2392.0,288.0
13,14,14,Jimmy Walker,25,652,1.0,5.0,2468.0,480.0
14,15,15,Brandt Snedeker,27,592,1.0,7.0,2528.0,384.0
15,16,16,Phil Mickelson,22,548,,6.0,2572.0,352.0
16,17,17,Si Woo Kim,34,534,1.0,5.0,2586.0,272.0
17,18,18,Matt Kuchar,26,526,,10.0,2594.0,304.0
18,19,19,Jason Dufner,28,522,1.0,6.0,2598.0,192.0
19,20,20,Gary Woodland,26,510,,4.0,2610.0,248.0
20,21,21,Bubba Watson,19,478,1.0,4.0,2642.0,216.0
21,22,22,Roberto Castro,27,448,,4.0,2672.0,240.0
22,23,23,Kevin Kisner,27,436,1.0,6.0,2684.0,256.0
23,24,24,William McGirt,28,432,1.0,7.0,2688.0,224.0
24,25,25,Charl Schwartzel,19,430,1.0,5.0,2690.0,168.0
25,26,26,Daniel Berger,26,422,1.0,6.0,2698.0,200.0
26,27,27,Sean O'Hair,27,416,,2.0,2704.0,208.0
27,28,28,Kevin Na,26,400,,8.0,2720.0,232.0
28,29,29,Jhonattan Vegas,27,362,1.0,5.0,2758.0,176.0
29,30,30,J.B. Holmes,22,360,,6.0,2760.0,184.0
30,31,31,Rickie Fowler,23,1607,,8.0,3582.0,
31,32,32,Sergio Garcia,15,1566,1.0,4.0,3623.0,
32,33,33,Jason Kokrak,28,1554,,4.0,3635.0,
33,34,34,Ryan Palmer,23,1545,,3.0,3644.0,
34,35,35,Brooks Koepka,21,1541,,7.0,3648.0,
35,36,36,Henrik Stenson,14,1499,1.0,4.0,3690.0,
36,37,37,Scott Piercy,24,1497,,3.0,3692.0,
37,38,38,Louis Oosthuizen,17,1468,,3.0,3721.0,
38,39,39,James Hahn,26,1452,1.0,3.0,3737.0,
39,40,40,Fabián Gómez,26,1450,1.0,4.0,3739.0,
40,41,41,Branden Grace,18,1443,1.0,6.0,3746.0,
41,42,42,Jim Herman,29,1415,1.0,2.0,3774.0,
42,43,43,Smylie Kaufman,28,1409,1.0,4.0,3780.0,
43,44,44,Charley Hoffman,26,1383,1.0,1.0,3806.0,
44,45,45,Tony Finau,28,1314,1.0,2.0,3875.0,
45,46,46,Bill Haas,24,1285,,6.0,3904.0,
46,47,47,Harris English,27,1270,,3.0,3919.0,
47,48,48,Graeme McDowell,21,1250,1.0,5.0,3939.0,
48,49,49,Jamie Lovemark,27,1232,,5.0,3957.0,
49,50,50,Billy Horschel,20,1199,,5.0,3990.0,
50,51,51,Justin Rose,18,1191,,5.0,3998.0,
51,52,52,Charles Howell III,25,1191,,5.0,3998.0,
52,53,53,Brian Harman,31,1187,,2.0,4002.0,
53,54,54,Chris Kirk,28,1167,,3.0,4022.0,
54,55,55,Billy Hurley III,20,1121,1.0,2.0,4068.0,
55,56,56,David Hearn,29,1084,,2.0,4105.0,
56,57,57,Zach Johnson,24,1071,,5.0,4118.0,
57,58,58,Luke Donald,23,1055,,2.0,4134.0,
58,59,59,Kevin Streelman,26,1042,,2.0,4147.0,
59,60,60,Brian Stuard,20,1040,1.0,1.0,4149.0,
60,61,61,Kyle Reifers,34,1013,,5.0,4176.0,
61,62,62,Vaughn Taylor,24,1006,1.0,1.0,4183.0,
62,63,63,Brendan Steele,25,1001,,2.0,4188.0,
63,64,64,Hudson Swafford,30,981,,1.0,4208.0,
64,65,65,Daniel Summerhays,28,975,,2.0,4214.0,
65,66,66,Jon Curran,30,950,,3.0,4239.0,
66,67,67,David Lingmerth,24,925,,2.0,4264.0,
67,68,68,Marc Leishman,25,923,,2.0,4266.0,
68,69,69,Aaron Baddeley,28,922,1.0,5.0,4267.0,
69,70,70,Ben Martin,28,901,,2.0,4288.0,
70,71,71,Ricky Barnes,29,844,,4.0,4345.0,
71,72,72,Jerry Kelly,23,834,,2.0,4355.0,
72,73,73,Chad Campbell,28,829,,3.0,4360.0,
73,74,74,Patrick Rodgers,28,827,,3.0,4362.0,
74,75,75,Harold Varner III,28,819,,4.0,4370.0,
75,76,76,Steve Stricker,15,815,,3.0,4374.0,
76,77,77,Martin Laird,24,811,,3.0,4378.0,
77,78,78,Johnson Wagner,26,808,,3.0,4381.0,
78,79,79,Colt Knost,26,803,,3.0,4386.0,
79,80,80,Scott Brown,27,781,,4.0,4408.0,
80,81,81,Chez Reavie,27,772,,2.0,4417.0,
81,82,82,Patton Kizzire,27,760,,5.0,4429.0,
82,83,83,Alex Cejka,22,754,,4.0,4435.0,
83,84,84,Webb Simpson,20,750,,2.0,4439.0,
84,85,85,Adam Hadwin,27,748,,2.0,4441.0,
85,86,86,Jim Furyk,14,745,,3.0,4444.0,
86,87,87,Russell Henley,25,726,,4.0,4463.0,
87,88,88,John Senden,28,719,,1.0,4470.0,
88,89,89,Bryce Molder,26,718,,5.0,4471.0,
89,90,90,Freddie Jacobson,26,714,,3.0,4475.0,
90,91,91,K.J. Choi,22,705,,2.0,4484.0,
91,92,92,Danny Lee,28,699,,2.0,4490.0,
92,93,93,Danny Willett,9,691,1.0,3.0,4498.0,
93,94,94,Spencer Levin,32,690,,2.0,4499.0,
94,95,95,John Huh,28,690,,3.0,4499.0,
95,96,96,Sung Kang,29,679,,2.0,4510.0,
96,97,97,Jason Bohn,21,670,,3.0,4519.0,
97,98,98,Tyrone Van Aswegen,31,658,,2.0,4531.0,
98,99,99,Vijay Singh,22,646,,2.0,4543.0,
99,100,100,Derek Fathauer,30,633,,1.0,4556.0,
100,101,101,Blayne Barber,27,628,,1.0,4561.0,
101,102,102,Shane Lowry,17,615,,2.0,4574.0,
102,103,103,Keegan Bradley,26,605,,2.0,4584.0,
103,104,104,Peter Malnati,32,599,1.0,3.0,4590.0,
104,105,105,Robert Streb,27,594,,1.0,4595.0,
105,106,106,Lucas Glover,23,590,,2.0,4599.0,
106,107,107,Jonas Blixt,26,576,,2.0,4613.0,
107,108,108,Brett Stegmaier,29,559,,3.0,4630.0,
108,109,109,Robert Garrigus,21,558,,3.0,4631.0,
109,110,110,Zac Blair,31,557,,2.0,4632.0,
110,111,111,Francesco Molinari,18,550,,3.0,4639.0,
111,112,112,Cameron Tringale,25,539,,1.0,4650.0,
112,113,113,Andrew Loupe,27,535,,4.0,4654.0,
113,114,114,Boo Weekley,26,532,,2.0,4657.0,
114,115,115,Mark Hubbard,30,503,,,4686.0,
115,116,116,Kyle Stanley,28,501,,,4688.0,
116,117,117,Ben Crane,27,500,,1.0,4689.0,
117,118,118,Michael Kim,29,500,,,4689.0,
118,119,119,Anirban Lahiri,21,494,,1.0,4695.0,
119,120,120,Graham DeLaet,21,490,,3.0,4699.0,
120,121,121,Troy Merritt,26,482,,1.0,4707.0,
121,122,122,Luke List,27,481,,2.0,4708.0,
122,123,123,Shawn Stefani,29,481,,1.0,4708.0,
123,124,124,David Toms,19,455,,1.0,4734.0,
124,125,125,Seung-Yul Noh,28,454,,1.0,4735.0,
125,126,126,Matt Jones,27,445,,,4744.0,
126,127,127,Whee Kim,27,444,,2.0,4745.0,
127,128,128,Scott Stallings,27,443,,1.0,4746.0,
128,129,129,Nick Taylor,26,441,,1.0,4748.0,
129,130,130,Steve Marino,24,429,,2.0,4760.0,
130,131,131,Bronson Burgoon,27,428,,,4761.0,
131,132,132,Tim Wilkinson,22,426,,1.0,4763.0,
132,133,133,Morgan Hoffmann,25,424,,1.0,4765.0,
133,134,134,Chris Stroud,27,412,,1.0,4777.0,
134,135,135,Bud Cauley,14,409,,3.0,4780.0,
135,136,136,Chad Collins,26,402,,1.0,4787.0,
136,137,137,Steve Wheatcroft,26,400,,2.0,4789.0,
137,138,138,Willy Wilcox,23,399,,2.0,4790.0,
138,139,139,Padraig Harrington,16,393,,1.0,4796.0,
139,140,140,Tyler Aldridge,28,384,,,4805.0,
140,141,141,Retief Goosen,16,380,,,4809.0,
141,142,142,Greg Chalmers,12,366,1.0,1.0,4823.0,
142,143,143,Stuart Appleby,23,360,,,4829.0,
143,144,144,Tom Hoge,26,349,,2.0,4840.0,
144,145,145,Michael Thompson,23,340,,1.0,4849.0,
145,146,146,Hiroshi Iwata,29,339,,1.0,4850.0,
146,147,147,Stewart Cink,19,331,,,4858.0,
147,148,148,Sam Saunders,24,324,,2.0,4865.0,
148,149,149,Jamie Donaldson,13,322,,,4867.0,
149,150,150,Greg Owen,29,319,,1.0,4870.0,
