,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Rory McIlroy,18,3120,2.0,8.0,,1120.0
1,2,2,Dustin Johnson,22,2380,3.0,15.0,740.0,2000.0
2,3,3,Patrick Reed,28,1986,1.0,11.0,1134.0,1800.0
3,4,4,Adam Scott,20,1930,2.0,9.0,1190.0,1600.0
4,5,5,Paul Casey,22,1880,,7.0,1240.0,1280.0
5,6,6,Jason Day,20,1440,3.0,10.0,1680.0,1440.0
6,7,7,Ryan Moore,23,1336,1.0,9.0,1784.0,336.0
7,8,8,Kevin Chappell,27,1320,,8.0,1800.0,320.0
8,9,9,Jordan Spieth,21,1168,2.0,8.0,1952.0,960.0
9,10,10,Russell Knox,25,992,2.0,4.0,2128.0,800.0
10,11,11,Emiliano Grillo,25,902,1.0,3.0,2218.0,640.0
11,12,12,Justin Thomas,28,748,1.0,7.0,2372.0,368.0
12,13,13,Hideki Matsuyama,23,728,1.0,8.0,2392.0,288.0
13,14,14,Jimmy Walker,25,652,1.0,5.0,2468.0,480.0
14,15,15,Brandt Snedeker,27,592,1.0,7.0,2528.0,384.0
15,16,16,Phil Mickelson,22,548,,6.0,2572.0,352.0
16,17,17,Si Woo Kim,34,534,1.0,5.0,2586.0,272.0
17,18,18,Matt Kuchar,26,526,,10.0,2594.0,304.0
18,19,19,Jason Dufner,28,522,1.0,6.0,2598.0,192.0
19,20,20,Gary Woodland,26,510,,4.0,2610.0,248.0
20,21,21,Bubba Watson,19,478,1.0,4.0,2642.0,216.0
21,22,22,Roberto Castro,27,448,,4.0,2672.0,240.0
22,23,23,Kevin Kisner,27,436,1.0,6.0,2684.0,256.0
23,24,24,William McGirt,28,432,1.0,7.0,2688.0,224.0
24,25,25,Charl Schwartzel,19,430,1.0,5.0,2690.0,168.0
25,26,26,Daniel Berger,26,422,1.0,6.0,2698.0,200.0
26,27,27,Sean O'Hair,27,416,,2.0,2704.0,208.0
27,28,28,Kevin Na,26,400,,8.0,2720.0,232.0
28,29,29,Jhonattan Vegas,27,362,1.0,5.0,2758.0,176.0
29,30,30,J.B. Holmes,22,360,,6.0,2760.0,184.0
30,31,31,Rickie Fowler,23,1607,,8.0,3962.0,
31,32,32,Sergio Garcia,15,1566,1.0,4.0,4003.0,
32,33,33,Jason Kokrak,28,1554,,4.0,4015.0,
33,34,34,Ryan Palmer,23,1545,,3.0,4024.0,
34,35,35,Brooks Koepka,21,1541,,7.0,4028.0,
35,36,36,Henrik Stenson,14,1499,1.0,4.0,4070.0,
36,37,37,Scott Piercy,24,1497,,3.0,4072.0,
37,38,38,Louis Oosthuizen,17,1468,,3.0,4101.0,
38,39,39,James Hahn,26,1452,1.0,3.0,4117.0,
39,40,40,Fabián Gómez,26,1450,1.0,4.0,4119.0,
40,41,41,Branden Grace,18,1443,1.0,6.0,4126.0,
41,42,42,Jim Herman,29,1415,1.0,2.0,4154.0,
42,43,43,Smylie Kaufman,28,1409,1.0,4.0,4160.0,
43,44,44,Charley Hoffman,26,1383,1.0,1.0,4186.0,
44,45,45,Tony Finau,28,1314,1.0,2.0,4255.0,
45,46,46,Bill Haas,24,1285,,6.0,4284.0,
46,47,47,Harris English,27,1270,,3.0,4299.0,
47,48,48,Graeme McDowell,21,1250,1.0,5.0,4319.0,
48,49,49,Jamie Lovemark,27,1232,,5.0,4337.0,
49,50,50,Billy Horschel,20,1199,,5.0,4370.0,
50,51,51,Justin Rose,18,1191,,5.0,4378.0,
51,52,52,Charles Howell III,25,1191,,5.0,4378.0,
52,53,53,Brian Harman,31,1187,,2.0,4382.0,
53,54,54,Chris Kirk,28,1167,,3.0,4402.0,
54,55,55,Billy Hurley III,20,1121,1.0,2.0,4448.0,
55,56,56,David Hearn,29,1084,,2.0,4485.0,
56,57,57,Zach Johnson,24,1071,,5.0,4498.0,
57,58,58,Luke Donald,23,1055,,2.0,4514.0,
58,59,59,Kevin Streelman,26,1042,,2.0,4527.0,
59,60,60,Brian Stuard,20,1040,1.0,1.0,4529.0,
60,61,61,Kyle Reifers,34,1013,,5.0,4556.0,
61,62,62,Vaughn Taylor,24,1006,1.0,1.0,4563.0,
62,63,63,Brendan Steele,25,1001,,2.0,4568.0,
63,64,64,Hudson Swafford,30,981,,1.0,4588.0,
64,65,65,Daniel Summerhays,28,975,,2.0,4594.0,
65,66,66,Jon Curran,30,950,,3.0,4619.0,
66,67,67,David Lingmerth,24,925,,2.0,4644.0,
67,68,68,Marc Leishman,25,923,,2.0,4646.0,
68,69,69,Aaron Baddeley,28,922,1.0,5.0,4647.0,
69,70,70,Ben Martin,28,901,,2.0,4668.0,
70,71,71,Ricky Barnes,29,844,,4.0,4725.0,
71,72,72,Jerry Kelly,23,834,,2.0,4735.0,
72,73,73,Chad Campbell,28,829,,3.0,4740.0,
73,74,74,Patrick Rodgers,28,827,,3.0,4742.0,
74,75,75,Harold Varner III,28,819,,4.0,4750.0,
75,76,76,Steve Stricker,15,815,,3.0,4754.0,
76,77,77,Martin Laird,24,811,,3.0,4758.0,
77,78,78,Johnson Wagner,26,808,,3.0,4761.0,
78,79,79,Colt Knost,26,803,,3.0,4766.0,
79,80,80,Scott Brown,27,781,,4.0,4788.0,
80,81,81,Chez Reavie,27,772,,2.0,4797.0,
81,82,82,Patton Kizzire,27,760,,5.0,4809.0,
82,83,83,Alex Cejka,22,754,,4.0,4815.0,
83,84,84,Webb Simpson,20,750,,2.0,4819.0,
84,85,85,Adam Hadwin,27,748,,2.0,4821.0,
85,86,86,Jim Furyk,14,745,,3.0,4824.0,
86,87,87,Russell Henley,25,726,,4.0,4843.0,
87,88,88,John Senden,28,719,,1.0,4850.0,
88,89,89,Bryce Molder,26,718,,5.0,4851.0,
89,90,90,Freddie Jacobson,26,714,,3.0,4855.0,
90,91,91,K.J. Choi,22,705,,2.0,4864.0,
91,92,92,Danny Lee,28,699,,2.0,4870.0,
92,93,93,Danny Willett,9,691,1.0,3.0,4878.0,
93,94,94,Spencer Levin,32,690,,2.0,4879.0,
94,95,95,John Huh,28,690,,3.0,4879.0,
95,96,96,Sung Kang,29,679,,2.0,4890.0,
96,97,97,Jason Bohn,21,670,,3.0,4899.0,
97,98,98,Tyrone Van Aswegen,31,658,,2.0,4911.0,
98,99,99,Vijay Singh,22,646,,2.0,4923.0,
99,100,100,Derek Fathauer,30,633,,1.0,4936.0,
100,101,101,Blayne Barber,27,628,,1.0,4941.0,
101,102,102,Shane Lowry,17,615,,2.0,4954.0,
102,103,103,Keegan Bradley,26,605,,2.0,4964.0,
103,104,104,Peter Malnati,32,599,1.0,3.0,4970.0,
104,105,105,Robert Streb,27,594,,1.0,4975.0,
105,106,106,Lucas Glover,23,590,,2.0,4979.0,
106,107,107,Jonas Blixt,26,576,,2.0,4993.0,
107,108,108,Brett Stegmaier,29,559,,3.0,5010.0,
108,109,109,Robert Garrigus,21,558,,3.0,5011.0,
109,110,110,Zac Blair,31,557,,2.0,5012.0,
110,111,111,Francesco Molinari,18,550,,3.0,5019.0,
111,112,112,Cameron Tringale,25,539,,1.0,5030.0,
112,113,113,Andrew Loupe,27,535,,4.0,5034.0,
113,114,114,Boo Weekley,26,532,,2.0,5037.0,
114,115,115,Mark Hubbard,30,503,,,5066.0,
115,116,116,Kyle Stanley,28,501,,,5068.0,
116,117,117,Ben Crane,27,500,,1.0,5069.0,
117,118,118,Michael Kim,29,500,,,5069.0,
118,119,119,Anirban Lahiri,21,494,,1.0,5075.0,
119,120,120,Graham DeLaet,21,490,,3.0,5079.0,
120,121,121,Troy Merritt,26,482,,1.0,5087.0,
121,122,122,Luke List,27,481,,2.0,5088.0,
122,123,123,Shawn Stefani,29,481,,1.0,5088.0,
123,124,124,David Toms,19,455,,1.0,5114.0,
124,125,125,Seung-Yul Noh,28,454,,1.0,5115.0,
125,126,126,Matt Jones,27,445,,,5124.0,
126,127,127,Whee Kim,27,444,,2.0,5125.0,
127,128,128,Scott Stallings,27,443,,1.0,5126.0,
128,129,129,Nick Taylor,26,441,,1.0,5128.0,
129,130,130,Steve Marino,24,429,,2.0,5140.0,
130,131,131,Bronson Burgoon,27,428,,,5141.0,
131,132,132,Tim Wilkinson,22,426,,1.0,5143.0,
132,133,133,Morgan Hoffmann,25,424,,1.0,5145.0,
133,134,134,Chris Stroud,27,412,,1.0,5157.0,
134,135,135,Bud Cauley,14,409,,3.0,5160.0,
135,136,136,Chad Collins,26,402,,1.0,5167.0,
136,137,137,Steve Wheatcroft,26,400,,2.0,5169.0,
137,138,138,Willy Wilcox,23,399,,2.0,5170.0,
138,139,139,Padraig Harrington,16,393,,1.0,5176.0,
139,140,140,Tyler Aldridge,28,384,,,5185.0,
140,141,141,Retief Goosen,16,380,,,5189.0,
141,142,142,Greg Chalmers,12,366,1.0,1.0,5203.0,
142,143,143,Stuart Appleby,23,360,,,5209.0,
143,144,144,Tom Hoge,26,349,,2.0,5220.0,
144,145,145,Michael Thompson,23,340,,1.0,5229.0,
145,146,146,Hiroshi Iwata,29,339,,1.0,5230.0,
146,147,147,Stewart Cink,19,331,,,5238.0,
147,148,148,Sam Saunders,24,324,,2.0,5245.0,
148,149,149,Jamie Donaldson,13,322,,,5247.0,
149,150,150,Greg Owen,29,319,,1.0,5250.0,
150,151,151,Will MacKenzie,26,317,,1.0,5252.0,
151,152,152,Camilo Villegas,27,313,,,5256.0,
152,153,153,Ken Duke,20,309,,2.0,5260.0,
153,154,154,Andres Gonzales,28,307,,1.0,5262.0,
154,155,155,Jason Gore,27,307,,,5262.0,
155,156,156,Brendon de Jonge,30,304,,,5265.0,
156,157,157,Cameron Smith,24,304,,,5265.0,
157,158,158,Rob Oppenheim,21,300,,1.0,5269.0,
158,159,159,Chesson Hadley,27,293,,,5276.0,
159,160,160,Jeff Overton,25,289,,1.0,5280.0,
160,161,161,Geoff Ogilvy,22,283,,1.0,5286.0,
161,162,162,Martin Piller,22,278,,2.0,5291.0,
162,163,163,Ernie Els,21,273,,1.0,5296.0,
163,164,164,Henrik Norlander,21,273,,,5296.0,
164,165,165,Kelly Kraft,20,273,,1.0,5296.0,
165,166,166,Thomas Aiken,23,268,,,5301.0,
166,167,167,Scott Langley,22,266,,,5303.0,
167,168,168,Cameron Percy,15,258,,,5311.0,
168,169,169,Scott Pinckney,29,258,,,5311.0,
169,170,170,Wes Roach,21,241,,,5328.0,
170,171,171,Dawie van der Walt,25,239,,,5330.0,
171,172,172,Carlos Ortiz,29,238,,,5331.0,
172,173,173,Erik Compton,24,236,,,5333.0,
173,174,174,Ian Poulter,13,236,,1.0,5333.0,
174,175,175,Luke Guthrie,19,234,,1.0,5335.0,
175,176,176,Mark Wilson,21,225,,,5344.0,
176,177,177,Brice Garnett,15,222,,2.0,5347.0,
177,178,178,Andrew Landry,18,217,,1.0,5352.0,
178,179,179,Steven Bowditch,26,192,,1.0,5377.0,
179,180,180,Ángel Cabrera,22,187,,,5382.0,
180,181,181,Justin Leonard,13,186,,,5383.0,
181,182,182,Tim Herron,14,186,,1.0,5383.0,
182,183,183,Hunter Mahan,22,174,,,5395.0,
183,184,184,D.A. Points,18,167,,,5402.0,
184,185,185,J.J. Henry,24,162,,,5407.0,
185,186,186,Derek Ernst,20,159,,,5410.0,
186,187,187,Miguel Angel Carballo,18,159,,1.0,5410.0,
187,188,188,Davis Love III,15,154,,,5415.0,
188,189,189,Brian Gay,13,149,,1.0,5420.0,
189,190,190,Abraham Ancer,19,147,,,5422.0,
190,191,191,Rory Sabbatini,20,143,,,5426.0,
191,192,192,George McNeill,23,134,,,5435.0,
192,193,193,Alex Prugh,13,133,,,5436.0,
193,194,194,D.J. Trahan,14,124,,1.0,5445.0,
194,195,195,Rod Pampling,18,122,,,5447.0,
195,196,196,Wesley Bryan,4,122,,1.0,5447.0,
196,197,197,Andres Romero,14,120,,1.0,5449.0,
197,198,198,John Merrick,12,114,,,5455.0,
198,199,199,Rhein Gibson,20,113,,,5456.0,
199,200,200,Matt Every,17,112,,,5457.0,
200,201,201,D.H. Lee,22,104,,,5465.0,
201,202,202,Nick Watney,5,99,,,5470.0,
202,203,203,Lucas Lee,16,93,,,5476.0,
203,204,204,Shane Bertsch,9,91,,,5478.0,
204,205,205,Tim Clark,7,86,,,5483.0,
205,206,206,Dicky Pride,21,84,,,5485.0,
206,207,207,Jonathan Byrd,6,73,,,5496.0,
