,Consecutive_Par_3_Birdies_RANK THIS WEEK,Consecutive_Par_3_Birdies_RANK LAST WEEK,Consecutive_Par_3_Birdies_PLAYER NAME,Consecutive_Par_3_Birdies_EVENTS,Consecutive_Par_3_Birdies_NUMBER OF HOLES
0,1,1,Ricky Barnes,22,5
1,T2,T2,Ryan Armour,32,4
2,T2,T2,Daniel Berger,23,4
3,T2,T2,Keegan Bradley,27,4
4,T2,T2,Austin Cook,29,4
5,T2,T2,Bryson DeChambeau,26,4
6,T2,T2,Tony Finau,28,4
7,T2,T2,Brice Garnett,30,4
8,T2,T2,Chesson Hadley,30,4
9,T2,T2,Chris Kirk,29,4
10,T2,T2,Marc Leishman,25,4
11,T2,T2,Peter Malnati,28,4
12,T2,T2,Trey Mullinax,24,4
13,T2,T2,Geoff Ogilvy,18,4
14,T2,T2,Jon Rahm,20,4
15,T2,T2,Brandt Snedeker,25,4
16,T2,T2,Justin Thomas,23,4
17,T2,T2,Johnson Wagner,21,4
18,T19,T19,Byeong Hun An,24,3
19,T19,T19,Abraham Ancer,30,3
20,T19,T19,Matt Atkins,21,3
21,T19,T19,Blayne Barber,22,3
22,T19,T19,Ryan Blaum,28,3
23,T19,T19,Wesley Bryan,23,3
24,T19,T19,Jonathan Byrd,24,3
25,T19,T19,Rafa Cabrera Bello,20,3
26,T19,T19,Chad Campbell,28,3
27,T19,T19,Paul Casey,20,3
28,T19,T19,Stewart Cink,25,3
29,T19,T19,Wyndham Clark,3,3
30,T19,T19,Corey Conners,28,3
31,T19,T19,Joel Dahmen,28,3
32,T19,T19,Jason Dufner,22,3
33,T19,T19,Ken Duke,15,3
34,T19,T19,Tyler Duncan,31,3
35,T19,T19,Harris English,31,3
36,T19,T19,Matt Every,30,3
37,T19,T19,Tommy Fleetwood,19,3
38,T19,T19,Martin Flores,29,3
39,T19,T19,Robert Garrigus,27,3
40,T19,T19,Brian Gay,30,3
41,T19,T19,Branden Grace,18,3
42,T19,T19,Bill Haas,25,3
43,T19,T19,Brandon Harkins,30,3
44,T19,T19,Brian Harman,25,3
45,T19,T19,Tyrrell Hatton,16,3
46,T19,T19,David Hearn,21,3
47,T19,T19,Russell Henley,23,3
48,T19,T19,J.J. Henry,28,3
49,T19,T19,Tom Hoge,31,3
50,T19,T19,Beau Hossler,28,3
51,T19,T19,Charles Howell III,28,3
52,T19,T19,John Huh,29,3
53,T19,T19,Zach Johnson,25,3
54,T19,T19,Dustin Johnson,20,3
55,T19,T19,Sung Kang,29,3
56,T19,T19,Whee Kim,30,3
57,T19,T19,Si Woo Kim,31,3
58,T19,T19,Michael Kim,27,3
59,T19,T19,Kevin Kisner,25,3
60,T19,T19,Patton Kizzire,29,3
61,T19,T19,Brooks Koepka,17,3
62,T19,T19,Jason Kokrak,29,3
63,T19,T19,Matt Kuchar,24,3
64,T19,T19,Anirban Lahiri,24,3
65,T19,T19,Martin Laird,22,3
66,T19,T19,Andrew Landry,27,3
67,T19,T19,Danny Lee,30,3
68,T19,T19,Davis Love III,12,3
69,T19,T19,Jamie Lovemark,26,3
70,T19,T19,Hideki Matsuyama,21,3
71,T19,T19,Denny McCarthy,22,3
72,T19,T19,Troy Merritt,27,3
73,T19,T19,Phil Mickelson,24,3
74,T19,T19,Keith Mitchell,29,3
75,T19,T19,Francesco Molinari,20,3
76,T19,T19,Kevin Na,26,3
77,T19,T19,Joaquin Niemann,13,3
78,T19,T19,Alex Noren,18,3
79,T19,T19,Louis Oosthuizen,17,3
80,T19,T19,Rod Pampling,20,3
81,T19,T19,Cameron Percy,16,3
82,T19,T19,Pat Perez,23,3
83,T19,T19,"Ted Potter, Jr.",28,3
84,T19,T19,Chez Reavie,28,3
85,T19,T19,Patrick Reed,26,3
86,T19,T19,Rory Sabbatini,27,3
87,T19,T19,Ollie Schniederjans,27,3
88,T19,T19,Adam Scott,21,3
89,T19,T19,Conrad Shindler,20,3
90,T19,T19,Ben Silverman,28,3
91,T19,T19,Kyle Stanley,26,3
92,T19,T19,Brett Stegmaier,21,3
93,T19,T19,Robert Streb,29,3
94,T19,T19,Daniel Summerhays,19,3
95,T19,T19,Julian Suri,10,3
96,T19,T19,Vaughn Taylor,25,3
97,T19,T19,Nick Taylor,30,3
98,T19,T19,Ethan Tracy,23,3
99,T19,T19,Tyrone Van Aswegen,31,3
100,T19,T19,Harold Varner III,27,3
101,T19,T19,Jhonattan Vegas,27,3
102,T19,T19,Camilo Villegas,14,3
103,T19,T19,Richy Werenski,32,3
104,T19,T19,Gary Woodland,27,3
105,T19,T19,Tiger Woods,18,3
106,T107,T107,Robert Allenby,8,2
107,T107,T107,Kiradech Aphibarnrat,14,2
108,T107,T107,Stuart Appleby,12,2
109,T107,T107,Eric Axley,7,2
110,T107,T107,Aaron Baddeley,27,2
111,T107,T107,Sangmoon Bae,17,2
112,T107,T107,Charlie Beljan,9,2
113,T107,T107,Zac Blair,20,2
114,T107,T107,Adam Bland,1,2
115,T107,T107,Jonas Blixt,23,2
116,T107,T107,Steven Bowditch,8,2
117,T107,T107,Dominic Bozzelli,20,2
118,T107,T107,Scott Brown,32,2
119,T107,T107,Bronson Burgoon,24,2
120,T107,T107,Sam Burns,11,2
121,T107,T107,Rafael Campos,1,2
122,T107,T107,Patrick Cantlay,23,2
123,T107,T107,Bud Cauley,17,2
124,T107,T107,Alex Cejka,24,2
125,T107,T107,Greg Chalmers,20,2
126,T107,T107,Cameron Champ,6,2
127,T107,T107,Kevin Chappell,23,2
128,T107,T107,SSP Chawrasia,2,2
129,T107,T107,K.J. Choi,14,2
130,T107,T107,Ben Crane,21,2
131,T107,T107,George Cunningham,1,2
132,T107,T107,Jon Curran,15,2
133,T107,T107,Roberto Díaz,25,2
134,T107,T107,Cameron Davis,4,2
135,T107,T107,Jason Day,20,2
136,T107,T107,Luke Donald,9,2
137,T107,T107,Zecheng Dou,23,2
138,T107,T107,Paul Dunne,8,2
139,T107,T107,Derek Fathauer,28,2
140,T107,T107,Ross Fisher,13,2
141,T107,T107,Matthew Fitzpatrick,13,2
142,T107,T107,Rickie Fowler,20,2
143,T107,T107,Ryan Fox,4,2
144,T107,T107,Dylan Frittelli,11,2
145,T107,T107,Nicholas Fung,1,2
146,T107,T107,Jim Furyk,15,2
147,T107,T107,Tommy Gainey,10,2
148,T107,T107,Sergio Garcia,15,2
149,T107,T107,Lucas Glover,18,2
150,T107,T107,Fabián Gómez,28,2
151,T107,T107,Talor Gooch,27,2
152,T107,T107,Retief Goosen,20,2
153,T107,T107,Jeff Gove,1,2
154,T107,T107,Gavin Kyle Green,5,2
155,T107,T107,Cody Gribble,25,2
156,T107,T107,Lanto Griffin,26,2
157,T107,T107,Emiliano Grillo,25,2
158,T107,T107,Adam Hadwin,25,2
159,T107,T107,James Hahn,26,2
160,T107,T107,Padraig Harrington,16,2
161,T107,T107,Jim Herman,9,2
162,T107,T107,Tim Herron,12,2
163,T107,T107,Charley Hoffman,25,2
164,T107,T107,Morgan Hoffmann,9,2
165,T107,T107,Ryan Hogue,1,2
166,T107,T107,J.B. Holmes,24,2
167,T107,T107,Billy Horschel,27,2
168,T107,T107,Mackenzie Hughes,28,2
169,T107,T107,Billy Hurley III,27,2
170,T107,T107,Yuta Ikeda,8,2
171,T107,T107,Stephan Jaeger,26,2
172,T107,T107,Stewart Jolly,1,2
173,T107,T107,Poom Saksansin,2,2
174,T107,T107,Daisuke Kataoka,2,2
175,T107,T107,Smylie Kaufman,22,2
176,T107,T107,Martin Kaymer,11,2
177,T107,T107,Colt Knost,10,2
178,T107,T107,Russell Knox,27,2
179,T107,T107,Satoshi Kodaira,18,2
180,T107,T107,Kelly Kraft,31,2
181,T107,T107,Rick Lamb,10,2
182,T107,T107,Nate Lashley,17,2
183,T107,T107,Kyoung-Hoon Lee,1,2
184,T107,T107,HaoTong Li,12,2
185,T107,T107,Nicholas Lindheim,26,2
186,T107,T107,David Lingmerth,26,2
187,T107,T107,David Lipsky,3,2
188,T107,T107,Luke List,29,2
189,T107,T107,Sam Locke,1,2
190,T107,T107,Michael Lorenzo-Vera,2,2
191,T107,T107,Tom Lovelady,28,2
192,T107,T107,Shane Lowry,19,2
193,T107,T107,Ben Martin,20,2
194,T107,T107,Paul McConnell,1,2
195,T107,T107,Graeme McDowell,20,2
196,T107,T107,William McGirt,26,2
197,T107,T107,Rory McIlroy,18,2
198,T107,T107,Parker McLachlin,11,2
199,T107,T107,Maverick McNealy,7,2
200,T107,T107,George McNeill,10,2
201,T107,T107,Dylan Meyer,8,2
202,T107,T107,Yusaku Miyazato,7,2
203,T107,T107,Ryan Moore,22,2
204,T107,T107,Grayson Murray,22,2
205,T107,T107,Seung-Yul Noh,1,2
206,T107,T107,Sean O'Hair,22,2
207,T107,T107,Thorbjørn Olesen,5,2
208,T107,T107,Rob Oppenheim,26,2
209,T107,T107,Carlos Ortiz,1,2
210,T107,T107,Ryan Palmer,22,2
211,T107,T107,C.T. Pan,30,2
212,T107,T107,Eddie Pepperell,2,2
213,T107,T107,Kenny Perry,2,2
214,T107,T107,John Peterson,10,2
215,T107,T107,Scott Piercy,26,2
216,T107,T107,Thomas Pieters,11,2
217,T107,T107,Martin Piller,28,2
