,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Jason Day,20,19,,1,17,2018260
1,2,2,Seamus Power,28,17,3.0,2,11,2018080
2,T3,T3,Thomas Pieters,11,15,1.0,4,6,2018250
3,T3,T3,Shawn Stefani,25,15,,1,8,2018180
4,5,5,Rafa Cabrera Bello,20,14,3.0,2,18,2018460
5,T6,T6,Chad Campbell,28,13,,3,14,2018170
6,T6,T6,Sam Saunders,26,13,3.0,3,17,2018160
7,8,8,Peter Uihlein,26,12,1.0,2,5,2018460
8,9,9,Webb Simpson,26,11,,3,13,2018420
9,T10,T10,Aaron Baddeley,27,10,5.0,1,15,2018120
10,T10,T10,Rickie Fowler,20,10,2.0,2,15,2018460
11,T10,T10,Whee Kim,30,10,1.0,2,3,2018430
12,T10,T10,Kevin Na,26,10,1.0,2,15,2018390
13,T10,T10,Scott Piercy,26,10,,2,13,2018460
14,T10,T10,Daniel Summerhays,19,10,,4,17,2018160
15,T16,T16,Greg Chalmers,20,9,,2,7,2018180
16,T16,T16,Austin Cook,29,9,,2,3,2018450
17,T16,T16,Brandon Harkins,30,9,1.0,1,6,2018120
18,T16,T16,Tom Lovelady,28,9,1.0,4,4,2018010
19,T16,T16,Peter Malnati,28,9,,1,2,2018160
20,T16,T16,Nick Taylor,30,9,2.0,4,7,2018400
21,T16,T16,Cameron Tringale,26,9,,1,15,2018280
22,T16,T16,Camilo Villegas,14,9,2.0,3,11,2018060
23,T16,T16,Steve Wheatcroft,20,9,1.0,1,14,2018120
24,T25,T25,Robert Allenby,8,8,1.0,2,11,2018040
25,T25,T25,Byeong Hun An,24,8,3.0,4,1,2018380
26,T25,T25,Ryan Blaum,28,8,,2,4,2018330
27,T25,T25,Jonas Blixt,23,8,,2,4,2018250
28,T25,T25,Alex Cejka,24,8,3.0,2,6,2018180
29,T25,T25,Ben Crane,21,8,2.0,3,7,2018020
30,T25,T25,Luke Donald,9,8,4.0,4,15,2018170
31,T25,T25,Adam Hadwin,25,8,,1,7,2018420
32,T25,T25,Poom Saksansin,2,8,8.0,1,14,2018020
33,T25,T25,Phil Mickelson,24,8,,4,18,2018010
34,T25,T25,Louis Oosthuizen,17,8,,3,7,2018330
35,T25,T25,Rob Oppenheim,26,8,,4,4,2018390
36,T25,T25,Cameron Percy,16,8,3.0,2,16,2018040
37,T25,T25,Justin Rose,18,8,2.0,2,5,2018330
38,T25,T25,Adam Schenk,28,8,,3,16,2018120
39,T25,T25,Scott Stallings,30,8,,1,13,2018020
40,T25,T25,Brendan Steele,22,8,,4,11,2018170
41,T25,T25,Vaughn Taylor,25,8,1.0,1,11,2018280
42,T25,T25,Mike Weir,6,8,8.0,1,13,2018260
43,T44,T44,Abraham Ancer,30,7,1.0,1,5,2018340
44,T44,T44,Matt Atkins,21,7,,1,17,2018410
45,T44,T44,Sangmoon Bae,17,7,5.0,2,10,2018150
46,T44,T44,Zac Blair,20,7,,3,3,2018410
47,T44,T44,Keegan Bradley,27,7,,4,13,2018420
48,T44,T44,Wesley Bryan,23,7,1.0,1,5,2018370
49,T44,T44,Patrick Cantlay,23,7,1.0,2,8,2018270
50,T44,T44,Roberto Díaz,25,7,3.0,4,3,2018080
