,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Paul Casey,20,206
1,2,2,Fabián Gómez,28,170
2,3,3,Kevin Streelman,27,149
3,4,4,Gary Woodland,27,148
4,5,5,Ricky Barnes,22,143
5,6,6,Kevin Kisner,25,111
6,T7,T7,Jim Furyk,15,102
7,T7,T7,Nate Lashley,17,102
8,9,9,Sam Ryder,26,93
9,10,10,Sam Saunders,26,86
10,11,11,"Ted Potter, Jr.",28,85
11,12,12,Ian Poulter,20,84
12,13,13,Dustin Johnson,20,82
13,T14,T14,Charles Howell III,28,81
14,T14,T14,Russell Knox,27,81
15,T16,T16,Rafa Cabrera Bello,20,77
16,T16,T16,Patrick Reed,26,77
17,T18,T18,Abraham Ancer,30,76
18,T18,T18,John Huh,29,76
19,T20,T20,Justin Thomas,23,71
20,T20,T20,Tiger Woods,18,71
21,22,22,Adam Hadwin,25,70
22,23,23,Brandon Harkins,30,69
23,24,24,Sung Kang,29,68
24,25,25,Francesco Molinari,20,66
25,26,26,Johnson Wagner,21,63
26,27,27,Patrick Cantlay,23,61
27,28,28,Seamus Power,28,60
28,T29,T29,Brooks Koepka,17,57
29,T29,T29,D.A. Points,25,57
30,T31,T31,Keegan Bradley,27,53
31,T31,T31,Greg Chalmers,20,53
32,T31,T31,Si Woo Kim,31,53
33,34,34,Tommy Fleetwood,19,52
34,35,35,Sean O'Hair,22,51
35,T36,T36,Rory McIlroy,18,50
36,T36,T36,Brett Stegmaier,21,50
37,T36,T36,Chris Stroud,27,50
38,39,39,Bubba Watson,24,48
39,T40,T40,Ryan Blaum,28,45
40,T40,T40,Andrew Putnam,28,45
41,42,42,Adam Scott,21,44
42,43,43,Phil Mickelson,24,42
43,T44,T44,Jonas Blixt,23,41
44,T44,T44,Trey Mullinax,24,41
45,T46,T46,Alex Cejka,24,40
46,T46,T46,Troy Merritt,27,40
47,T48,T48,Byeong Hun An,24,39
48,T48,T48,Mackenzie Hughes,28,39
49,T48,T48,Brian Stuard,32,39
50,T48,T48,Vaughn Taylor,25,39
51,T52,T52,Harris English,31,38
52,T52,T52,Daniel Summerhays,19,38
53,T54,T54,Tyler Duncan,31,36
54,T54,T54,Ollie Schniederjans,27,36
55,T54,T54,Michael Thompson,19,36
56,T57,T57,Bud Cauley,17,35
57,T57,T57,Retief Goosen,20,35
58,T59,T59,Beau Hossler,28,34
59,T59,T59,Graeme McDowell,20,34
60,T59,T59,J.J. Spaun,27,34
61,T62,T62,Emiliano Grillo,25,33
62,T62,T62,Conrad Shindler,20,33
63,T64,T64,Hideki Matsuyama,21,32
64,T64,T64,Denny McCarthy,22,32
65,T66,T66,Aaron Baddeley,27,31
66,T66,T66,Brian Gay,30,31
67,T68,T68,Danny Lee,30,30
68,T68,T68,Ryan Moore,22,30
69,T68,T68,Charl Schwartzel,20,30
70,T71,T71,Chad Campbell,28,29
71,T71,T71,Ben Silverman,28,29
72,T71,T71,Kyle Thompson,22,29
73,T74,T74,Tyrrell Hatton,16,28
74,T74,T74,Jason Kokrak,29,28
75,T74,T74,Pat Perez,23,28
76,T77,T77,Lucas Glover,18,27
77,T77,T77,Cody Gribble,25,27
78,T77,T77,Zach Johnson,25,27
79,T80,T80,Whee Kim,30,26
80,T80,T80,Cameron Smith,24,26
81,T82,T82,Talor Gooch,27,25
82,T82,T82,Lanto Griffin,26,25
83,T82,T82,Satoshi Kodaira,18,25
84,T82,T82,Peter Malnati,28,25
85,T82,T82,Scott Stallings,30,25
86,87,87,Ryan Palmer,22,24
87,88,88,Billy Hurley III,27,23
88,T89,T89,Kevin Tway,31,22
89,T89,T89,Peter Uihlein,26,22
90,T91,T91,Branden Grace,18,21
91,T91,T91,Xander Schauffele,27,21
92,T91,T91,Xinjun Zhang,28,21
93,T94,T94,Kevin Na,26,20
94,T94,T94,Hudson Swafford,22,20
95,T94,T94,Jimmy Walker,23,20
96,T97,T97,William McGirt,26,19
97,T97,T97,Jhonattan Vegas,27,19
98,T99,T99,Blayne Barber,22,18
