,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Beau Hossler,28,8
1,T1,T1,Steve Wheatcroft,20,8
2,T3,T3,Kiradech Aphibarnrat,14,7
3,T3,T3,Lanto Griffin,26,7
4,T3,T3,Michael Kim,27,7
5,T6,T6,Abraham Ancer,30,6
6,T6,T6,Joel Dahmen,28,6
7,T6,T6,Tony Finau,28,6
8,T6,T6,Zach Johnson,25,6
9,T6,T6,Patton Kizzire,29,6
10,T6,T6,William McGirt,26,6
11,T6,T6,Rory McIlroy,18,6
12,T6,T6,Trey Mullinax,24,6
13,T6,T6,Chez Reavie,28,6
14,T6,T6,Justin Rose,18,6
15,T6,T6,Webb Simpson,26,6
16,T6,T6,Justin Thomas,23,6
17,T18,T18,Matt Atkins,21,5
18,T18,T18,Aaron Baddeley,27,5
19,T18,T18,Ricky Barnes,22,5
20,T18,T18,Ryan Blaum,28,5
21,T18,T18,Rafa Cabrera Bello,20,5
22,T18,T18,Wyndham Clark,3,5
23,T18,T18,Austin Cook,29,5
24,T18,T18,Tommy Fleetwood,19,5
25,T18,T18,Sergio Garcia,15,5
26,T18,T18,Robert Garrigus,27,5
27,T18,T18,Brian Gay,30,5
28,T18,T18,Lucas Glover,18,5
29,T18,T18,Cody Gribble,25,5
30,T18,T18,Chesson Hadley,30,5
31,T18,T18,James Hahn,26,5
32,T18,T18,David Hearn,21,5
33,T18,T18,John Huh,29,5
34,T18,T18,Stephan Jaeger,26,5
35,T18,T18,Dustin Johnson,20,5
36,T18,T18,Si Woo Kim,31,5
37,T18,T18,Chris Kirk,29,5
38,T18,T18,Jason Kokrak,29,5
39,T18,T18,Kelly Kraft,31,5
40,T18,T18,Martin Laird,22,5
41,T18,T18,Andrew Landry,27,5
42,T18,T18,Danny Lee,30,5
43,T18,T18,David Lingmerth,26,5
44,T18,T18,David Lipsky,3,5
45,T18,T18,Davis Love III,12,5
46,T18,T18,Tom Lovelady,28,5
47,T18,T18,Hideki Matsuyama,21,5
48,T18,T18,Keith Mitchell,29,5
49,T18,T18,Sean O'Hair,22,5
50,T18,T18,C.T. Pan,30,5
51,T18,T18,Cameron Percy,16,5
52,T18,T18,John Peterson,10,5
53,T18,T18,"Ted Potter, Jr.",28,5
54,T18,T18,Seamus Power,28,5
55,T18,T18,Patrick Rodgers,30,5
56,T18,T18,Rory Sabbatini,27,5
57,T18,T18,Xander Schauffele,27,5
58,T18,T18,Adam Schenk,28,5
59,T18,T18,Ben Silverman,28,5
60,T18,T18,Brandt Snedeker,25,5
61,T18,T18,Jordan Spieth,23,5
62,T18,T18,Shawn Stefani,25,5
63,T18,T18,Henrik Stenson,16,5
64,T18,T18,Kevin Streelman,27,5
65,T18,T18,Daniel Summerhays,19,5
66,T18,T18,Nick Taylor,30,5
67,T18,T18,Ethan Tracy,23,5
