,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,1,Keith Mitchell,29,37,,3,14,2018310
1,2,2,Charles Howell III,28,36,3.0,1,12,2018500
2,3,3,Hunter Mahan,21,33,1.0,2,8,2018410
3,T4,T4,Bud Cauley,17,30,,3,6,2018250
4,T4,T4,Denny McCarthy,22,30,3.0,4,10,2018400
5,T6,T6,Dominic Bozzelli,20,29,,2,2,2018400
6,T6,T6,Chris Kirk,29,29,5.0,4,8,2018150
7,T8,T8,Jazz Janewattananond,2,28,1.0,2,14,2018020
8,T8,T8,Chez Reavie,28,28,,2,3,2018500
9,T8,T8,Shawn Stefani,25,28,7.0,2,10,2018470
10,T11,T11,Tyler Duncan,31,27,,3,1,2018070
11,T11,T11,Russell Henley,23,27,1.0,4,4,2018360
12,T11,T11,Scott Piercy,26,27,,2,17,2018160
13,T14,T14,Si Woo Kim,31,26,1.0,4,5,2018030
14,T14,T14,Russell Knox,27,26,3.0,1,18,2018130
15,T14,T14,Rory McIlroy,18,26,1.0,2,10,2018360
16,T14,T14,Ryan Moore,22,26,,4,15,2018460
17,T18,T18,Francesco Molinari,20,25,1.0,1,5,2018380
18,T18,T18,Andrew Putnam,28,25,1.0,1,7,2018130
19,T18,T18,Patrick Rodgers,30,25,,1,4,2018320
20,T18,T18,Michael Thompson,19,25,8.0,1,1,2018060
21,T22,T22,Fabián Gómez,28,24,3.0,1,12,2018250
22,T22,T22,Mackenzie Hughes,28,24,2.0,3,8,2018400
23,T22,T22,Jason Kokrak,29,24,1.0,1,2,2018390
24,T22,T22,C.T. Pan,30,24,2.0,3,12,2018470
25,T22,T22,J.J. Spaun,27,24,9.0,1,3,2018320
26,T22,T22,Aaron Wise,29,24,5.0,1,3,2018320
27,T28,T28,Ryan Blaum,28,23,2.0,2,7,2018080
28,T28,T28,Keegan Bradley,27,23,3.0,2,10,2018390
29,T28,T28,Paul Casey,20,23,3.0,2,14,2018370
30,T28,T28,Stewart Cink,25,23,4.0,1,2,2018030
31,T28,T28,Ross Fisher,13,23,1.0,1,10,2018460
32,T28,T28,Billy Horschel,27,23,2.0,1,17,2018380
33,T28,T28,Adam Scott,21,23,6.0,4,1,2018320
34,T28,T28,Gary Woodland,27,23,6.0,3,13,2018070
35,T28,T28,Will Zalatoris,6,23,9.0,1,14,2018160
36,T37,T37,Zac Blair,20,22,,1,12,2018010
37,T37,T37,Rafa Cabrera Bello,20,22,1.0,4,12,2018470
38,T37,T37,Roberto Díaz,25,22,,2,3,2018320
39,T37,T37,Martin Flores,29,22,6.0,1,5,2018320
40,T37,T37,Brandon Harkins,30,22,,1,17,2018070
41,T37,T37,J.J. Henry,28,22,3.0,1,7,2018390
42,T37,T37,Sung Kang,29,22,,1,11,2018470
43,T37,T37,Luke List,29,22,1.0,1,7,2018250
44,T37,T37,Kyle Stanley,26,22,3.0,2,17,2018490
45,T37,T37,Brendan Steele,22,22,3.0,4,15,2018010
46,T37,T37,Henrik Stenson,16,22,,3,17,2018250
47,T37,T37,Kevin Tway,31,22,4.0,3,14,2018320
48,T37,T37,Harold Varner III,27,22,,4,6,2018230
49,T37,T37,Tom Whitney,3,22,3.0,1,2,2018130
50,T51,T51,Daniel Berger,23,21,,1,10,2018460
51,T51,T51,Corey Conners,28,21,2.0,1,16,2018390
52,T51,T51,Emiliano Grillo,25,21,5.0,3,11,2018370
53,T51,T51,Anirban Lahiri,24,21,1.0,1,16,2018390
54,T51,T51,Hideki Matsuyama,21,21,1.0,2,8,2018020
55,T51,T51,Ollie Schniederjans,27,21,,2,3,2018020
56,T51,T51,Webb Simpson,26,21,5.0,3,15,2018470
57,T51,T51,Scott Stallings,30,21,,2,10,2018150
58,T51,T51,Steve Stricker,12,21,,4,14,2018210
59,T51,T51,Camilo Villegas,14,21,,2,1,2018020
60,T51,T51,Nick Watney,26,21,6.0,4,7,2018070
61,T62,T62,Tony Finau,28,20,5.0,1,11,2018060
62,T62,T62,Tommy Fleetwood,19,20,1.0,2,10,2018500
63,T62,T62,Adam Hadwin,25,20,3.0,2,16,2018500
64,T62,T62,Stephan Jaeger,26,20,9.0,1,10,2018010
65,T62,T62,Whee Kim,30,20,,2,8,2018410
66,T62,T62,Danny Lee,30,20,1.0,2,2,2018020
67,T62,T62,Marc Leishman,25,20,1.0,1,18,2018490
68,T62,T62,Trey Mullinax,24,20,8.0,2,8,2018080
69,T62,T62,Kevin Na,26,20,,2,1,2018320
70,T62,T62,J.T. Poston,22,20,,3,8,2018410
71,T72,T72,Byeong Hun An,24,19,1.0,4,2,2018340
72,T72,T72,Wesley Bryan,23,19,,1,14,2018020
73,T72,T72,Ben Crane,21,19,1.0,4,15,2018020
74,T72,T72,Joel Dahmen,28,19,,3,1,2018320
75,T72,T72,Jason Day,20,19,3.0,1,18,2018500
76,T72,T72,Bryson DeChambeau,26,19,2.0,2,11,2018300
77,T72,T72,Paul Dunne,8,19,,1,1,2018230
78,T72,T72,Matthew Fitzpatrick,13,19,3.0,2,10,2018470
79,T72,T72,David Hearn,21,19,1.0,2,15,2018470
80,T72,T72,Beau Hossler,28,19,1.0,4,18,2018220
81,T72,T72,Shugo Imahira,3,19,3.0,1,14,2018120
82,T72,T72,Zach Johnson,25,19,2.0,1,11,2018310
83,T72,T72,Dustin Johnson,20,19,2.0,3,13,2018510
84,T72,T72,Brooks Koepka,17,19,1.0,2,9,2018500
85,T72,T72,Kelly Kraft,31,19,4.0,2,6,2018080
86,T72,T72,Nicholas Lindheim,26,19,,1,1,2018080
87,T72,T72,Dru Love,7,19,3.0,1,13,2018040
88,T72,T72,Shane Lowry,19,19,19.0,1,18,2018470
89,T72,T72,Sam Saunders,26,19,6.0,2,18,2018070
90,T72,T72,Jordan Spieth,23,19,1.0,2,8,2018250
91,T72,T72,Ethan Tracy,23,19,,1,10,2018320
92,T72,T72,Jhonattan Vegas,27,19,1.0,2,7,2018470
93,T94,T94,"David Berganio, Jr.",4,18,7.0,2,10,2018320
94,T94,T94,Kevin Chappell,23,18,2.0,3,6,2018490
95,T94,T94,Matt Every,30,18,,1,10,2018250
96,T94,T94,Brian Harman,25,18,1.0,1,11,2018030
97,T94,T94,Tim Herron,12,18,,4,9,2018230
98,T94,T94,John Huh,29,18,,2,15,2018080
99,T94,T94,Ben Kern,1,18,2.0,2,13,2018460
100,T94,T94,Martin Laird,22,18,,1,9,2018150
101,T94,T94,Nate Lashley,17,18,,1,4,2018080
102,T94,T94,Ben Martin,20,18,7.0,3,10,2018160
103,T94,T94,Cameron Percy,16,18,6.0,2,7,2018080
104,T94,T94,Andres Romero,6,18,3.0,2,13,2018410
105,T94,T94,Justin Rose,18,18,2.0,1,16,2018340
106,T94,T94,Kevin Streelman,27,18,1.0,4,1,2018400
107,T94,T94,Nick Taylor,30,18,,3,7,2018400
108,T94,T94,Richy Werenski,32,18,2.0,4,10,2018470
109,T110,T110,Ryan Armour,32,17,1.0,4,3,2018470
110,T110,T110,Chad Campbell,28,17,3.0,3,11,2018330
111,T110,T110,Alex Cejka,24,17,,1,4,2018390
112,T110,T110,Austin Cook,29,17,3.0,2,15,2018110
113,T110,T110,Jim Furyk,15,17,6.0,3,1,2018470
114,T110,T110,Sergio Garcia,15,17,4.0,3,1,2018470
115,T110,T110,Robert Garrigus,27,17,1.0,1,15,2018320
116,T110,T110,Gavin Kyle Green,5,17,1.0,4,10,2018030
117,T110,T110,Lanto Griffin,26,17,5.0,4,18,2018400
118,T110,T110,James Hahn,26,17,4.0,3,10,2018250
119,T110,T110,Matt Jones,23,17,3.0,1,10,2018010
120,T110,T110,Michael Kim,27,17,2.0,1,10,2018020
121,T110,T110,Andrew Landry,27,17,5.0,3,1,2018400
122,T110,T110,A.J. McInerney,4,17,3.0,1,9,2018060
123,T110,T110,Troy Merritt,27,17,1.0,1,12,2018320
124,T110,T110,John Oda,7,17,3.0,4,13,2018410
125,T110,T110,Martin Piller,28,17,,2,1,2018320
126,T110,T110,Ian Poulter,20,17,4.0,3,16,2018250
127,T110,T110,Seamus Power,28,17,2.0,3,4,2018410
128,T110,T110,Hudson Swafford,22,17,,2,14,2018030
129,T110,T110,Justin Thomas,23,17,5.0,1,9,2018500
130,T110,T110,Bubba Watson,24,17,,1,13,2018260
131,T110,T110,Steve Wheatcroft,20,17,,1,10,2018400
132,T133,T133,Abraham Ancer,30,16,4.0,1,3,2018320
133,T133,T133,Patrick Cantlay,23,16,2.0,3,1,2018500
134,T133,T133,Harris English,31,16,,2,18,2018210
135,T133,T133,Talor Gooch,27,16,2.0,4,16,2018140
136,T133,T133,Branden Grace,18,16,6.0,4,14,2018450
