,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Parker McLachlin,11,354,25.0
1,2,2,Kevin Tway,31,306,22.0
2,3,3,Harris English,31,298,38.0
3,4,4,Scott Brown,32,269,12.0
4,5,5,Dustin Johnson,20,258,82.0
5,6,6,Chris Kirk,29,244,3.0
6,7,7,Hunter Mahan,21,240,1.0
7,8,8,Kevin Streelman,27,236,149.0
8,9,9,Michael Thompson,19,231,36.0
9,10,10,Doug Ghim,7,228,59.0
10,11,11,Andrew Landry,27,224,17.0
11,12,12,Jason Day,20,221,9.0
12,13,13,Beau Hossler,28,216,34.0
13,14,14,Stephan Jaeger,26,214,4.0
14,15,15,Jimmy Walker,23,212,20.0
15,16,16,C.T. Pan,30,209,1.0
16,17,17,Troy Merritt,27,208,40.0
17,18,18,Patton Kizzire,29,207,2.0
18,T19,T19,Paul Casey,20,206,206.0
19,T19,T19,Greg Chalmers,20,206,53.0
20,T21,T21,Henrik Stenson,16,204,1.0
21,T21,T21,Johnson Wagner,21,204,63.0
22,23,23,Austin Cook,29,203,8.0
23,24,24,Kevin Na,26,202,20.0
24,T25,T25,Billy Horschel,27,199,8.0
25,T25,T25,Julian Suri,10,199,6.0
26,27,27,Tony Finau,28,198,8.0
27,T28,T28,Andres Romero,6,197,4.0
28,T28,T28,Scott Stallings,30,197,25.0
29,T30,T30,Ricky Barnes,22,196,143.0
30,T30,T30,Sam Burns,11,196,18.0
31,32,32,Kevin Kisner,25,195,111.0
32,33,33,John Oda,7,194,25.0
33,34,34,Chris Stroud,27,193,50.0
34,35,35,Mackenzie Hughes,28,190,39.0
35,36,36,J.J. Henry,28,187,
36,37,37,Conrad Shindler,20,185,33.0
37,T38,T38,Bronson Burgoon,24,184,16.0
38,T38,T38,Rory McIlroy,18,184,50.0
39,T40,T40,Jason Dufner,22,183,9.0
40,T40,T40,Nicholas Lindheim,26,183,11.0
41,T40,T40,Robert Streb,29,183,14.0
42,43,43,Patrick Rodgers,30,182,12.0
43,T44,T44,Zach Johnson,25,181,27.0
