,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Blayne Barber,98,18
1,2,2,Byeong Hun An,70,17
2,3,3,Shawn Stefani,142,13
3,T4,T4,Adam Hadwin,119,12
4,T4,T4,Martin Piller,74,12
5,T6,T6,Steve Stricker,467,11
6,T6,T6,Justin Thomas,112,11
7,T8,T8,Daisuke Kataoka,4,10
8,T8,T8,Shane Lowry,75,10
9,T10,T10,Rafa Cabrera Bello,64,9
10,T10,T10,David Hearn,246,9
11,T10,T10,Dustin Johnson,231,9
12,T10,T10,Graeme McDowell,193,9
13,T10,T10,John Peterson,88,9
14,T15,T15,Brice Garnett,101,8
15,T15,T15,Charles Howell III,508,8
16,T15,T15,John Oda,9,8
17,T15,T15,Xander Schauffele,55,8
18,T15,T15,Webb Simpson,256,8
19,T20,T20,Will Cannon,3,7
20,T20,T20,Corey Conners,36,7
21,T20,T20,Tommy Fleetwood,37,7
22,T20,T20,Ryan Fox,7,7
23,T20,T20,Jason Kokrak,185,7
24,T20,T20,Andrew Landry,44,7
25,T26,T26,Bobby Gates,99,6
26,T26,T26,Chris Kirk,215,6
27,T26,T26,Tyrone Van Aswegen,132,6
28,T29,T29,Jonathan Byrd,378,5
29,T29,T29,Roberto Díaz,28,5
30,T29,T29,Matthew Fitzpatrick,39,5
31,T29,T29,Bill Haas,355,5
32,T29,T29,Cameron Percy,129,5
33,T29,T29,D.A. Points,319,5
34,T29,T29,Seamus Power,49,5
35,T29,T29,Michael Thompson,186,5
36,T29,T29,Charlie Wi,249,5
37,T29,T29,Chris Wilson,30,5
38,T39,T39,Aaron Baddeley,391,4
39,T39,T39,Adam Bland,6,4
40,T39,T39,Jonas Blixt,160,4
41,T39,T39,George Cunningham,1,4
42,T39,T39,Jim Furyk,569,4
43,T39,T39,Sergio Garcia,314,4
44,T39,T39,Doug Ghim,6,4
45,T39,T39,Lanto Griffin,26,4
46,T39,T39,Tyrrell Hatton,36,4
47,T39,T39,Beau Hossler,40,4
48,T39,T39,Billy Hurley III,160,4
49,T39,T39,Zach Johnson,368,4
50,T39,T39,Prayad Marksaeng,16,4
51,T39,T39,Denny McCarthy,23,4
52,T39,T39,Dylan Meyer,8,4
53,T39,T39,Sebastián Muñoz,18,4
54,T39,T39,Joaquin Niemann,15,4
55,T39,T39,Alex Noren,48,4
56,T39,T39,Pat Perez,416,4
57,T39,T39,Andrew Putnam,50,4
58,T39,T39,Chez Reavie,253,4
59,T39,T39,Santiago Rivas,1,4
60,T39,T39,Patrick Rodgers,107,4
61,T39,T39,Heath Slocum,389,4
62,T39,T39,Brett Stegmaier,76,4
63,T39,T39,Henrik Stenson,177,4
64,T39,T39,Brandon Stone,13,4
65,T39,T39,D.J. Trahan,284,4
66,T39,T39,John VanDerLaan,1,4
67,T39,T39,T.J. Vogel,11,4
68,T39,T39,Johnson Wagner,304,4
69,T39,T39,Zach Wright,4,4
70,T39,T39,Ryan Yip,2,4
71,T72,T72,Stuart Appleby,520,3
72,T72,T72,Daniel Berger,102,3
73,T72,T72,Ryan Brehm,27,3
74,T72,T72,Bronson Burgoon,52,3
75,T72,T72,Austin Cook,38,3
76,T72,T72,Dylan Frittelli,12,3
77,T72,T72,Billy Horschel,199,3
78,T72,T72,Lee Janzen,610,3
79,T72,T72,Matt Jones,257,3
80,T72,T72,Masahiro Kawamura,4,3
81,T72,T72,Martin Kaymer,117,3
82,T72,T72,Ben Kern,1,3
83,T72,T72,Si Woo Kim,98,3
84,T72,T72,Kevin Kisner,179,3
85,T72,T72,Bernhard Langer,310,3
86,T72,T72,Richard Lee,5,3
87,T72,T72,Nicholas Lindheim,45,3
88,T72,T72,David Lingmerth,145,3
89,T72,T72,Chip McDaniel,1,3
90,T72,T72,Louis Oosthuizen,141,3
91,T72,T72,Juvic Pagunsan,5,3
92,T72,T72,Adam Scott,287,3
93,T72,T72,David Skinns,5,3
94,T72,T72,Scott Stallings,207,3
95,T72,T72,Brendan Steele,190,3
96,T72,T72,Duffy Waldorf,573,3
97,T72,T72,Matt Wallace,4,3
98,T72,T72,Nick Watney,340,3
99,T72,T72,Tim Wilkinson,156,3
100,T72,T72,Norman Xiong,5,3
101,T102,T102,Frank Adams III,3,2
102,T102,T102,Tyson Alexander,3,2
103,T102,T102,"David Berganio, Jr.",151,2
104,T102,T102,Keegan Bradley,203,2
105,T102,T102,Cameron Champ,7,2
106,T102,T102,Kevin Chappell,212,2
107,T102,T102,Danny Chia,8,2
108,T102,T102,Ben Crane,388,2
109,T102,T102,Jason Day,220,2
110,T102,T102,Bryson DeChambeau,71,2
111,T102,T102,Mickey DeMorat,2,2
112,T102,T102,Jared du Toit,3,2
113,T102,T102,Ernie Els,431,2
114,T102,T102,Martin Flores,193,2
115,T102,T102,Kevin Foley,16,2
116,T102,T102,Brian Gay,537,2
117,T102,T102,James Hahn,159,2
118,T102,T102,Nick Hardy,5,2
119,T102,T102,Wes Homan,9,2
120,T102,T102,Sam Horsfield,8,2
121,T102,T102,Grover Justice,1,2
122,T102,T102,Russell Knox,159,2
123,T102,T102,Brooks Koepka,99,2
124,T102,T102,Maverick McNealy,14,2
125,T102,T102,Francesco Molinari,120,2
126,T102,T102,Joey Savoie,1,2
127,T102,T102,Cameron Smith,83,2
128,T102,T102,Brian Stuard,189,2
129,T102,T102,Adam Svensson,6,2
130,T102,T102,Bernd Wiesberger,40,2
131,T102,T102,Gary Woodland,218,2
