,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,1,1,Graham DeLaet,1,8.4
1,T2,T2,Scott Hoch,1,8.2
2,T2,T2,Tom Lehman,7,8.2
3,4,4,Tim Clark,14,8.1
4,5,5,Jason Bohn,18,8.0
5,T6,T6,Jim Furyk,15,7.9
6,T6,T6,Ernie Gonzalez,1,7.9
7,T8,T8,Soren Hansen,3,7.8
8,T8,T8,Steve Pate,1,7.8
9,T8,T8,Jay Williamson,9,7.8
10,T11,T11,Joe Durant,8,7.7
11,T11,T11,Zach Johnson,19,7.7
12,T11,T11,Francesco Molinari,1,7.7
13,T11,T11,Heath Slocum,16,7.7
14,T11,T11,Scott Sterling,7,7.7
15,T11,T11,David Toms,19,7.7
16,T11,T11,Tiger Woods,12,7.7
17,T18,T18,Michael Allen,11,7.6
18,T18,T18,Robert Allenby,12,7.6
19,T20,T20,Thomas Aiken,1,7.5
20,T20,T20,Tommy Armour III,10,7.5
21,T20,T20,Chad Campbell,16,7.5
22,T20,T20,Anders Hansen,1,7.5
23,T20,T20,Arron Oberholser,2,7.5
24,T20,T20,Darron Stiles,6,7.5
25,T20,T20,Steve Stricker,15,7.5
26,T27,T27,Kris Blanks,7,7.4
27,T27,T27,Fred Couples,9,7.4
28,T27,T27,Ernie Els,13,7.4
29,T27,T27,Miguel Angel Jiménez,3,7.4
30,T27,T27,Greg Kraft,3,7.4
31,T27,T27,Will MacKenzie,9,7.4
32,T27,T27,Bryce Molder,10,7.4
33,T27,T27,Jack Newman,1,7.4
34,T27,T27,Leif Olson,4,7.4
35,T27,T27,John Senden,20,7.4
36,T27,T27,Patrick Sheehan,8,7.4
37,T27,T27,Peter Tomasulo,3,7.4
38,T39,T39,Briny Baird,15,7.3
39,T39,T39,Ross Fisher,3,7.3
40,T39,T39,Tommy Gainey,6,7.3
41,T39,T39,Brian Gay,20,7.3
42,T39,T39,Skip Kendall,2,7.3
43,T39,T39,Justin Leonard,18,7.3
44,T39,T39,Hunter Mahan,18,7.3
45,T39,T39,Billy Mayfair,10,7.3
46,T39,T39,Rod Pampling,13,7.3
47,T39,T39,Kevin Stadler,10,7.3
48,T39,T39,Kirk Triplett,9,7.3
49,T39,T39,Omar Uresti,2,7.3
50,T39,T39,Boo Weekley,15,7.3
