,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Henrik Stenson,10,1018.0
1,2,2,Lee Westwood,8,500.0
2,3,3,Rory McIlroy,11,434.0
3,4,4,Graeme McDowell,11,355.0
4,5,5,Ross Fisher,10,306.0
5,6,6,Martin Kaymer,11,249.0
6,7,7,Soren Hansen,8,241.0
7,8,8,Danny Lee,12,193.0
8,9,9,Francesco Molinari,4,185.0
9,10,10,Chris Wood,2,181.0
10,11,11,Jeev Milkha Singh,13,163.0
11,12,12,Shingo Katayama,6,150.0
12,13,13,Oliver Wilson,9,144.0
13,14,14,Søren Kjeldsen,7,139.0
14,15,15,Miguel Angel Jiménez,8,117.0
15,16,16,Peter Hanson,5,98.0
16,17,17,Kevin Chappell,3,89.0
17,18,18,Kyle Stanley,6,88.0
18,19,19,Thongchai Jaidee,4,88.0
19,20,20,Thomas Aiken,3,83.0
20,21,21,Charl Schwartzel,6,83.0
21,22,22,Thomas Levet,3,75.0
22,23,23,Robert Karlsson,6,71.0
23,24,24,Michael Sim,2,70.0
24,25,25,Tadd Fujikawa,4,70.0
25,26,26,Gonzalo Fernandez-Castaño,5,69.0
26,T27,T27,Chris Baryla,3,69.0
27,T27,T27,Richard Sterne,8,69.0
28,29,29,Azuma Yano,4,65.0
29,30,30,Todd Fischer,3,61.0
30,31,31,Alvaro Quiros,9,60.0
31,32,32,Johan Edfors,3,57.0
32,33,33,Brendan Jones,2,44.0
33,T34,T34,James Kingston,2,41.0
34,T34,T34,Kenichi Kuboya,1,41.0
35,36,36,Darren Clarke,7,39.0
36,37,37,Nick Dougherty,3,31.0
37,38,38,Hideto Tanihara,1,30.0
38,39,39,José Manuel Lara,2,29.0
39,40,40,Martin Piller,1,28.0
40,41,41,Derek Lamely,2,27.0
41,42,42,Vance Veazey,1,27.0
42,T43,T43,Branden Grace,1,27.0
43,T43,T43,Paul McGinley,2,27.0
44,T43,T43,Anthony Wall,2,27.0
45,46,46,Erik Compton,4,24.0
46,T47,T47,Graham DeLaet,1,23.0
47,T47,T47,Jamie Lovemark,3,23.0
48,49,49,Paul Lawrie,1,22.0
49,50,50,Bobby Gates,1,20.0
50,51,51,Matt Harmon,1,17.0
51,T52,T52,Jean-Francois Lucquin,1,16.0
52,T52,T52,Andrew McLardy,2,16.0
53,T54,T54,David Howell,1,16.0
54,T54,T54,Graeme Storm,1,16.0
55,T54,T54,Steve Wheatcroft,1,16.0
56,57,57,Alan Wagner,1,15.0
57,58,58,José de Jesús Rodríguez,1,15.0
58,59,59,Ryo Ishikawa,6,14.0
59,T60,T60,Rich Barcelo,1,14.0
60,T60,T60,Hiroyuki Fujita,1,14.0
61,T62,T62,Jeff Brehaut,1,13.0
62,T62,T62,Trevor Murphy,1,13.0
63,T64,T64,Craig Barlow,4,12.0
64,T64,T64,Fernando Mechereffe,1,12.0
65,T66,T66,Felipe Aguilar,1,11.0
66,T66,T66,Tano Goya,1,11.0
67,T66,T66,Manuel Villegas,1,11.0
68,T69,T69,Richard Green,2,10.0
69,T69,T69,Mike Grob,1,10.0
70,T71,T71,Paul Broadhurst,1,10.0
71,T71,T71,David Drysdale,1,10.0
72,73,73,Andres Gonzales,1,9.0
73,74,74,Louis Oosthuizen,6,7.0
74,75,75,Luke List,1,6.0
75,76,76,Andy Matthews,1,6.0
76,77,77,Fredrik Andersson Hed,1,5.0
77,78,78,Lucas Lee,1,3.0
78,79,79,David Smail,3,2.0
79,80,80,Andrew Ruthkoski,2,2.0
80,T81,T81,Esteban Toledo,2,2.0
81,T81,T81,James Vargas,1,2.0
82,T83,T83,John Ellis,1,1.0
83,T83,T83,Chris Kirk,2,1.0
84,85,85,Daniel Gaunt,1,1.0
85,T86,T86,Gregory Bisconti,1,1.0
86,T86,T86,Matthew Loving,1,1.0
87,88,88,Grant Sturgeon,1,1.0
88,89,89,Junpei Takayama,1,1.0
89,90,90,Alastair Forsyth,1,1.0
90,91,91,Cortland Lowe,2,1.0
91,92,92,Ryan Helminen,1,
