,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,1,1,Alvaro Quiros,3,10.0
1,T2,T2,Graham DeLaet,1,9.9
2,T2,T2,Luke List,1,9.9
3,4,4,Chris Baryla,1,9.8
4,T5,T5,Dustin Johnson,14,9.7
5,T5,T5,Bubba Watson,11,9.7
6,7,7,Robert Garrigus,15,9.5
7,T8,T8,Matt Harmon,1,9.4
8,T8,T8,Ryo Ishikawa,1,9.4
9,T8,T8,Rory McIlroy,5,9.4
10,T8,T8,Louis Oosthuizen,2,9.4
11,T8,T8,Nick Watney,16,9.4
12,T13,T13,John Daly,1,9.3
13,T13,T13,Jamie Lovemark,2,9.3
14,15,15,J.B. Holmes,10,9.2
15,16,16,Phil Mickelson,11,9.1
16,T17,T17,Ángel Cabrera,7,9.0
17,T17,T17,Garth Mulroy,1,9.0
18,T17,T17,Tag Ridings,8,9.0
19,T17,T17,Andres Romero,7,9.0
20,T21,T21,Charley Hoffman,20,8.9
21,T21,T21,Anthony Kim,13,8.9
22,T21,T21,Martin Laird,11,8.9
23,T24,T24,Harrison Frazar,16,8.8
24,T24,T24,Tommy Gainey,6,8.8
25,T24,T24,Charles Warren,10,8.8
26,T24,T24,Gary Woodland,4,8.8
27,28,28,Troy Matteson,15,8.7
28,T29,T29,Daniel Chopra,16,8.6
29,T29,T29,Fred Couples,9,8.6
30,T29,T29,Davis Love III,16,8.6
31,T29,T29,Kevin Streelman,18,8.6
32,T33,T33,Jason Day,11,8.5
33,T33,T33,Kyle Stanley,4,8.5
34,T35,T35,Rickie Fowler,4,8.4
35,T35,T35,Scott Piercy,14,8.4
36,T37,T37,Steve Allan,1,8.3
37,T37,T37,James Driscoll,7,8.3
38,T37,T37,Leif Olson,4,8.3
39,T37,T37,Lee Westwood,3,8.3
40,T41,T41,Troy Kelly,2,8.2
41,T41,T41,Marc Leishman,17,8.2
42,T41,T41,Hunter Mahan,18,8.2
43,T41,T41,Sean O'Hair,12,8.2
44,T45,T45,Sergio Garcia,10,8.1
45,T45,T45,Bobby Gates,1,8.1
46,T45,T45,Soren Hansen,3,8.1
47,T45,T45,Neal Lancaster,1,8.1
48,T45,T45,Steve Marino,17,8.1
49,T45,T45,John Merrick,13,8.1
50,T45,T45,Jeff Overton,15,8.1
51,T45,T45,Kenny Perry,18,8.1
52,T45,T45,Charl Schwartzel,2,8.1
53,T45,T45,Vijay Singh,10,8.1
54,T55,T55,Stewart Cink,12,7.9
55,T55,T55,Lucas Glover,18,7.9
56,T55,T55,Tim Herron,15,7.9
57,T55,T55,Brandt Jobe,6,7.9
58,T55,T55,Matt Jones,10,7.9
59,T55,T55,Anthony Kang,1,7.9
60,T55,T55,Ryan Moore,14,7.9
61,T55,T55,John Rollins,16,7.9
62,T55,T55,Adam Scott,7,7.9
63,T55,T55,Paul Stankowski,2,7.9
64,T65,T65,Ross Fisher,3,7.8
65,T65,T65,Scott Gutschewski,3,7.8
66,T65,T65,Charles Howell III,18,7.8
67,T65,T65,Reinier Saxton,1,7.8
68,T65,T65,Vance Veazey,1,7.8
69,T65,T65,Camilo Villegas,13,7.8
70,T71,T71,Matt Bettencourt,16,7.7
71,T71,T71,Chris Couch,3,7.7
72,T71,T71,Retief Goosen,14,7.7
73,T71,T71,Danny Lee,5,7.7
74,T71,T71,Jack Newman,1,7.7
75,T71,T71,Rory Sabbatini,14,7.7
76,T71,T71,Nicholas Thompson,16,7.7
77,T78,T78,Jonathan Byrd,17,7.6
78,T78,T78,Paul Casey,6,7.6
79,T78,T78,Ryan Palmer,12,7.6
80,T78,T78,Martin Piller,1,7.6
81,T78,T78,Bo Van Pelt,17,7.6
82,T83,T83,Ricky Barnes,7,7.5
83,T83,T83,Gonzalo Fernandez-Castaño,1,7.5
84,T83,T83,Bill Haas,15,7.5
85,T83,T83,Michael Letzig,19,7.5
86,T83,T83,Boo Weekley,15,7.5
87,T83,T83,Tiger Woods,12,7.5
88,T89,T89,Ted Purdy,18,7.4
89,T89,T89,D.J. Trahan,16,7.4
90,T91,T91,Robert Allenby,12,7.3
91,T91,T91,"David Berganio, Jr.",5,7.3
92,T91,T91,Mark Brown,1,7.3
93,T91,T91,Erik Compton,2,7.3
94,T91,T91,Peter Hanson,1,7.3
95,T91,T91,Bill Lunde,14,7.3
96,T91,T91,Geoff Ogilvy,14,7.3
97,T91,T91,John Senden,20,7.3
98,T91,T91,Peter Tomasulo,3,7.3
99,T100,T100,J.P. Hayes,4,7.2
100,T100,T100,Will MacKenzie,9,7.2
101,T102,T102,Thomas Aiken,1,7.1
102,T102,T102,Billy Andrade,1,7.1
103,T102,T102,Ernie Els,13,7.1
104,T102,T102,Andres Gonzales,1,7.1
105,T102,T102,John Huston,5,7.1
106,T102,T102,Prayad Marksaeng,2,7.1
107,T102,T102,Greg Norman,1,7.1
108,T102,T102,Jeev Milkha Singh,9,7.1
109,T102,T102,Hideto Tanihara,1,7.1
110,T111,T111,Tadd Fujikawa,2,7.0
111,T111,T111,J.J. Henry,17,7.0
112,T111,T111,Martin Kaymer,6,7.0
113,T111,T111,Matthew Loving,1,7.0
114,T111,T111,Jeff Maggert,11,7.0
115,T111,T111,Greg Owen,15,7.0
116,T117,T117,Mathew Goggin,11,6.9
117,T117,T117,Y.E. Yang,16,6.9
118,119,119,George McNeill,15,6.8
119,T120,T120,Eric Axley,4,6.7
120,T120,T120,David Duval,4,6.7
121,T120,T120,Padraig Harrington,10,6.7
122,T120,T120,Thongchai Jaidee,1,6.7
123,T120,T120,Frank Lickliter II,4,6.7
124,T120,T120,James Nitties,14,6.7
125,T120,T120,Joe Ogilvie,13,6.7
126,T120,T120,Kevin Stadler,10,6.7
127,T120,T120,Henrik Stenson,4,6.7
128,T120,T120,Jimmy Walker,11,6.7
129,T130,T130,Jason Gore,11,6.6
130,T130,T130,Matt Hill,1,6.6
131,T130,T130,Gregor Main,1,6.6
132,T130,T130,Rod Pampling,13,6.6
